ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
38;BEAL;I;4;2;06/1999;108.544;426.608;-131.527;136.231;0;-230.307;-190.257;0;0;-19.838;99.454;;1999;6;Resultado;;;;;
39;FIBRA;C;3;;06/1999;254.406;175.719;-228.365;20.512;10.650;-73.110;-242.652;-112.037;0;1.615;-193.262;;1999;6;Resultado;;;;;
40;BMB;I;3;2;06/1999;146.309;99.630;-11.202;2.104;3.570;-148.019;-9.870;0;0;-10.903;71.619;;1999;6;Resultado;;;;;
41;BNL;I;4;2;06/1999;188.677;226.039;-73.931;54.067;0;-82.702;-243.042;0;0;-6.059;63.049;;1999;6;Resultado;;;;;
42;BBM;C;3;;06/1999;53.953;842.959;-530.474;40.258;8;-231.834;-85.158;-4.230;0;-3.952;81.530;;1999;6;Resultado;;;;;
43;BEG;I;1;2;06/1999;58.742;130.349;-475;4.427;33.159;-137.757;-1.806;0;0;-24.078;62.561;;1999;6;Resultado;;;;;
44;BIC;C;3;;06/1999;344.857;100.760;-43.889;22.020;0;-99.748;-211.399;-19.374;0;-17.892;75.335;;1999;6;Resultado;;;;;
45;BMC;C;3;;06/1999;307.802;70.357;-34.033;29.589;0;-54.396;-252.214;-11.043;0;-34.551;21.511;;1999;6;Resultado;;;;;
46;ABC-BRASIL;C;4;;06/1999;254.014;108.923;-112.376;16.459;0;-78.862;-164.361;0;0;-934;22.863;;1999;6;Resultado;;;;;
47;DEUTSCHE;C;4;;06/1999;251.300;241.083;-47.520;31.913;0;-33.532;-380.926;0;0;-20.054;42.264;;1999;6;Resultado;;;;;
48;TOKYOMITSUBISHI;I;4;2;06/1999;173.367;177.933;-16.677;238.723;-69;-49.364;-439.060;0;0;0;84.853;;1999;6;Resultado;;;;;
49;BANESTES;I;2;2;06/1999;101.615;62.600;-1.387;41.212;3.753;-89.251;-28.749;0;0;-4.259;85.534;;1999;6;Resultado;;;;;
50;BEC;C;1;;06/1999;43.273;45.360;-375;9.570;2.043;-112.361;-19.504;0;0;-17.199;-49.193;;1999;6;Resultado;;;;;
51;BESC;I;2;2;06/1999;179.300;115.083;-9.126;2.124;4;-155.202;-29.482;0;0;-84.769;17.932;;1999;6;Resultado;;;;;
52;BMG;C;3;;06/1999;290.238;127.733;9.576;1.401;0;-195.355;-8.557;-153.544;0;-47.108;24.384;;1999;6;Resultado;;;;;
53;BRB;I;2;2;06/1999;110.717;45.114;-865;3.590;3.342;-66.657;-10.584;-3.278;0;-2.371;79.008;;1999;6;Resultado;;;;;
54;AGF BRASEG;C;4;;06/1999;128.328;94.935;4.873;4.953;1;-155.939;-71.338;-11.305;0;-6.104;-11.596;;1999;6;Resultado;;;;;
55;SUL AMERICA;C;5;;06/1999;16.249;136.229;1.114;1.454;0;-96.884;-50.559;0;0;-101;7.502;;1999;6;Resultado;;;;;
56;INTER AMEX;C;5;;06/1999;66.418;93.411;-30.359;30.101;33.743;-23.782;-126.842;-4.982;0;-5.797;31.911;;1999;6;Resultado;;;;;
57;RABOBANK;I;4;;06/1999;11.996;226.104;-34.646;30.296;0;-8.630;-203.898;0;0;0;21.222;;1999;6;Resultado;;;;;
58;BRASCAN;C;4;;06/1999;14.514;130.424;-42.948;19.579;0;-37.111;-14.442;0;0;-58;69.958;;1999;6;Resultado;;;;;
59;BNP;I;4;;06/1999;3.691;159.980;50.800;72.350;0;-45.415;-186.477;0;0;0;54.929;;1999;6;Resultado;;;;;
60;SOGERAL;C;5;;06/1999;87.322;112.208;20.189;16.648;0;-40.225;-149.678;-14.023;0;-4.747;27.694;;1999;6;Resultado;;;;;
61;SANTOS;I;3;2;06/1999;181.092;107.047;-1.790;0;0;-152.373;-105.870;0;-10.911;-10.067;7.128;;1999;6;Resultado;;;;;
62;SUMITBANK;I;4;;06/1999;530.484;173.850;-5.995;97.301;0;-8.754;-673.622;0;0;0;113.264;;1999;6;Resultado;;;;;
63;FININVEST;I;5;2;06/1999;210.685;22.541;11.628;66;-115;-87.606;0;0;0;-160;157.039;;1999;6;Resultado;;;;;
64;SOFISA;C;3;;06/1999;66.455;100.775;-42.589;7.637;0;-40.333;-18.872;-17.645;0;-3.153;52.275;;1999;6;Resultado;;;;;
65;CREDITO SP;I;3;2;06/1999;62.531;40.757;-9.554;7.915;0;-23.466;-26.298;0;0;-10.499;41.386;;1999;6;Resultado;;;;;
66;BANPARA;I;2;;06/1999;34.558;31.705;17;3.856;500;-36.522;-3.622;0;0;15.146;45.638;;1999;6;Resultado;;;;;
67;BEM;I;2;2;06/1999;26.234;46.162;-5;32;492;-32.396;-863;0;0;-616;39.040;;1999;6;Resultado;;;;;
68;PEBB;C;3;;06/1999;0;68.467;-2.505;0;0;-30.274;0;0;0;0;35.688;;1999;6;Resultado;;;;;
69;PANAMERICANO;I;3;2;06/1999;133.771;19.808;-402;0;0;-57.060;-109;0;-176;-23.853;71.979;;1999;6;Resultado;;;;;
70;BEA;I;2;;06/1999;36.756;2.628;0;610;1.908;-10.201;-5.037;0;0;948;27.612;;1999;6;Resultado;;;;;
71;CACIQUE;C;3;;06/1999;68.173;32.876;53.522;0;0;-15.302;-567;0;-5.457;-23.238;110.007;;1999;6;Resultado;;;;;
72;PINE;C;3;;06/1999;28.589;8.236;-11.203;1.152;0;-9.883;-8.802;0;0;-165;7.924;;1999;6;Resultado;;;;;
73;INDUSTRIAL DO BRASIL;C;3;;06/1999;50.642;72.643;-43.109;1.916;0;-24.496;-37.977;-7.911;0;-5.485;6.223;;1999;6;Resultado;;;;;
74;MODAL;I;3;2;06/1999;2.372;38.770;-11.530;0;0;-17.764;-97;0;0;0;11.751;;1999;6;Resultado;;;;;
75;BANESE;I;2;;06/1999;27.622;18.388;-12;0;-261;-20.430;-121;0;0;100;25.286;;1999;6;Resultado;;;;;
76;BVA;I;3;;06/1999;29.414;10.859;1.666;0;0;-16.290;-16.091;0;0;-2.388;7.170;;1999;6;Resultado;;;;;
