ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
1;CEF;I;1;;06/1997;105.774.080;161.201;7.678.280;7.301.769;16.520.260;167.778;54.222.359;-1.554.934;15.196.783;2.178.753;0;3.901.833;1997;6;Ativo;
2;BB;C;1;;06/1997;104.358.978;4.052.443;10.039.392;21.699.240;12.048.274;142.448;27.957.561;-3.392.922;27.969.037;564.191;453.024;2.826.290;1997;6;Ativo;
3;BANESPA;C;2;;06/1997;71.194.010;1.530.198;19.128.897;19.020.802;1.313.949;6.861;28.337.140;-191.226;1.094.271;66.990;132.380;753.749;1997;6;Ativo;
4;BRADESCO;C;3;;06/1997;41.737.098;825.238;7.932.726;5.055.627;5.168.814;49.909;13.875.454;-222.174;4.359.009;174.245;592.904;3.925.347;1997;6;Ativo;
5;ITAU;C;3;;06/1997;35.983.426;1.385.965;5.200.557;3.136.070;4.977.628;2.569;10.707.668;-541.914;5.999.065;125.253;1.173.876;3.816.691;1997;6;Ativo;
6;UNIBANCO;C;5;;06/1997;24.486.619;597.257;5.231.799;2.594.908;1.676.723;12.196;8.703.917;-285.448;3.047.523;165.661;722.679;2.019.405;1997;6;Ativo;
7;REAL;C;3;;06/1997;18.716.015;245.667;4.018.644;2.118.572;2.231.077;47.965;5.284.410;-202.639;3.473.565;34.608;561.395;902.752;1997;6;Ativo;
8;NOSSA CAIXA;I;2;;06/1997;12.849.610;27.083;555.893;1.372.152;1.844.147;93;6.876.928;-4.186;1.144.040;20.990;70;1.012.399;1997;6;Ativo;
9;BEMGE;C;2;;06/1997;12.400.455;42.073;759.672;9.523.353;339.004;533;725.461;-18.862;864.826;10.557;0;153.837;1997;6;Ativo;
10;BCN;C;3;;06/1997;16.231.446;91.606;5.240.609;1.102.914;1.879.198;2.343;4.352.666;-154.486;1.856.268;77.968;1.113.255;669.103;1997;6;Ativo;
11;BANRISUL;C;2;;06/1997;11.302.086;41.458;935.451;7.033.748;740.946;165.793;1.922.291;-81.705;305.291;29.101;45.474;164.237;1997;6;Ativo;
12;HSBC BAMERINDUS;I;4;2;06/1997;13.434.244;134.963;3.200.664;3.381.264;2.333.434;478;2.061.267;-79;1.428.155;4.303;41.790;848.005;1997;6;Ativo;
13;SAFRA;C;3;;06/1997;16.213.623;48.244;7.202.942;1.969.471;1.793.538;2.471;2.881.103;-16.003;1.058.035;45.328;671.073;557.420;1997;6;Ativo;
14;CITIBANK;C;4;;06/1997;8.257.141;424.180;1.457.297;497.601;1.178.762;0;1.643.590;-41.615;2.796.331;14.236;139.119;147.640;1997;6;Ativo;
15;BAMERINDUS;I;3;;06/1997;7.818.026;0;394.958;1.289.882;1.766;0;1.471.690;-743.484;4.444.948;104.324;69.016;784.926;1997;6;Ativo;
16;BANKBOSTON;C;4;;06/1997;9.187.914;552.728;3.546.216;478.697;728.585;1.610;1.754.652;-1.736;1.765.151;13.354;273.881;74.776;1997;6;Ativo;
17;BANESTADO;C;2;;06/1997;6.560.554;68.341;174.246;274.458;1.117.658;3.773;2.926.898;-226.756;1.197.783;87.065;713.783;223.305;1997;6;Ativo;
18;SUDAMERIS;C;4;;06/1997;8.753.162;37.604;2.438.998;672.197;900.278;265;2.868.801;-65.112;1.205.481;28.369;388.501;277.779;1997;6;Ativo;
19;LLOYDS;C;4;;06/1997;6.411.387;18.930;595.057;601.155;743.322;115.443;2.085.018;-20.089;2.021.139;29.872;83.920;137.620;1997;6;Ativo;
