ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
1;BB;C;1;1;12/1999;119.183.051;11.968.079;19.989.552;2.539.037;36.596.618;1.121.056;72.214.343;14.785.535;727.733;17.436;733.470;14.364.461;1999;12;Passivo;0;16.340.074;7.270.731;268.818;
2;CEF;I;1;1;12/1999;118.540.952;3.253.410;28.908.914;25.814;27.760.416;1.595.611;61.544.165;922.759;8.251.300;159.520;443.992;787.324;1999;12;Passivo;0;46.431.892;3.900.218;280.936;
3;BRADESCO;C;3;;12/1999;64.387.026;6.824.475;17.258.285;468.950;13.060.284;116;37.612.110;7.814.291;687.338;59.726;880.326;9.280.735;1999;12;Passivo;0;8.052.500;6.854.074;656.240;
4;ITAU;C;3;;12/1999;41.497.163;4.554.032;14.829.319;310.641;3.549.989;31.951;23.275.933;5.063.149;2.545.864;31.645;462.698;5.135.128;1999;12;Passivo;0;4.982.747;6.911.792;908.170;
5;UNIBANCO;C;5;;12/1999;29.440.174;1.356.103;2.885.880;31.818;4.953.429;1.927;9.229.156;4.207.535;4.975.330;45.120;297.909;6.824.776;1999;12;Passivo;0;3.860.348;4.095.430;290.695;
6;BANESPA;C;1;;12/1999;24.133.584;2.410.486;2.702.269;61.410;6.024.189;6.047;11.204.401;2.273.497;0;2.288;173.176;1.198.180;1999;12;Passivo;0;9.282.042;4.176.657;-560.021;
7;ABN AMRO;C;4;;12/1999;21.075.136;1.635.301;4.385.854;135.927;2.301.086;2.341;8.460.509;1.792.890;1.145.438;133.193;629.827;3.330.354;1999;12;Passivo;0;5.582.924;4.345.059;27.100;
8;SAFRA;C;3;1;12/1999;17.756.676;97.450;588.952;15.066;2.861.039;2.728;3.565.235;5.387.424;1.918.404;102.599;142.915;3.539.061;1999;12;Passivo;0;3.101.039;1.054.038;73.603;
9;NOSSA CAIXA;I;2;;12/1999;14.434.519;692.462;5.047.274;0;5.392.850;5.232;11.137.818;1.513.855;165.703;1.057;2.176;186.573;1999;12;Passivo;0;1.427.335;1.013.374;60.704;
10;BANKBOSTON;C;4;;12/1999;16.672.487;1.801.139;631.657;33.647;270.942;13.642;2.751.027;2.335.508;270.515;526.927;80.685;5.136.648;1999;12;Passivo;0;5.571.176;944.741;122.551;
11;SANTANDER BRASIL;C;4;;12/1999;12.042.965;328.588;314.032;47.600;3.069.623;197;3.760.041;1.244.526;884.853;14;93.932;2.885.829;1999;12;Passivo;0;3.173.771;1.161.151;11.190;
12;CITIBANK;C;4;;12/1999;11.812.140;551.889;248.900;303.162;634.271;605;1.738.827;1.314.087;451.548;74;182.115;3.802.703;1999;12;Passivo;0;4.322.786;1.747.939;271.604;
13;HSBC;C;4;;12/1999;12.328.682;995.895;3.213.141;8.493;2.098.951;143;6.316.623;1.511.777;17.141;7.651;251.614;1.323.953;1999;12;Passivo;0;2.899.924;933.160;63.917;
14;BBA-CREDITANSTALT;C;5;;12/1999;11.130.983;69.305;0;514.469;3.016.392;0;3.600.166;368.883;1.017.557;0;11.819;3.790.645;1999;12;Passivo;0;2.341.913;911.562;60.941;
15;SUDAMERIS;C;4;;12/1999;13.489.403;738.997;1.250.283;152.337;1.843.891;84.188;4.069.696;4.014.452;394.504;40.590;185.419;2.814.685;1999;12;Passivo;0;1.970.057;823.276;-141.411;
16;BILBAO VIZCAYA;C;4;;12/1999;8.036.034;80.648;588.966;10.543;3.813.595;0;4.493.753;353.080;196.358;6.950;45.021;689.299;1999;12;Passivo;0;2.251.573;646.715;29.881;
17;BANDEIRANTES;C;4;1;12/1999;8.305.870;167.611;1.213.484;61.756;948.236;866;2.391.954;3.625.716;321.804;663;96.204;887.765;1999;12;Passivo;0;981.763;427.392;4.254;
18;MERCANTIL FINASA;C;3;;12/1999;6.859.171;233.301;592.938;227.099;3.563.473;1.043;4.617.854;117.554;291.060;20;71.794;1.017.912;1999;12;Passivo;0;742.976;1.115.142;99.656;
19;BNB;I;1;1;12/1999;6.802.660;87.830;342.763;20.435;588.426;0;1.039.454;27.303;408.115;14.564;573;5.000.944;1999;12;Passivo;0;311.706;955.734;47.034;
20;MERIDIONAL;C;4;;12/1999;6.085.554;211.011;709.159;0;1.019.466;0;1.939.636;212.148;1.244.283;591;516;956.917;1999;12;Passivo;0;1.731.463;780.484;13.181;
21;BANRISUL;C;2;;12/1999;5.730.830;710.560;1.425.069;13.057;1.905.422;1.550;4.055.658;358.173;0;19.397;45.336;845.481;1999;12;Passivo;0;406.785;513.287;15.882;
22;BANESTADO;C;2;1;12/1999;5.757.059;478.864;1.487.769;58.369;1.595.118;184.103;3.804.222;187.893;105.502;74;48.334;628.566;1999;12;Passivo;0;982.467;438.689;-111.195;
23;LLOYDS;C;4;;12/1999;4.756.924;5.895;0;618.513;326.538;0;950.945;609.674;283.710;6.802;819.329;302.118;1999;12;Passivo;0;1.784.346;432.921;31.032;
24;VOTORANTIM;C;3;;12/1999;4.784.115;380;0;10.922;1.720.721;0;1.732.023;1.878.523;292.785;3;0;181.486;1999;12;Passivo;0;699.295;315.298;37.203;
25;BOAVISTA;C;4;;12/1999;4.626.458;103.264;95.436;25.866;2.006.852;14;2.231.432;1.122.751;8.495;144;5.093;1.008.623;1999;12;Passivo;0;249.920;523.678;51.348;
26;CSFB GARANTIA;C;4;;12/1999;4.011.545;27;0;-387;1.657.539;0;1.657.178;267.794;367.760;125;0;0;1999;12;Passivo;0;1.718.687;315.874;10.402;
27;CHASE;C;4;;12/1999;3.728.844;8.295;0;81.420;236.483;0;326.199;357.087;0;0;35;1.731.767;1999;12;Passivo;0;1.313.757;571.755;31.225;
28;ALFA;C;3;;12/1999;2.901.507;1.676;0;177.041;793.038;0;971.755;202.062;368.616;10.356;13.008;798.428;1999;12;Passivo;0;537.283;759.443;42.136;
