ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio
1;BB;C;1;;12/1998;6.280.746;5.900.067;-725.475;259.959;326.190;-5.412.455;-2.333.424;-121.402;0;-2.503.983;1.670.223;;1998;12;Resultado
2;CEF;I;1;;12/1998;6.026.494;1.606.286;-111.727;118;778.664;-4.422.797;-3.060.727;0;0;301.237;1.117.548;;1998;12;Resultado
3;BRADESCO;C;3;;12/1998;3.884.912;1.327.683;-231.734;276.817;227.525;-2.070.507;-749.800;-370.113;0;-772.731;1.522.052;;1998;12;Resultado
4;ITAU;C;3;;12/1998;2.005.276;2.042.661;-32.110;130.494;161.592;-2.065.067;-355.058;-191.514;0;-668.552;1.027.722;;1998;12;Resultado
5;UNIBANCO;C;5;;12/1998;2.281.783;861.257;-30.120;172.725;85.629;-1.099.779;-590.463;-289.558;0;-368.748;1.022.726;;1998;12;Resultado
6;BANESPA;C;1;;12/1998;778.652;1.372.589;-6.016;41.662;58.596;-992.374;-53.075;-37.649;0;-51.985;1.110.400;;1998;12;Resultado
7;REAL;C;3;;12/1998;937.792;583.436;-25.341;178.894;52.718;-762.224;-212.525;0;0;-141.030;611.720;;1998;12;Resultado
8;BANRISUL;C;2;;12/1998;427.985;623.606;-14.026;16.062;66.792;-747.967;-51.311;-12.588;0;-35.095;273.458;;1998;12;Resultado
9;HSBC;C;4;;12/1998;512.457;908.734;-10.810;23.228;71.385;-689.015;-104.169;-54.357;0;-80.965;576.488;;1998;12;Resultado
10;NOSSA CAIXA;I;2;;12/1998;468.209;1.260.658;-12.692;792;109.701;-899.604;-10.037;0;0;741;917.768;;1998;12;Resultado
11;SAFRA;C;3;;12/1998;755.409;850.046;-129.020;87.632;29.081;-749.633;-301.022;-222.677;0;-7.254;312.562;;1998;12;Resultado
12;SANTANDER BRASIL;C;4;;12/1998;693.298;427.865;-10.989;11.448;96.434;-599.188;-191.988;-96.972;0;-118.058;211.850;;1998;12;Resultado
13;SUDAMERIS;C;4;;12/1998;902.537;413.132;-19.938;52.289;56.232;-660.179;-179.171;-190.526;0;-95.328;279.048;;1998;12;Resultado
14;ABN AMRO;C;4;;12/1998;841.730;246.636;-57.937;55.587;11.759;-306.709;-48.688;-328.699;0;-267.820;145.859;;1998;12;Resultado
15;CITIBANK;C;4;;12/1998;572.458;238.391;181.830;9.421;20.221;-222.162;-296.900;-75.254;0;-19.775;408.230;;1998;12;Resultado
16;BBA-CREDITANSTALT;C;5;;12/1998;323.877;447.442;126.151;10.452;20.045;-537.075;-248.851;-28.271;0;-61.021;52.749;;1998;12;Resultado
17;BANKBOSTON;C;4;;12/1998;427.009;647.443;-48.019;69.156;11.854;-331.406;-310.030;-85.818;0;-10.878;369.311;;1998;12;Resultado
18;MERCANTIL FINASA;C;3;;12/1998;481.419;231.113;-40.144;40.941;89.998;-439.419;-50.871;-159.495;0;-8.800;144.742;;1998;12;Resultado
19;BNB;I;1;;12/1998;448.102;135.826;-4.378;11.872;15.634;-174.867;-286.086;0;0;-164.642;-18.539;;1998;12;Resultado
20;MERIDIONAL;C;4;;12/1998;327.640;202.678;82.315;18.024;23.822;-362.098;-113.218;-67.944;0;-53.238;57.981;;1998;12;Resultado
21;BILBAO VIZCAYA;C;4;;12/1998;317.173;233.584;-33.612;17.604;17.810;-296.301;-43.160;-58.270;0;-14.640;140.188;;1998;12;Resultado
22;BANDEIRANTES;C;4;;12/1998;513.299;201.406;-29.573;28.709;47.888;-368.343;-45.636;-87.374;0;-56.618;203.758;;1998;12;Resultado
23;BANESTADO;C;2;;12/1998;557.729;108.678;-24.524;26.899;46.150;-652.699;-102.073;-110.769;0;-283.733;-434.342;;1998;12;Resultado
24;BOAVISTA;C;5;;12/1998;208.651;264.964;-76.527;16.153;11.494;-279.707;-77.533;-21.251;0;104.448;150.692;;1998;12;Resultado
25;VOTORANTIM;C;3;;12/1998;77.906;457.045;37.961;0;14.023;-533.854;-10.767;-20.362;-1.597;-1.835;18.520;;1998;12;Resultado
26;LLOYDS;C;4;;12/1998;320.296;212.270;1.436;5.791;11.020;-223.376;-77.027;-19.719;0;-65.855;164.836;;1998;12;Resultado
27;CHASE;C;4;;12/1998;29.836;316.603;87.228;6.858;3.945;-76.698;-279.576;-173;0;2.472;90.495;;1998;12;Resultado
28;BBM;C;3;;12/1998;33.788;199.115;37.989;6.763;3.808;-189.749;-46.509;-2.679;0;-4.344;38.182;;1998;12;Resultado
29;RURAL;C;3;;12/1998;250.469;90.286;-11.814;17.773;6.917;-133.479;-3.671;-11.232;0;-38.646;166.603;;1998;12;Resultado
30;CSFB GARANTIA;C;4;;12/1998;4.079;177.916;32.180;0;285;-181.191;-12.243;0;-3.610;0;17.416;;1998;12;Resultado
31;PONTUAL;C;3;3;09/1998;139.369;24.452;-2.244;1.817;1.963;-82.919;-11.777;-48.425;0;-6.807;15.429;;1998;12;Resultado
32;ING;C;4;;12/1998;21.709;341.785;-140.433;2.263;0;-168.017;-24.364;0;0;495;33.438;;1998;12;Resultado
33;BANEB;I;2;2;12/1998;87.171;169.211;-1.963;0;6.648;-145.505;-6.590;0;-144;-22.144;86.684;;1998;12;Resultado
34;DRESDNER;C;4;;12/1998;73.749;102.332;-1.578;28.546;0;-15.233;-147.582;0;0;-3.875;36.359;;1998;12;Resultado
35;DEUTSCHE;C;4;;12/1998;74.351;273.644;35.964;6.285;0;-106.768;-228.513;0;0;498;55.461;;1998;12;Resultado
36;BIC;C;3;;12/1998;201.866;56.119;-30.339;3.523;9.899;-106.164;-26.987;-13.054;0;-15.680;79.183;;1998;12;Resultado
37;BESC;I;2;2;12/1998;214.913;117.197;-8.887;3.274;7.758;-167.437;-12.027;0;0;-184.387;-29.596;;1998;12;Resultado
38;JP MORGAN;C;4;;12/1998;16.496;209.771;13.345;4.001;7.387;-94.167;-50.597;0;0;0;106.236;;1998;12;Resultado
39;BMB;I;3;2;12/1998;147.844;71.279;-14.776;767;10.470;-133.035;-7.245;0;0;-6.276;69.028;;1998;12;Resultado
40;BARCLAYS GALICIA;C;5;;12/1998;120.170;84.422;-23.321;4.011;26.094;-71.391;-43.244;0;0;1.085;97.826;;1998;12;Resultado
41;BMC;C;3;;12/1998;140.618;49.468;-8.212;7.294;5.733;-90.471;-55.987;-9.113;0;-29.017;10.313;;1998;12;Resultado
42;CREDIBANCO;C;5;;12/1998;56.952;60.139;3.683;6.548;4.945;-76.613;-38.231;0;0;-19.538;-2.115;;1998;12;Resultado
43;BASA;I;1;;12/1998;28.008;104.170;-1.352;0;-43;-59.918;-82.757;0;-8.312;-8.467;-28.671;;1998;12;Resultado
44;TOKYOMITSUBISHI;I;4;2;12/1998;34.734;71.143;-2.573;40.075;105;-27.063;-71.905;0;0;-2;44.514;;1998;12;Resultado
45;FIBRA;C;3;;12/1998;219.497;60.153;8.605;1.422;4.323;-99.292;-38.545;-90.903;0;-11.898;53.362;;1998;12;Resultado
46;BMG;C;3;;12/1998;291.010;82.993;-18.109;0;4.120;-101.241;-34.706;-160.187;-74;-19.220;44.586;;1998;12;Resultado
47;BEG;I;2;2;12/1998;72.382;106.462;550;874;4.013;-123.972;-551;0;0;-18.598;41.160;;1998;12;Resultado
48;PACTUAL;C;5;;12/1998;18.357;239.852;-32.436;7.449;6.698;-235.691;-6.529;-5.178;0;1.005;-6.473;;1998;12;Resultado
49;BEAL;I;4;2;12/1998;16.369;107.417;-1.779;12.097;2.143;-94.873;-18.177;0;0;-322;22.875;;1998;12;Resultado
50;BRB;I;2;2;12/1998;117.668;33.926;-692;1.476;5.809;-70.565;-15.071;-3.701;0;-41.329;27.521;;1998;12;Resultado
51;BANESTES;I;2;2;12/1998;75.192;31.017;-2.772;1.884;5.629;-81.407;-2.456;0;0;4.063;31.150;;1998;12;Resultado
52;ABC-BRASIL;C;4;;12/1998;61.963;70.940;-39.184;7.283;2.309;-57.764;-32.016;0;0;281;13.812;;1998;12;Resultado
53;BNL;I;4;2;12/1998;50.064;47.373;1.569;10.791;0;-39.316;-40.951;0;0;-6.290;23.240;;1998;12;Resultado
54;BEC;C;2;;12/1998;77.226;1.516;-1.231;1.812;-131;-61.819;-18.252;0;0;-20.645;-21.524;;1998;12;Resultado
55;BANDEPE;I;4;2;12/1998;24.000;82.773;-102;152;1.990;-63.715;-5.777;0;0;-12.110;27.211;;1998;12;Resultado
56;SUMITBANK;I;4;;12/1998;42.686;35.655;69;16.211;0;-13.301;-58.427;0;0;570;23.463;;1998;12;Resultado
57;SANTOS;I;3;2;12/1998;79.450;68.494;-12.327;0;4.039;-103.576;-10.488;0;-2.778;-544;22.270;;1998;12;Resultado
58;SUL AMERICA;C;5;;12/1998;3.689;76.095;-7.235;0;1.688;-56.911;-10.373;0;-359;32;6.626;;1998;12;Resultado
59;AGF BRASEG;C;4;;12/1998;49.991;62.782;-324;1.542;1.975;-68.334;-19.101;-5.535;0;-21.359;1.637;;1998;12;Resultado
60;FININVEST;I;5;2;12/1998;176.028;11.921;-6.979;6;3.891;-55.243;0;0;0;-17;129.607;;1998;12;Resultado
