ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio
1;CEF;I;1;;06/1996;3.895.567;2.152.880;-2.271;0;704.040;-4.385.612;-1.928.686;0;0;-356.544;79.374;;1996;6;Resultado
2;BB;C;1;;06/1996;4.560.115;2.201.835;-88.561;1.289.759;168.322;-4.360.236;-1.803.076;-139.144;0;-5.627.714;-3.798.700;;1996;6;Resultado
3;BANESPA;C;2;;06/1996;3.728.628;3.846.079;305;53.038;22.675;-3.665.453;-1.789.042;-32.729;0;-205.467;1.958.034;;1996;6;Resultado
4;BRADESCO;I;3;2;06/1996;2.954.515;1.170.609;-18.490;126.702;116.876;-1.736.410;-308.988;-2.730;0;-907.657;1.394.427;;1996;6;Resultado
5;ITAU;C;3;;06/1996;2.802.778;468.428;-7.136;193.438;97.839;-892.579;-301.462;-376.179;0;-638.148;1.346.979;;1996;6;Resultado
6;UNIBANCO;C;5;;06/1996;1.962.930;1.007.248;-25.737;295.882;40.556;-1.282.049;-438.022;-180.894;0;-327.058;1.052.856;;1996;6;Resultado
7;BAMERINDUS;C;3;;06/1996;1.470.790;328.965;-53.272;27.611;96.843;-859.279;-131.842;-124.202;0;-52.723;702.891;;1996;6;Resultado
8;REAL;C;3;;06/1996;1.307.229;477.026;430;103.109;34.189;-547.071;-134.048;-187.153;0;-165.107;888.604;;1996;6;Resultado
9;NOSSA CAIXA;I;2;;06/1996;840.751;248.729;-2.506;542;110.758;-740.009;-10.703;0;0;-23.976;423.586;;1996;6;Resultado
10;BANRISUL;I;2;2;06/1996;294.305;1.265.196;-93;5.744;39.031;-715.259;-688.944;0;0;-49.296;150.684;;1996;6;Resultado
11;SAFRA;C;3;;06/1996;519.239;465.872;-223.272;10.383;6.298;-311.441;-136.587;-135.185;0;-37.712;157.595;;1996;6;Resultado
12;BANERJ;I;2;2;06/1996;186.110;93.545;-466;619;11.849;-312.741;-5.056;0;0;-64.377;-90.517;;1996;6;Resultado
13;CREDIREAL;I;2;2;06/1996;99.938;65.024;-1.259;1.127;2.030;-148.730;-8.510;0;0;-12.357;-2.737;;1996;6;Resultado
14;BCN;I;3;2;06/1996;460.151;490.206;39.974;29.592;12.094;-592.250;-103.116;-352;0;-130.828;205.471;;1996;6;Resultado
15;CITIBANK;C;4;;06/1996;295.327;247.898;-842;10.143;4.406;-149.971;-127.164;-32.164;0;-39.950;207.683;;1996;6;Resultado
16;BANESTADO;C;2;;06/1996;780.953;75.788;-336;10.633;26.547;-362.203;-62.393;-145.684;0;-158.010;165.295;;1996;6;Resultado
17;BANKBOSTON;C;4;;06/1996;172.550;321.371;1.873;47.806;823;-252.918;-98.631;-48.480;0;-5.505;138.889;;1996;6;Resultado
18;MERCANTIL SP;C;3;;06/1996;362.451;187.459;631;41.454;48.447;-296.075;-44.067;-110.545;0;-42.174;147.581;;1996;6;Resultado
19;SUDAMERIS;C;4;;06/1996;522.278;159.557;-8;30.301;7.065;-293.564;-77.911;-88.198;0;-83.433;176.087;;1996;6;Resultado
20;BBA-CREDITANSTALT;I;5;2;06/1996;101.741;217.782;-32.812;44.139;691;-133.041;-96.828;0;0;-8.085;93.587;;1996;6;Resultado
21;BOZANO,SIMONSEN;C;5;;06/1996;88.467;27.096;3.090;26.005;1.111;-171.783;-33.605;-17.665;0;-46.806;-124.090;;1996;6;Resultado
22;BANDEIRANTES;C;3;;06/1996;403.064;323.016;-3.007;16.117;74.372;-454.705;-18.420;-56.299;0;-97.412;186.726;;1996;6;Resultado
23;BNB;I;1;;06/1996;318.159;64.093;-179;14.056;4.054;-113.632;-170.818;0;0;-102.274;13.459;;1996;6;Resultado
24;AMERICA DO SUL;I;5;2;06/1996;327.742;113.348;-737;27.610;33.398;-250.275;-61.684;0;0;-52.210;137.192;;1996;6;Resultado
25;BBV BANCO;I;4;2;06/1996;125.181;78.729;-963;12.216;8.950;-123.489;-22.891;0;0;-84.274;-6.541;;1996;6;Resultado
