ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio
1;CEF;I;1;;06/1997;4.296.668;1.935.869;3.609;0;788.844;-3.891.163;-1.749.018;0;0;-164.465;1.220.344;;1997;6;Resultado
2;BB;C;1;;06/1997;3.579.356;2.015.351;-151.883;172.255;365.381;-3.405.358;-966.975;-106.309;0;-2.100.873;-599.055;;1997;6;Resultado
3;BANESPA;C;2;;06/1997;4.114.069;3.841.577;-4.865;50.346;23.908;-3.736.198;-1.615.204;-28.188;0;-123.690;2.521.755;;1997;6;Resultado
4;BRADESCO;C;3;;06/1997;2.045.656;801.233;-19.412;167.797;127.860;-1.002.367;-473.517;-144.903;0;-232.673;1.269.674;;1997;6;Resultado
5;ITAU;C;3;;06/1997;1.764.481;540.726;-4.197;129.473;133.470;-920.122;-345.034;-264.620;0;-215.299;818.878;;1997;6;Resultado
6;UNIBANCO;C;5;;06/1997;1.893.568;650.551;-47.987;335.678;74.949;-846.661;-454.993;-195.969;0;-256.489;1.152.647;;1997;6;Resultado
7;REAL;C;3;;06/1997;864.740;431.134;-5.190;113.732;53.789;-592.324;-121.113;-183.169;0;31.676;593.275;;1997;6;Resultado
8;NOSSA CAIXA;I;2;;06/1997;936.060;154.270;2.330;289;48.513;-713.982;-20.295;0;0;660;407.845;;1997;6;Resultado
9;BEMGE;C;2;;06/1997;141.205;95.705;-604;4.900;12.832;-160.187;-6.306;0;0;-70.349;17.196;;1997;6;Resultado
10;BCN;C;3;;06/1997;833.746;322.583;14.583;43.173;37.504;-465.881;-231.905;-198.782;0;-35.065;319.956;;1997;6;Resultado
11;BANRISUL;C;2;;06/1997;322.497;712.278;-4.475;12.818;36.712;-207.085;-649.368;-9.764;0;-38.255;175.358;;1997;6;Resultado
12;HSBC BAMERINDUS;I;4;2;06/1997;233.042;222.840;-4.937;7.470;21.405;-293.626;-27.711;-5.227;0;-344;152.912;;1997;6;Resultado
13;SAFRA;C;3;;06/1997;564.974;464.592;-151.411;11.296;10.043;-453.598;-81.635;-119.360;0;-4.706;240.195;;1997;6;Resultado
14;CITIBANK;C;4;;06/1997;315.473;217.971;-6.433;9.844;31.164;-271.737;-187.337;-23.047;0;-16.593;69.305;;1997;6;Resultado
15;BAMERINDUS;I;3;;06/1997;69.199;362.562;25;0;2.294;0;-101.895;-10.659;-7;-287.778;33.741;;1997;6;Resultado
16;BANKBOSTON;C;4;;06/1997;260.731;370.075;-7.673;66.394;5.523;-253.884;-180.109;-57.196;0;-1.838;202.023;;1997;6;Resultado
17;BANESTADO;C;2;;06/1997;638.796;45.472;-4.824;19.307;53.429;-363.654;-26.108;-89.036;0;-107.481;165.901;;1997;6;Resultado
18;SUDAMERIS;C;4;;06/1997;576.738;224.826;-11.715;27.847;19.437;-371.279;-87.505;-89.174;0;-67.213;221.962;;1997;6;Resultado
19;LLOYDS;C;4;;06/1997;119.850;354.968;-2.678;0;947;-328.947;-72.478;-3.037;-2.839;-81.296;-15.510;;1997;6;Resultado
20;BOZANO,SIMONSEN;C;5;;06/1997;90.314;73.242;1.797;24.052;991;-192.445;-54.009;-7.482;0;-15.453;-78.993;;1997;6;Resultado
21;EXCEL;C;4;;06/1997;367.447;167.524;4.022;22.505;25.410;-286.447;-29.476;-28.182;0;-14.370;228.433;;1997;6;Resultado
22;BBA-CREDITANSTALT;C;5;;06/1997;240.677;244.105;-32.667;11.653;21.082;-264.443;-98.516;0;0;-18.877;103.014;;1997;6;Resultado
23;MERCANTIL SP;C;3;;06/1997;365.631;154.830;26.589;43.121;52.650;-320.371;-42.974;-87.480;0;-12.432;179.564;;1997;6;Resultado
24;BNB;I;1;;06/1997;319.821;55.514;70;13.795;18.156;-142.648;-132.456;0;0;-168.981;-36.729;;1997;6;Resultado
25;AMERICA DO SUL;C;5;;06/1997;382.820;110.072;-2.362;25.557;28.611;-230.841;-80.230;-65.047;0;-30.885;137.695;;1997;6;Resultado
26;BANDEIRANTES;C;3;;06/1997;466.296;143.524;-3.237;27.700;26.249;-279.020;-29.556;-74.520;0;-74.893;202.543;;1997;6;Resultado
27;BOAVISTA;C;3;;06/1997;240.187;250.964;26.778;10.440;13.383;-334.647;-28.681;-23.090;0;-199.403;-44.069;;1997;6;Resultado
28;ABN AMRO;C;4;;06/1997;492.593;12.255;-6.781;29.050;0;-131.126;-45.713;-51.755;0;-23.817;274.706;;1997;6;Resultado
29;CHASE;C;4;;06/1997;25.460;219.975;-7.624;11.277;12.762;-125.737;-36.908;-928;0;380;98.657;;1997;6;Resultado
30;BIC;I;3;2;06/1997;159.902;79.815;-10.665;4.711;15.804;-156.630;-17.548;-467;0;-8.352;66.570;;1997;6;Resultado
31;MERIDIONAL;I;1;2;06/1997;233.934;33.346;-1.292;12.448;20.531;-136.681;-11.470;0;0;150.227;301.043;;1997;6;Resultado
32;PONTUAL;C;3;;06/1997;219.932;78.357;-3.413;6.077;7.612;-148.162;-28.667;-23.871;0;-18.981;88.884;;1997;6;Resultado
33;BANEB;I;2;2;06/1997;170.694;54.256;272;244;20.568;-112.958;-45.425;0;0;-5.494;82.157;;1997;6;Resultado
34;PACTUAL;C;3;;06/1997;4.908;325.026;-52.963;10.027;494;-233.318;-10.239;0;0;-201;43.734;;1997;6;Resultado
35;BMC;C;3;;06/1997;147.152;36.979;2.398;8.121;7.232;-81.644;-41.615;-11.223;0;-6.095;61.305;;1997;6;Resultado
