ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
32;ING;C;4;;12/1998;2.182.232;567;0;28.413;216.852;0;245.832;153.096;366.648;686;203;272.908;1998;12;Passivo;0;1.142.858;126.813;1.119;
33;BANEB;I;2;2;12/1998;1.862.692;301.874;344.733;69.182;408.166;214.316;1.338.271;123.537;0;24.174;3.370;119.329;1998;12;Passivo;0;254.011;139.242;30.614;
34;DRESDNER;C;4;;12/1998;1.754.226;1.046;0;10.010;71.530;0;82.586;12.520;0;3.355;123.002;1.455.342;1998;12;Passivo;0;77.420;139.282;18.447;
35;DEUTSCHE;C;4;;12/1998;1.863.091;1.987;0;0;430.598;0;432.585;128.601;0;17.147;70.780;1.009.155;1998;12;Passivo;0;204.823;147.227;8.773;
36;BIC;C;3;;12/1998;3.398.633;10.271;65.852;4.033;871.476;0;951.632;1.768.629;80.387;25.393;228;319.513;1998;12;Passivo;0;252.850;229.970;14.431;
37;BESC;I;2;2;12/1998;1.798.805;255.168;0;299.081;660.437;0;1.214.686;233.566;0;32.004;11.850;182.569;1998;12;Passivo;0;124.131;103.082;-166.488;
38;JP MORGAN;C;4;;12/1998;1.558.788;25;0;151.209;269.612;0;420.846;85.000;41.101;6.619;0;346.014;1998;12;Passivo;0;659.209;242.784;38.049;
39;BMB;I;3;2;12/1998;1.807.137;61.008;332.833;139.895;634.647;0;1.168.383;414.280;0;22.806;21.675;87.727;1998;12;Passivo;0;92.266;381.616;21.181;
40;BARCLAYS GALICIA;C;5;;12/1998;2.697.739;586;0;0;166.737;0;167.324;944.625;446.791;50.931;7.359;609.601;1998;12;Passivo;0;471.109;171.242;24.625;
41;BMC;C;3;;12/1998;1.460.778;9.877;0;0;500.555;78;510.510;140.656;0;1.654;844;693.818;1998;12;Passivo;0;113.296;207.311;-2.199;
42;CREDIBANCO;C;5;;12/1998;1.479.767;10.917;0;9.517;384.927;0;405.360;42.302;309.193;14.470;0;516.703;1998;12;Passivo;0;191.738;183.556;5.196;
43;BASA;I;1;;12/1998;1.429.695;98.518;58.206;5.118;243.805;221.183;626.831;12.122;0;9.000;98;42.345;1998;12;Passivo;0;739.300;167.168;13.435;
44;TOKYOMITSUBISHI;I;4;2;12/1998;1.503.527;10.029;0;181;49.086;0;59.297;129.396;26.005;1.262;17.692;954.223;1998;12;Passivo;0;315.652;195.807;3.678;
45;FIBRA;C;3;;12/1998;1.869.326;7.467;0;20.451;377.555;0;405.473;517.069;212.831;3.250;0;352.704;1998;12;Passivo;0;377.998;217.555;12.299;
46;BMG;C;3;;12/1998;1.408.027;1.008;0;6.400;313.989;0;321.397;93.826;482.667;4.303;0;126.030;1998;12;Passivo;0;379.804;175.083;12.341;
47;BEG;I;2;2;12/1998;1.527.062;136.299;111.992;10.015;175.685;2.668;436.658;850.223;0;18.770;1.051;14.884;1998;12;Passivo;0;205.476;-129.619;-50.521;
48;PACTUAL;C;5;;12/1998;2.248.722;1.375;0;17.961;549.350;0;568.686;1.211.834;93.272;12.983;43;77.578;1998;12;Passivo;0;284.327;268.398;32.482;
49;BEAL;I;4;2;12/1998;1.222.472;104;0;30.066;279.595;0;309.765;111.147;377.840;1.244;3.596;226.688;1998;12;Passivo;0;192.192;121.325;5.430;
50;BRB;I;2;2;12/1998;1.053.758;259.078;253.581;0;255.172;303;768.135;46.997;63.149;11.902;169;82.189;1998;12;Passivo;0;81.218;216.141;952;
51;BANESTES;I;2;2;12/1998;1.150.033;109.922;461.430;13.385;274.483;6.340;865.561;77.135;64.276;13.492;15.149;47.905;1998;12;Passivo;0;66.516;69.856;-16.058;
52;ABC-BRASIL;C;4;;12/1998;1.044.162;3.888;0;20.286;276.982;0;301.156;162.925;0;1.466;0;330.966;1998;12;Passivo;0;247.649;163.296;18.972;
53;BNL;I;4;2;12/1998;925.785;1.714;0;49.750;102.377;0;153.840;157.290;0;10.028;77;492.662;1998;12;Passivo;0;111.889;119.126;14.063;
54;BEC;C;2;;12/1998;1.073.673;97.209;211.396;1.829;180.612;103.782;594.827;0;102.274;23.292;45;244.191;1998;12;Passivo;0;109.044;-134.841;-63.361;
55;BANDEPE;I;4;2;12/1998;749.245;120.722;150.715;0;158.656;178;430.270;15.098;0;11.187;890;58.041;1998;12;Passivo;0;233.759;130.262;-43.692;
56;SUMITBANK;I;4;;12/1998;732.489;4.582;0;0;17.230;78;21.891;49.887;0;13;3.607;609.113;1998;12;Passivo;0;47.977;137.367;11.161;
57;SANTOS;I;3;2;12/1998;1.953.792;9.719;0;17.475;541.351;0;568.546;1.254.306;0;7.670;15;89.919;1998;12;Passivo;0;33.337;152.332;22.437;
58;SUL AMERICA;C;5;;12/1998;756.023;11.927;0;11.961;442.328;0;466.216;120.140;0;34.535;4.916;98.692;1998;12;Passivo;0;31.524;105.710;-11.489;
59;AGF BRASEG;C;4;;12/1998;825.705;975;0;1.152;232.648;0;234.775;98.896;262.599;12.162;0;163.069;1998;12;Passivo;0;54.205;64.191;-949;
60;FININVEST;I;5;2;12/1998;703.728;131;0;177.578;412.049;0;589.758;0;0;6.532;2.445;0;1998;12;Passivo;0;104.994;128.353;5.876;
61;INTER AMEX;C;5;;12/1998;670.740;156;0;0;209.131;790;210.076;71.301;0;553;0;368.204;1998;12;Passivo;0;20.606;120.245;4.764;
62;SOGERAL;C;5;;12/1998;635.157;258;0;2.195;162.260;0;164.713;732;123.615;699;327;229.694;1998;12;Passivo;0;115.377;65.129;-31.948;
63;RABOBANK;I;4;;12/1998;610.562;23;0;9.009;85.141;0;94.173;0;0;0;2.513;471.281;1998;12;Passivo;0;42.594;37.338;-1.642;
64;BNP;I;4;;12/1998;573.236;181;0;3.403;156.157;0;159.742;8.397;150.988;112;21;214.998;1998;12;Passivo;0;38.978;68.334;3.304;
65;CREDITO SP;I;3;2;12/1998;364.683;3.924;0;44.104;116.471;0;164.499;9.200;0;3.936;54;49.498;1998;12;Passivo;0;137.497;122.289;14.574;
66;BRASCAN;C;4;;12/1998;445.976;534;0;10.072;217.300;0;227.906;78.981;0;101;1.064;84.069;1998;12;Passivo;0;53.855;67.387;4.146;
67;PANAMERICANO;I;3;2;12/1998;431.162;2.829;0;65.990;235.953;1.007;305.778;68.293;0;6.832;0;3.305;1998;12;Passivo;0;46.953;85.902;5.002;
68;BEA;I;2;;12/1998;321.757;89.481;51.204;0;37.574;0;178.259;6.503;0;2.485;78;80.423;1998;12;Passivo;0;54.008;93.051;-6.048;
69;SOFISA;C;3;;12/1998;295.434;11.194;0;41.150;133.773;0;186.117;10.451;0;834;24.804;10.831;1998;12;Passivo;0;62.398;104.480;13.221;
70;BANPARA;I;2;;12/1998;441.604;110.243;52.327;0;37.367;196.959;396.896;1.763;0;212;34;5.293;1998;12;Passivo;0;37.406;-79.405;-21.041;
71;INDUSTRIAL DO BRASIL;C;3;;12/1998;269.647;3.357;0;10.048;81.259;0;94.664;31.426;38.159;385;161;63.708;1998;12;Passivo;0;41.144;64.409;5.400;
72;PEBB;C;3;;12/1998;737.941;40;0;3.786;7.061;0;10.887;709.436;0;1;0;0;1998;12;Passivo;0;17.617;81.492;-27.607;
