ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
1;BB;C;1;;06/1999;138.374.919;1.785.253;23.756.281;43.032.514;6.936.346;1.149;28.300.524;-639.777;30.550.625;820.863;603.032;3.228.109;1999;6;Ativo;
2;CEF;I;1;;06/1999;121.450.910;426.740;3.611.130;12.404.085;17.913.820;148.979;64.954.045;-1.048.121;18.251.636;1.093.898;0;3.694.698;1999;6;Ativo;
3;BRADESCO;C;3;;06/1999;69.794.298;790.771;6.227.408;15.432.706;8.409.439;55.821;21.565.389;-1.036.992;9.151.874;436.263;3.275.252;5.486.369;1999;6;Ativo;
4;ITAU;C;3;;06/1999;53.099.061;2.068.473;8.383.323;11.347.535;7.243.997;1.401;12.320.577;-1.027.740;7.260.898;298.536;968.229;4.233.834;1999;6;Ativo;
5;UNIBANCO;C;5;;06/1999;33.298.794;682.611;5.187.355;5.966.780;1.729.494;17.744;11.164.603;-514.748;4.527.212;173.890;2.041.309;2.322.543;1999;6;Ativo;
6;ABN AMRO;C;4;;06/1999;26.284.258;741.752;2.652.550;3.575.874;2.540.413;13.737;6.958.944;-602.405;5.254.635;62.496;2.786.375;2.299.885;1999;6;Ativo;
7;BANESPA;C;1;;06/1999;25.043.466;594.936;3.202.103;12.431.184;2.323.015;369;4.045.104;-143.802;1.499.489;73.402;235.656;782.010;1999;6;Ativo;
8;NOSSA CAIXA;I;2;;06/1999;15.904.979;35.845;323.097;10.962.053;1.936.576;46;1.155.017;-5.636;814.719;66.647;0;616.615;1999;6;Ativo;
9;BANKBOSTON;C;4;;06/1999;17.453.128;1.245.291;6.508.882;2.930.986;1.097.020;3.134;3.778.217;-42.194;1.244.204;22.943;547.636;117.008;1999;6;Ativo;
10;SAFRA;C;3;;06/1999;17.053.003;132.303;3.879.993;5.515.794;1.058.998;3.452;2.996.704;-108.498;1.624.453;44.876;1.330.182;574.745;1999;6;Ativo;
11;HSBC;C;4;;06/1999;13.333.031;153.796;99.148;5.666.275;1.679.580;220;2.759.496;-107.781;1.866.176;154.350;341.295;720.476;1999;6;Ativo;
12;SANTANDER BRASIL;C;4;;06/1999;12.363.422;78.867;389.667;4.352.110;362.816;1.701;3.098.860;-203.158;2.463.445;51.037;852.011;916.067;1999;6;Ativo;
13;CITIBANK;C;4;;06/1999;12.501.188;65.253;1.853.849;1.924.159;776.267;0;4.019.768;-205.770;3.327.943;12.733;555.474;171.511;1999;6;Ativo;
14;SUDAMERIS;C;4;;06/1999;13.010.898;571.585;1.611.780;1.747.756;1.031.660;5.595;3.795.617;-123.491;2.717.313;104.099;990.176;558.808;1999;6;Ativo;
15;BBA-CREDITANSTALT;C;5;;06/1999;10.644.459;122.246;273.564;5.311.316;123.024;0;2.772.139;-100.183;1.184.392;15.082;474.963;467.915;1999;6;Ativo;
16;MERIDIONAL;C;4;;06/1999;8.966.239;58.811;1.167.389;3.052.274;964.576;0;1.490.166;-229.426;1.673.593;73.846;469.986;245.024;1999;6;Ativo;
17;MERCANTIL FINASA;C;3;;06/1999;8.305.022;381.424;921.569;2.280.121;536.101;6.515;1.703.712;-38.204;786.088;13.067;931.598;783.030;1999;6;Ativo;
18;BILBAO VIZCAYA;C;4;;06/1999;8.304.562;30.434;1.000.269;4.749.458;189.075;87;867.100;-77.830;802.412;47.312;387.879;308.368;1999;6;Ativo;
19;BNB;I;1;;06/1999;7.384.796;30.151;312.826;903.242;182.259;188;5.262.462;-70.492;533.451;8.231;0;222.477;1999;6;Ativo;
20;BANDEIRANTES;C;4;;06/1999;6.448.621;74.533;102.123;1.898.316;556.778;19.175;1.680.393;-100.491;1.284.465;75.297;499.445;358.585;1999;6;Ativo;
21;BANRISUL;C;2;;06/1999;6.888.038;55.468;2.380.972;1.745.200;535.050;26.128;2.199.282;-481.258;211.009;19.766;46.570;149.851;1999;6;Ativo;
22;BANESTADO;C;2;;06/1999;6.084.614;105.848;23.418;1.503.244;691.774;1.022;1.916.091;-490.263;1.580.846;125.956;330.628;296.051;1999;6;Ativo;
23;VOTORANTIM;C;3;;06/1999;5.689.536;607;257.793;4.009.129;116.453;0;262.926;-11.099;713.279;9.582;223.008;107.858;1999;6;Ativo;
24;BOAVISTA;C;4;;06/1999;4.982.131;393.279;79.331;1.836.991;56.683;1.598;1.050.296;-36.339;1.221.765;20.107;96.960;261.459;1999;6;Ativo;
25;LLOYDS;C;4;;06/1999;4.651.129;68.744;59.617;1.942.736;56.798;307.137;846.006;-10.712;991.006;10.330;256.527;122.941;1999;6;Ativo;
26;CSFB GARANTIA;C;4;;06/1999;4.257.498;89.164;598.693;2.010.519;5.312;1;162.096;0;1.337.542;0;0;54.170;1999;6;Ativo;
27;CHASE;C;4;;06/1999;4.156.716;649.338;217.767;2.055.686;99.158;0;290.201;-3.990;829.921;711;-1.334;19.259;1999;6;Ativo;
28;JP MORGAN;C;4;;06/1999;3.436.760;171.360;671.181;1.249.224;43.508;0;148.069;0;1.038.181;197;0;115.042;1999;6;Ativo;
29;BARCLAYS GALICIA;C;5;;06/1999;2.936.910;7.157;675.555;620.462;177.209;0;1.206.818;-55.126;245.183;34.054;0;25.598;1999;6;Ativo;
30;ING;C;4;;06/1999;2.649.240;36.002;1.126.482;892.477;56.305;0;272.294;-712;245.621;292;0;20.476;1999;6;Ativo;
31;BANEB;I;2;2;06/1999;2.545.280;22.485;453.654;1.543.560;269.511;224;181.399;-81.622;77.991;10.252;0;67.827;1999;6;Ativo;
32;RURAL;C;3;;06/1999;2.464.850;38.707;191.094;468.831;163.380;0;1.124.465;-48.026;306.091;10.028;113.237;97.043;1999;6;Ativo;
33;PONTUAL;C;3;3;09/1998;2.289.774;5.151;6.096;225.821;48.084;0;746.211;-38.958;480.195;114.662;642.409;60.103;1999;6;Ativo;
34;PACTUAL;C;5;;06/1999;2.551.566;42.931;365.523;896.388;72.578;0;55.319;-15.475;787.331;2.874;108.761;235.336;1999;6;Ativo;
35;CREDIBANCO;C;5;;06/1999;2.222.620;166.785;123.294;715.997;12.367;0;763.723;-17.239;306.061;2.460;0;149.173;1999;6;Ativo;
