ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio
42;BEAL;I;4;2;12/1999;27.288;116.930;-39.884;30.993;0;-75.812;-34.564;0;0;1.275;26.226;;1999;12;Resultado
43;ABC-BRASIL;C;4;;12/1999;173.805;59.178;6.615;8.210;0;-72.260;-139.003;0;0;-467;36.078;;1999;12;Resultado
44;CREDIBANCO;C;5;;12/1999;54.569;64.865;4.751;9.660;9.230;-55.911;-58.145;0;0;-19.422;9.597;;1999;12;Resultado
45;BNL;I;4;2;12/1999;47.971;60.097;-5.507;21.371;0;-54.010;-41.712;0;0;-8.050;20.160;;1999;12;Resultado
46;TOKYOMITSUBISHI;I;4;2;12/1999;32.498;51.300;-1.568;47.669;69;-20.252;-55.014;0;0;0;54.702;;1999;12;Resultado
47;BMC;C;3;;12/1999;124.152;21.454;5.486;5.766;0;-42.079;-64.489;-12.257;0;-16.973;21.060;;1999;12;Resultado
48;AGF BRASEG;C;4;;12/1999;33.945;43.407;15.242;3.382;0;-50.001;-16.442;-6.000;0;-6.166;17.367;;1999;12;Resultado
49;BRB;I;2;2;12/1999;115.091;36.590;1.040;1.449;2.442;-48.271;-5.936;-3.159;0;-866;98.380;;1999;12;Resultado
50;FIBRA;C;3;;12/1999;193.332;91.484;-3.125;2.822;0;-50.527;-46.414;-155.694;0;17.802;49.680;;1999;12;Resultado
51;SANTOS;I;3;2;12/1999;135.525;95.810;-597;0;0;-141.551;-59.038;0;-2.784;-286;27.079;;1999;12;Resultado
52;CACIQUE;C;3;;12/1999;93.531;38.054;-17.401;1.770;0;-48.183;-720;0;0;-25.144;41.907;;1999;12;Resultado
53;RABOBANK;I;4;;12/1999;4.946;46.215;46.492;11.196;0;-11.164;-81.618;0;0;-2.706;13.361;;1999;12;Resultado
54;BESC;I;2;2;12/1999;143.103;32.939;-570;2.020;2;-58.139;-18.699;0;0;-39.272;61.384;;1999;12;Resultado
55;INTER AMEX;C;5;;12/1999;30.391;46.064;11.203;0;1.757;-18.400;-30.869;-6.933;-5.604;-4.382;23.227;;1999;12;Resultado
56;SUMITBANK;I;4;;12/1999;227.276;38.729;581;2.460;0;-6.629;-223.514;0;0;1.230;40.133;;1999;12;Resultado
57;BMG;C;3;;12/1999;237.031;37.395;1.558;16.631;0;-66.372;-6.466;-171.210;0;-23.846;24.721;;1999;12;Resultado
58;BEC;C;1;;12/1999;29.953;77.184;262;1.985;1.320;-61.706;-3.250;0;0;-6.838;38.910;;1999;12;Resultado
59;FININVEST;I;5;2;12/1999;129.385;9.069;-8.488;2;0;-49.366;0;0;0;-4.922;75.680;;1999;12;Resultado
60;SUL AMERICA;C;5;;12/1999;4.220;56.520;727;0;0;-54.043;-7.955;0;-2.049;-1.722;-4.302;;1999;12;Resultado
61;BNP;I;4;;12/1999;4.305;39.911;10.351;18.472;0;-33.618;-15.374;0;0;-7.102;16.945;;1999;12;Resultado
62;BRASCAN;C;4;;12/1999;12.294;108.846;-7.447;6.501;0;-83.354;-8.456;0;0;8;28.392;;1999;12;Resultado
63;SS;C;3;1;12/1999;160.048;9.679;1.259;3.240;0;-42.748;-251;-15.008;0;-20.182;96.037;;1999;12;Resultado
64;SOFISA;C;3;;12/1999;54.637;20.609;822;3.207;0;-20.899;-5.597;-14.392;0;-2.821;35.566;;1999;12;Resultado
65;PEBB;C;3;;12/1999;0;66.788;661;0;0;-57.978;0;0;0;-295;9.176;;1999;12;Resultado
66;CREDITO SP;I;3;2;12/1999;53.038;35.676;-6.278;32;0;-32.116;-4.734;0;0;-7.255;38.363;;1999;12;Resultado
67;BEM;I;2;2;12/1999;22.062;35.796;0;1;337;-24.610;-870;0;0;-2.192;30.524;;1999;12;Resultado
68;SCHAHIN;C;3;;12/1999;31.727;8.291;2.370;0;0;-22.372;-4.568;-392;-647;-3.077;11.332;;1999;12;Resultado
69;BANPARA;I;2;;12/1999;32.529;27.361;39;35;1.854;-28.513;-39;0;0;-4.297;28.969;;1999;12;Resultado
70;BEA;I;1;;12/1999;18.157;16.936;0;83;5.985;-10.411;-3.099;0;0;710;28.361;;1999;12;Resultado
