ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
1;CEF;I;1;;06/1996;89.012.191;90.087;8.188.102;7.758.541;9.999.055;119.827;43.751.675;-73.151;13.611.551;1.850.070;0;3.716.435;1996;6;Ativo;
2;BB;C;1;;06/1996;79.763.608;740.997;11.398.395;17.211.066;5.224.316;2.195;31.132.968;-2.170.074;12.364.599;308.102;619.940;2.931.105;1996;6;Ativo;
3;BANESPA;C;2;;06/1996;55.215.128;1.211.094;14.363.790;15.082.976;849.806;1.650;21.806.522;-206.012;1.143.504;63.814;140.658;757.326;1996;6;Ativo;
4;BRADESCO;I;3;2;06/1996;37.278.611;697.669;11.764.011;912.089;4.654.114;28.730;10.015.358;-203.539;4.380.279;73.921;36.418;4.919.561;1996;6;Ativo;
5;ITAU;C;3;;06/1996;29.141.654;1.154.303;4.179.659;1.961.810;3.705.764;1.808;8.233.497;-470.382;5.787.610;444.688;1.520.467;2.622.430;1996;6;Ativo;
6;UNIBANCO;C;5;;06/1996;22.500.240;1.522.159;1.639.436;4.975.347;1.677.085;5.210;6.842.280;-287.220;3.181.687;104.272;763.378;2.076.607;1996;6;Ativo;
7;BAMERINDUS;C;3;;06/1996;18.585.754;155.655;4.032.684;2.187.491;2.618.320;22.626;6.013.772;-149.384;1.533.327;110.175;522.584;1.538.503;1996;6;Ativo;
8;REAL;C;3;;06/1996;14.652.638;114.790;1.946.673;2.685.987;1.391.438;43.490;3.972.344;-286.753;3.148.975;26.333;733.168;876.193;1996;6;Ativo;
9;NOSSA CAIXA;I;2;;06/1996;10.164.253;17.915;494.300;1.358.016;919.359;165;6.414.622;-13.992;549.370;20.874;70;403.552;1996;6;Ativo;
10;BANRISUL;I;2;2;06/1996;8.772.413;35.811;574.563;5.864.727;340.095;80.789;1.488.232;-21.371;151.194;13.053;0;245.321;1996;6;Ativo;
11;SAFRA;C;3;;06/1996;7.898.354;27.394;1.024.725;3.263.430;864.122;1.205;1.323.941;-49.625;593.604;16.582;405.851;427.125;1996;6;Ativo;
12;BANERJ;I;2;2;06/1996;7.532.251;15.030;27.505;4.869.989;401.061;28.131;884.465;-31.876;1.108.783;63.155;24;165.983;1996;6;Ativo;
13;CREDIREAL;I;2;2;06/1996;7.687.828;9.503;378.022;6.441.474;67.044;262;407.391;-2.299;266.445;16.451;2.404;101.132;1996;6;Ativo;
14;BCN;I;3;2;06/1996;9.560.992;22.221;3.826.968;461.152;687.254;758;2.288.432;-80.029;1.475.575;24.662;29.715;824.285;1996;6;Ativo;
15;CITIBANK;C;4;;06/1996;7.034.983;251.951;1.109.132;615.744;780.347;0;1.381.729;-9.343;2.625.598;20.009;99.586;160.230;1996;6;Ativo;
16;BANESTADO;C;2;;06/1996;6.070.884;168.751;51.146;698.936;564.825;564;2.890.252;-87.422;795.134;37.664;782.703;168.331;1996;6;Ativo;
17;BANKBOSTON;C;4;;06/1996;6.581.586;721.321;1.537.957;752.930;801.914;3.424;716.961;-4.142;1.610.194;10.103;274.779;156.143;1996;6;Ativo;
18;MERCANTIL SP;C;3;;06/1996;5.034.925;33.623;822.870;1.359.905;320.752;361;851.338;-34.243;589.634;18.815;417.452;654.418;1996;6;Ativo;
19;SUDAMERIS;C;4;;06/1996;5.359.036;37.333;570.145;435.372;323.268;32;2.278.207;-70.464;1.182.608;31.557;296.287;274.690;1996;6;Ativo;
20;BBA-CREDITANSTALT;I;5;2;06/1996;4.775.664;475.312;361.733;1.511.407;322.266;0;606.533;-15.376;1.198.655;4.761;0;310.375;1996;6;Ativo;
21;BOZANO,SIMONSEN;C;5;;06/1996;4.977.426;53.190;1.562.064;458.454;220.658;0;548.075;-13.668;1.777.661;14.142;32.336;324.514;1996;6;Ativo;
22;BANDEIRANTES;C;3;;06/1996;3.973.968;23.156;101.429;729.164;515.112;4.767;1.302.914;-61.491;747.449;20.663;279.082;311.721;1996;6;Ativo;
23;BNB;I;1;;06/1996;3.853.535;17.158;417.965;187.981;129.534;568;2.487.835;-41.700;411.204;8.483;0;234.509;1996;6;Ativo;
24;AMERICA DO SUL;I;5;2;06/1996;4.284.964;22.158;1.025.520;368.782;520.967;10.203;1.689.857;-37.731;393.259;31.467;0;260.481;1996;6;Ativo;
25;BBV BANCO;I;4;2;06/1996;3.816.222;257.741;1.047.621;458.319;187.045;252;1.044.025;-22.435;483.808;42.771;0;317.075;1996;6;Ativo;
26;LLOYDS;C;4;;06/1996;4.796.443;13.015;1.931.925;547.579;384.194;123.040;822.657;-4.357;883.547;30.367;23.686;40.789;1996;6;Ativo;
27;BOAVISTA;C;3;;06/1996;3.953.514;28.826;891.575;881.481;85.523;2.016;1.037.763;-23.808;814.164;12.569;103.115;120.291;1996;6;Ativo;
28;ABN AMRO;C;4;;06/1996;3.235.704;29.826;417.397;173.571;274.931;187;1.219.083;-15.122;856.221;14.249;200.380;64.982;1996;6;Ativo;
