ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
37;BESC;I;2;2;12/1997;2.064.476;28.249;260.835;546.423;227.894;438;754.348;-25.152;140.442;3.291;0;127.708;1997;12;Ativo;
38;FIBRA;C;3;;12/1997;2.431.259;9.725;536.748;546.281;74.632;0;626.562;-45.576;180.617;9.654;431.216;61.400;1997;12;Ativo;
39;BMC;C;3;;12/1997;1.909.278;12.400;27.805;423.213;109.754;0;1.010.244;-29.117;257.182;21.406;42.102;34.289;1997;12;Ativo;
40;ING BANK;I;4;2;12/1997;2.136.982;9.345;1.002.511;884.387;38.893;0;31.521;-1.647;160.945;244;0;10.783;1997;12;Ativo;
41;CREDIBANCO;C;5;;12/1997;1.931.290;10.049;208.357;438.585;76.541;0;916.131;-21.396;194.721;12.153;0;96.147;1997;12;Ativo;
42;PONTUAL;C;3;;12/1997;1.822.627;14.240;15.870;194.672;57.756;0;910.518;-38.592;250.285;86.431;270.201;61.246;1997;12;Ativo;
43;PACTUAL;C;3;;12/1997;2.128.649;6.317;400.031;991.220;98.677;0;44.966;-6.660;373.079;615;0;220.404;1997;12;Ativo;
44;DIBENS;C;3;;12/1997;1.781.766;7.987;83.497;160.483;83.572;0;321.682;-18.600;206.012;36.871;857.801;42.463;1997;12;Ativo;
45;RURAL;C;3;;12/1997;1.808.319;31.706;168.487;253.584;108.081;0;922.680;-10.093;165.784;7.506;86.992;73.592;1997;12;Ativo;
46;BARCLAYS;C;5;;12/1997;2.687.238;11.044;1.214.594;436.800;6.396;0;755.171;-16.252;241.264;19.828;0;18.392;1997;12;Ativo;
47;DEUTSCHE;I;4;2;12/1997;1.657.092;8.160;58.885;908.638;16.209;0;277.940;-698;316.958;44;0;70.955;1997;12;Ativo;
48;BMG;C;3;;12/1997;1.703.767;4.945;269.438;176.085;75.574;48;452.154;-20.895;110.130;5.841;559.476;70.972;1997;12;Ativo;
49;BMB;I;3;2;12/1997;1.822.181;6.255;479.744;44.803;171.252;1.484;771.063;-33.201;171.307;11.661;0;197.813;1997;12;Ativo;
50;BRB;I;2;2;12/1997;1.551.715;31.830;347.932;63.798;191.318;357;633.441;-2.109;90.881;24.957;25.751;143.559;1997;12;Ativo;
51;DRESDNER;C;4;;12/1997;1.413.788;28.173;94.984;268.501;152.673;0;558.381;-3.250;289.326;885;0;24.116;1997;12;Ativo;
52;BASA;I;1;;12/1997;1.356.104;8.157;507.615;82.665;132.305;213;121.316;-6.101;445.749;5.991;0;58.194;1997;12;Ativo;
53;BEAL;I;4;2;12/1997;1.396.759;938;315.838;538.806;50.882;0;144.145;0;330.044;2.072;0;14.035;1997;12;Ativo;
54;BEG;I;2;2;12/1997;1.170.198;11.705;47.065;462.569;106.830;3.031;338.721;-9.240;146.240;16.483;0;46.794;1997;12;Ativo;
55;ABC-BRASIL;C;4;;12/1997;1.160.543;1.730;82.874;369.052;46.146;0;334.883;0;198.808;5.845;0;121.204;1997;12;Ativo;
