ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
1;CEF;I;1;;12/1996;94.264.364;129.867;7.573.768;8.329.433;12.293.806;119.353;46.490.796;-405.217;14.141.631;1.930.391;0;3.660.537;1996;12;Ativo;
2;BB;C;1;;12/1996;82.633.258;1.053.033;15.023.247;18.641.491;3.900.426;52.295;27.448.345;-1.731.134;14.582.170;355.848;479.781;2.827.756;1996;12;Ativo;
3;BANESPA;C;2;;12/1996;62.770.029;1.386.901;17.648.853;16.849.242;294.120;2.463;24.645.850;-162.325;1.177.634;62.341;129.914;735.037;1996;12;Ativo;
4;BRADESCO;C;3;;12/1996;34.760.075;853.417;7.472.414;3.888.827;1.932.805;73.488;11.497.711;-253.692;5.354.104;144.931;713.318;3.082.752;1996;12;Ativo;
5;ITAU;C;3;;12/1996;30.245.583;1.283.180;6.549.892;2.101.614;1.460.229;14.736;9.418.685;-511.854;4.573.593;439.995;1.297.449;3.618.064;1996;12;Ativo;
6;UNIBANCO;C;5;;12/1996;24.298.679;2.110.142;2.943.208;4.427.915;919.155;5.957;8.601.003;-257.521;2.760.884;126.588;687.440;1.973.908;1996;12;Ativo;
7;REAL;C;3;;12/1996;17.099.984;279.851;3.953.965;3.084.903;713.004;62.343;5.503.889;-252.862;2.222.573;33.635;601.654;897.030;1996;12;Ativo;
8;BAMERINDUS;C;3;;12/1996;13.053.893;152.347;1.195.334;1.067.519;1.605.449;2.920;5.775.380;-286.904;1.286.264;145.525;377.254;1.732.805;1996;12;Ativo;
9;NOSSA CAIXA;I;2;;12/1996;10.378.080;23.909;473.880;1.009.662;935.085;20;6.468.565;-3.140;464.903;19.532;70;985.594;1996;12;Ativo;
10;BANRISUL;C;2;;12/1996;9.881.859;33.142;923.003;6.430.364;342.549;3.281;1.754.227;-67.679;227.451;26.354;35.649;173.518;1996;12;Ativo;
11;CREDIREAL;I;2;2;12/1996;8.447.741;9.697;66.981;7.483.781;73.179;834;435.689;-3.632;265.060;17.666;2.792;95.696;1996;12;Ativo;
12;SAFRA;C;3;;12/1996;11.017.330;51.936;5.323.542;2.018.817;478.611;1.548;1.964.650;-40.650;198.484;53.374;398.279;568.740;1996;12;Ativo;
13;CITIBANK;C;4;;12/1996;6.604.902;317.543;1.786.882;549.301;374.826;0;1.510.796;-49.837;1.838.221;15.747;110.695;150.730;1996;12;Ativo;
14;BCN;I;3;2;12/1996;6.740.039;44.036;1.087.985;573.697;660.366;179;2.594.809;-74.100;919.580;25.099;33.684;874.703;1996;12;Ativo;
15;BANESTADO;C;2;;12/1996;6.114.221;48.949;188.049;499.753;659.073;1.811;2.697.287;-204.750;1.165.577;89.097;785.364;184.011;1996;12;Ativo;
16;SUDAMERIS;C;4;;12/1996;6.800.875;39.295;1.349.319;1.063.671;124.605;43;2.830.820;-68.833;811.367;35.799;333.518;281.271;1996;12;Ativo;
17;BANKBOSTON;C;4;;12/1996;7.864.017;752.340;3.576.093;396.860;225.154;3.111;1.174.999;-2.028;1.380.507;15.896;275.535;65.550;1996;12;Ativo;
18;MERCANTIL SP;C;3;;12/1996;5.272.504;61.066;523.464;1.031.417;516.094;1.104;1.518.879;-24.527;597.018;16.869;385.490;645.631;1996;12;Ativo;
19;BOAVISTA;C;3;;12/1996;5.769.713;50.189;1.205.218;2.664.402;20.219;2.632;1.248.541;-16.624;380.698;23.851;95.669;94.918;1996;12;Ativo;
20;BNB;I;1;;12/1996;4.380.380;15.796;430.891;279.876;224.490;429;2.718.707;-75.422;531.856;8.311;0;245.446;1996;12;Ativo;
21;BBA-CREDITANSTALT;I;5;2;12/1996;4.284.536;4.360;778.840;1.944.914;287.595;0;656.011;-17.918;229.117;7.180;0;394.436;1996;12;Ativo;
22;BOZANO,SIMONSEN;C;5;;12/1996;5.311.760;25.107;1.753.955;1.054.238;6.515;0;924.555;-30.124;1.146.715;37.187;3.929;389.683;1996;12;Ativo;
23;BANDEIRANTES;C;3;;12/1996;5.089.309;32.917;1.227.853;902.702;428.505;5.812;1.521.697;-81.521;382.603;19.884;346.916;301.942;1996;12;Ativo;
24;BBV BANCO;I;4;2;12/1996;4.135.959;99.831;757.923;468.051;272.563;309;1.710.805;-32.573;415.637;63.516;0;379.898;1996;12;Ativo;
25;AMERICA DO SUL;I;5;2;12/1996;4.219.265;47.681;666.978;379.109;391.408;17.833;2.038.580;-32.291;404.575;34.417;0;270.974;1996;12;Ativo;
26;ABN AMRO;C;4;;12/1996;3.452.522;28.526;708.509;119.864;55.508;1.284;1.834.689;-23.863;494.314;10.239;164.648;58.804;1996;12;Ativo;
27;LLOYDS;C;4;;12/1996;2.888.030;799;751.947;531.053;51.496;121.279;832.494;-6.592;528.241;24.046;14.572;38.695;1996;12;Ativo;
28;BEMGE;C;2;;12/1996;2.676.275;61.080;421.901;480.334;175.023;588;744.040;-25.271;684.454;4.442;0;129.684;1996;12;Ativo;
29;BMC;C;3;;12/1996;2.304.281;34.617;24.856;865.192;49.080;0;961.656;-9.539;265.592;19.633;57.014;36.181;1996;12;Ativo;
30;BIC;I;3;2;12/1996;3.600.032;18.474;1.500.415;623.159;140.582;187;1.030.741;-6.606;176.754;20.596;-92;95.820;1996;12;Ativo;
31;MERIDIONAL;I;1;2;12/1996;2.433.206;17.275;272.533;84.616;211.620;0;1.033.517;-18.875;452.829;118.799;0;260.893;1996;12;Ativo;
32;CHASE;C;4;;12/1996;3.302.773;18.992;1.454.022;866.393;504;2;282.422;-847;542.104;2.103;-1.361;138.441;1996;12;Ativo;
33;PONTUAL;C;3;;12/1996;2.169.921;6.067;214.140;378.386;98.984;0;1.077.445;-18.456;154.026;68.850;151.602;38.875;1996;12;Ativo;
34;BANEB;I;2;2;12/1996;1.988.945;21.485;13.080;530.683;263.037;2.990;902.294;-2.814;144.213;8.048;0;105.930;1996;12;Ativo;
35;BESC;I;2;2;12/1996;1.853.889;56.422;188.890;631.640;183.961;272;606.472;-26.232;118.419;3.424;0;90.622;1996;12;Ativo;
36;DIBENS;C;3;;12/1996;1.811.835;7.990;241.918;168.273;44.246;0;418.825;-22.872;234.908;50.416;646.639;21.492;1996;12;Ativo;
37;PACTUAL;I;3;2;12/1996;1.769.762;51.466;601.702;561.094;52;0;21.153;0;325.420;553;0;208.322;1996;12;Ativo;
38;FIBRA;I;3;2;12/1996;1.978.227;1.178;829.490;228.723;128.541;0;483.100;-11.356;210.064;2.266;0;106.221;1996;12;Ativo;
39;BMB;I;3;2;12/1996;1.639.227;8.802;593.696;15.872;105.977;947;601.725;-38.810;145.767;9.724;0;195.526;1996;12;Ativo;
40;DEUTSCH;I;4;2;12/1996;1.335.710;22.974;155.268;69.322;21.187;0;667.954;-668;374.094;2.469;0;23.109;1996;12;Ativo;
41;CREDIBANCO;I;5;2;12/1996;1.311.984;6.302;210.060;70.583;89.281;0;683.665;-4.166;129.984;15.888;1.889;108.498;1996;12;Ativo;
42;RURAL;C;3;;12/1996;1.283.204;44.333;59.869;131.285;55.278;189;796.134;-9.811;81.806;11.465;39.623;73.034;1996;12;Ativo;
43;BMG;C;3;;12/1996;1.246.404;1.974;305.828;91.446;1.345;0;472.580;-24.545;76.508;5.652;255.489;60.128;1996;12;Ativo;
44;BRB;I;2;2;12/1996;1.239.703;27.597;123.100;75.235;126.796;646;593.000;-1.804;93.400;30.783;17.146;153.805;1996;12;Ativo;
45;JP MORGAN;C;4;;12/1996;1.148.273;936;176.807;529.945;98.163;0;140.799;0;184.681;332;0;16.610;1996;12;Ativo;
46;GERAL DO COMERCIO;C;3;;12/1996;1.213.850;14.209;139.563;150.067;100.256;64;532.327;-12.384;168.180;12.047;57.611;51.909;1996;12;Ativo;
47;BANESTES;I;2;2;12/1996;1.053.443;15.986;71.910;89.058;137.935;416;545.614;-2.730;125.645;4.636;0;64.972;1996;12;Ativo;
48;BNL;I;4;2;12/1996;1.047.100;3.111;172.545;261.187;0;0;447.903;-3.722;137.245;6.218;0;22.614;1996;12;Ativo;
49;BASA;I;1;;12/1996;1.032.370;7.999;331.970;43.705;49.411;704;200.016;-3.038;336.485;5.379;0;59.740;1996;12;Ativo;
50;VOTORANTIM;C;3;;12/1996;2.050.032;184;1.428.697;96.654;6;0;300.127;-1.516;153.611;1.474;0;70.794;1996;12;Ativo;
51;TOKYOMITSUBISHI;I;4;2;12/1996;1.124.355;5.325;400.729;51.910;2.580;0;190.104;0;417.369;1.693;0;54.644;1996;12;Ativo;
52;BEC;I;2;2;12/1996;915.644;7.038;109.823;12.199;122.090;5.620;561.320;-23.659;88.423;2.948;0;29.842;1996;12;Ativo;
53;SUMITBANK;I;4;;12/1996;927.329;3.414;325.645;26.879;8.017;0;387.034;0;166.125;659;0;9.555;1996;12;Ativo;
54;SOGERAL;C;5;;12/1996;1.156.951;9.872;351.490;307.229;8.267;0;189.812;-2.821;145.820;6.462;116.787;24.033;1996;12;Ativo;
55;SANTOS;I;3;2;12/1996;1.384.514;2.353;619.532;463.206;16.186;1.043;223.426;-781;18.566;48;0;40.936;1996;12;Ativo;
56;BCN BARCLAYS;I;5;2;12/1996;1.102.062;2.195;409.265;41.592;12.675;0;440.945;-17.832;149.859;23.688;0;39.674;1996;12;Ativo;
57;ING BANK;I;4;2;12/1996;1.601.870;4.297;971.680;348.417;104.655;0;94.964;0;66.027;232;0;11.599;1996;12;Ativo;
58;ROMA;C;5;;12/1996;845.032;4.279;245.395;112.557;187;0;264.755;0;95.701;1.173;0;120.985;1996;12;Ativo;
59;BEG;I;2;2;12/1996;767.302;8.594;12.463;257.328;39.382;5.709;266.958;-533;116.305;23.250;0;37.845;1996;12;Ativo;
60;DEUTSCHE;I;4;;12/1996;748.460;5.661;133.711;91.404;1.193;0;308.084;-698;176.744;11;0;32.350;1996;12;Ativo;
61;SUL AMERICA;C;5;;12/1996;1.053.725;4.249;351.410;461.354;8.996;0;50.532;-64;136.426;1.928;0;38.896;1996;12;Ativo;
