ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
1;CEF;I;1;;12/1997;106.961.482;2.609.774;23.335.938;0;23.581.190;10.847.679;60.374.581;2.164.117;8.980.906;41.996;276.597;1.469.547;1997;12;Passivo;0;33.653.738;4.642.041;97.733;
2;BB;C;1;;12/1997;102.912.553;9.160.181;16.612.893;1.754.174;27.597.303;180.067;55.304.618;6.571.848;1.123.053;59.905;403.465;21.544.209;1997;12;Passivo;0;17.905.454;6.003.033;286.093;
3;BANESPA;C;1;;12/1997;54.439.968;2.720.877;2.824.794;617.567;8.415.648;2.890;14.581.775;29.880.625;0;1.767;117.378;2.193.628;1997;12;Passivo;0;7.664.796;3.929.692;1.097.583;
4;ITAU;C;3;;12/1997;39.396.810;3.353.233;12.625.685;262.710;2.205.212;17.507;18.464.347;5.560.709;2.697.515;76.906;380.968;6.664.150;1997;12;Passivo;0;5.552.216;4.417.301;384.560;
5;BRADESCO;C;3;;12/1997;37.084.192;4.847.491;13.767.407;74.356;2.504.598;1;21.193.853;5.371.472;159;38.125;416.181;6.993.327;1997;12;Passivo;0;3.071.075;5.638.877;396.009;
6;UNIBANCO;C;5;;12/1997;22.800.950;1.042.621;2.802.889;17.693;2.838.653;1.728;6.703.583;3.347.008;3.349.533;271.527;128.764;5.366.647;1997;12;Passivo;0;3.633.887;2.630.915;274.831;
7;REAL;C;3;;12/1997;17.762.329;1.023.480;3.846.367;234.738;3.923.107;4.644;9.032.336;2.926.193;272.062;53.995;216.267;2.879.248;1997;12;Passivo;0;2.382.228;1.863.361;130.632;
8;NOSSA CAIXA;I;2;;12/1997;12.214.048;733.947;4.547.588;100.790;5.311.464;2.967;10.696.757;182.338;352.785;90;7.746;148.129;1997;12;Passivo;0;826.203;873.310;106.825;
9;BEMGE;C;2;;12/1997;13.135.304;254.089;555.683;99.492;901.272;2.366;1.812.902;578.710;0;1.403;11.390;10.435.714;1997;12;Passivo;0;295.186;90.377;-69.687;
10;BANRISUL;C;2;;12/1997;11.594.820;475.043;877.466;43.096;1.652.041;627;3.048.273;130.240;27.526;1.178;32.286;8.079.511;1997;12;Passivo;0;275.806;368.107;-9.229;
11;SAFRA;C;3;;12/1997;14.191.969;93.312;634.112;133.548;3.086.397;137;3.947.505;4.109.240;1.562.049;3.791;95.627;1.587.700;1997;12;Passivo;0;2.886.057;840.540;75.103;
12;HSBC BAMERINDUS;I;4;2;12/1997;11.979.125;882.028;3.553.839;531.454;1.680.261;5.011;6.652.591;2.815.290;0;6.240;160.151;961.463;1997;12;Passivo;0;1.383.389;1.052.536;15.295;
13;BAMERINDUS;I;3;;12/1997;13.596.326;3.639;0;0;0;0;3.639;594.872;0;404.291;0;2.378.101;1997;12;Passivo;0;10.215.423;-5.653.976;-1.904.474;
14;BCN;I;3;2;12/1997;12.345.814;343.635;708.202;683.328;1.811.327;50;3.546.542;5.347.900;56.625;63.641;38.854;2.210.225;1997;12;Passivo;0;1.082.027;803.286;-185.879;
15;BANKBOSTON;C;4;;12/1997;7.798.094;142.762;472.171;16.241;461.842;5.442;1.098.457;786.223;288.204;179.310;28.311;3.589.144;1997;12;Passivo;0;1.828.444;522.170;64.335;
16;CITIBANK;C;4;;12/1997;7.013.824;263.357;310.043;0;1.513.929;822;2.088.151;211.828;599.791;5.995;149.898;1.841.235;1997;12;Passivo;0;2.116.927;699.705;-22.264;
17;BANESTADO;C;2;;12/1997;6.842.167;453.506;1.453.495;719.980;1.574.950;602.076;4.804.006;396.047;262.207;645;36.091;510.299;1997;12;Passivo;0;832.871;230.171;-287.038;
18;BOAVISTA;C;5;;12/1997;5.973.145;69.886;151.793;9.443;2.298.250;140;2.529.512;603.514;107.743;120;1.002;2.225.441;1997;12;Passivo;0;505.813;221.701;-248.517;
19;SUDAMERIS;C;4;;12/1997;7.958.546;249.102;745.752;67.691;1.479.142;7.806;2.549.493;3.124.883;0;23.498;68.126;1.470.287;1997;12;Passivo;0;722.260;584.006;10.807;
20;BBA-CREDITANSTALT;C;5;;12/1997;6.012.072;99.242;0;64.746;1.775.775;0;1.939.763;895.191;548.322;0;21;1.550.280;1997;12;Passivo;0;1.078.495;482.467;49.938;
21;MERCANTIL SP;C;3;;12/1997;4.947.741;135.895;629.439;136.114;2.747.153;797;3.649.398;101.362;26.547;18.845;35.969;607.134;1997;12;Passivo;0;508.487;1.039.662;61.189;
22;EXCEL;C;4;;12/1997;10.980.482;143.229;286.605;35.106;2.540.778;18;3.005.735;5.893.705;298.030;36.220;32.174;1.179.151;1997;12;Passivo;0;535.467;530.585;-54.678;
23;BNB;I;1;;12/1997;4.567.863;223.025;176.355;0;770.165;0;1.169.545;41.398;399.495;26.644;158;1.611.699;1997;12;Passivo;0;1.318.924;735.294;40.565;
24;ABN AMRO;C;4;;12/1997;4.179.082;14.616;0;158.376;582.197;302;755.491;186.582;714.083;32.698;20.582;510.001;1997;12;Passivo;0;1.959.645;439.555;31.288;
25;BANDEIRANTES;C;3;;12/1997;4.438.077;162.155;1.132.940;48.838;1.002.053;440;2.346.427;675.161;385.770;1.621;55.266;390.912;1997;12;Passivo;0;582.920;237.235;-136.774;
26;BOZANO,SIMONSEN;C;5;;12/1997;11.810.175;19.041;0;72.401;1.044.051;0;1.135.494;8.548.261;266.856;0;0;1.032.716;1997;12;Passivo;0;826.848;679.837;69.966;
27;AMERICA DO SUL;C;5;;12/1997;4.259.631;281.389;653.789;0;1.422.336;34.803;2.392.318;409.256;201.265;17.603;89.184;846.740;1997;12;Passivo;0;303.264;294.019;-166.851;
28;LLOYDS;C;4;;12/1997;5.488.849;12.992;0;339.549;1.209.150;0;1.561.691;2.238.002;419.695;10.717;79.505;514.025;1997;12;Passivo;0;665.214;259.933;-23.916;
29;GARANTIA;C;3;;12/1997;3.389.838;33;0;39.149;159.184;0;198.365;1.150.460;276.468;0;55;10.138;1997;12;Passivo;0;1.754.352;319.416;-4.701;
30;CHASE;C;4;;12/1997;2.735.282;5.336;0;5.004;141.179;0;151.519;339.817;0;0;38;1.283.090;1997;12;Passivo;0;960.818;514.274;12.981;
31;JP MORGAN;C;4;;12/1997;2.600.757;205;0;8.137;760.859;0;769.201;338.544;37.798;519;0;961.828;1997;12;Passivo;0;492.868;277.063;-3.951;
32;VOTORANTIM;C;3;;12/1997;3.060.705;1.658;0;79.155;928.633;0;1.009.446;1.526.508;216.550;1;58;52.208;1997;12;Passivo;0;255.935;274.934;9.293;
33;SANTANDER BRASIL;C;4;;12/1997;2.336.491;52.268;0;3.447;863.567;0;919.282;183.984;11.420;498;21.464;881.765;1997;12;Passivo;0;318.076;340.783;-87.581;
34;MERIDIONAL;I;4;2;12/1997;7.253.977;143.088;651.888;801;833.722;0;1.629.499;5.055.724;0;116;382;125.170;1997;12;Passivo;0;443.086;205.934;-63.940;
35;BANEB;I;2;2;12/1997;2.356.017;326.476;326.780;26.123;494.514;149.168;1.323.061;121.061;172.730;14.396;2.905;601.603;1997;12;Passivo;0;120.261;71.207;-28.685;
36;BIC;C;3;;12/1997;3.485.701;13.313;69.580;10.452;1.075.367;0;1.168.711;1.514.259;0;415;194;524.696;1997;12;Passivo;0;277.427;223.029;14.315;
37;BESC;I;2;2;12/1997;1.802.116;268.730;0;275.575;639.957;0;1.184.263;145.364;0;96;8.713;349.406;1997;12;Passivo;0;114.275;262.360;13.460;
38;FIBRA;C;3;;12/1997;2.250.520;8.979;0;19.117;452.765;0;480.861;750.786;186.121;0;221;562.563;1997;12;Passivo;0;269.967;180.739;10.561;
39;BMC;C;3;;12/1997;1.682.899;6.049;0;1.019;596.456;108;603.632;247.066;0;0;28;695.559;1997;12;Passivo;0;136.614;226.379;-4.725;
40;ING BANK;I;4;2;12/1997;2.050.489;1.970;0;248.521;97.536;0;348.028;233.572;598.546;5.657;800;78.858;1997;12;Passivo;0;785.029;86.492;-11.043;
41;CREDIBANCO;C;5;;12/1997;1.758.462;2.965;0;26.342;194.881;0;224.188;112.445;557.659;0;0;682.370;1997;12;Passivo;0;181.799;172.828;4.804;
42;PONTUAL;C;3;;12/1997;1.636.321;6.181;0;144.768;310.335;0;461.284;142.943;281.151;0;9.784;314.729;1997;12;Passivo;0;426.429;186.307;-30.555;
43;PACTUAL;C;3;;12/1997;1.870.252;315;0;24.844;584.755;0;609.914;341.285;0;1.608;0;6.161;1997;12;Passivo;0;911.284;258.397;25.049;
44;DIBENS;C;3;;12/1997;1.625.231;4.465;0;1.044;373.156;0;378.665;132.307;297.380;6.277;306;334.359;1997;12;Passivo;0;475.938;156.536;-5.705;
