ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
1;BB;C;1;;06/1998;129.819.614;3.565.249;10.915.452;40.871.609;15.332.341;329.245;30.744.742;-3.093.176;26.818.678;684.433;594.073;3.056.967;1998;6;Ativo;
2;CEF;I;1;;06/1998;107.676.319;231.526;3.759.998;2.107.019;20.051.614;195.907;61.439.327;-1.756.104;16.820.874;753.214;0;4.072.942;1998;6;Ativo;
3;BRADESCO;C;3;;06/1998;65.306.339;485.190;10.896.623;8.607.086;10.111.512;62.500;20.494.872;-450.132;7.594.935;296.591;2.183.274;5.023.889;1998;6;Ativo;
4;ITAU;C;3;;06/1998;49.280.885;1.948.748;10.706.448;8.308.699;6.793.495;3.389;10.796.706;-745.205;6.066.203;166.864;1.195.328;4.040.210;1998;6;Ativo;
5;UNIBANCO;C;5;;06/1998;29.470.730;362.514;5.084.007;4.350.213;1.686.553;57.209;8.887.086;-308.697;5.093.249;189.885;1.757.556;2.311.154;1998;6;Ativo;
6;BANESPA;C;1;;06/1998;26.970.934;1.839.381;3.563.919;11.603.170;3.928.346;323;3.825.924;-137.665;1.378.687;60.469;181.525;726.855;1998;6;Ativo;
7;REAL;C;3;;06/1998;22.609.306;270.106;3.786.727;2.958.863;2.260.977;13.806;6.980.334;-350.975;4.859.802;61.944;790.914;976.806;1998;6;Ativo;
8;SAFRA;C;3;;06/1998;17.639.291;1.088.482;3.960.763;5.189.850;1.536.936;2.627;2.779.003;-24.950;1.325.024;54.649;1.173.727;553.180;1998;6;Ativo;
9;BANRISUL;C;2;;06/1998;13.818.288;59.235;2.021.775;8.570.657;939.465;61.885;2.278.901;-542.613;216.088;19.726;57.976;135.192;1998;6;Ativo;
10;NOSSA CAIXA;I;2;;06/1998;15.586.892;30.945;3.346.337;7.679.598;2.081.596;32;854.061;-2.409;599.131;27.153;0;970.446;1998;6;Ativo;
11;HSBC;C;4;;06/1998;14.167.754;104.965;2.940.919;4.336.873;2.134.708;168;2.342.335;-40.656;1.283.162;1.950;197.870;865.458;1998;6;Ativo;
12;CITIBANK;C;4;;06/1998;10.091.082;458.908;794.874;1.167.220;1.167.612;0;2.900.973;-62.237;3.138.064;12.321;355.815;157.532;1998;6;Ativo;
13;SANTANDER BRASIL;C;4;;06/1998;10.733.071;42.772;1.517.611;2.063.301;1.072.291;3.812;2.773.279;-322.130;2.174.814;35.031;531.896;840.393;1998;6;Ativo;
14;BANKBOSTON;C;4;;06/1998;10.608.678;470.599;2.873.438;2.376.391;877.909;168;2.524.461;-8.906;970.942;16.274;423.319;84.081;1998;6;Ativo;
15;MERIDIONAL;C;5;;06/1998;16.482.213;31.091;8.326.947;2.893.075;622.499;0;1.518.976;-222.718;2.703.082;107.110;264.832;237.319;1998;6;Ativo;
16;BBA-CREDITANSTALT;C;5;;06/1998;8.715.378;164.434;586.004;3.516.005;562.631;0;2.334.675;-42.192;1.022.818;12.176;113.841;444.986;1998;6;Ativo;
17;BOAVISTA;C;5;;06/1998;6.910.163;1.298.629;136.037;2.665.828;273.021;2.058;1.191.002;-116.839;1.126.394;26.661;117.701;189.672;1998;6;Ativo;
18;MERCANTIL FINASA;C;3;;06/1998;7.020.403;135.307;762.778;630.360;1.074.686;5.265;1.758.628;-46.679;1.032.837;10.023;845.828;811.370;1998;6;Ativo;
19;SUDAMERIS;C;4;;06/1998;8.535.968;35.083;2.137.688;654.768;1.049.619;160;2.648.531;-58.984;1.146.805;33.200;577.373;311.723;1998;6;Ativo;
20;ABN AMRO;C;4;;06/1998;6.326.154;54.085;613.929;1.102.581;412.816;1.130;1.343.722;-68.583;1.138.075;14.360;1.630.385;83.655;1998;6;Ativo;
21;BNB;I;1;;06/1998;5.985.296;18.881;315.354;751.903;346.747;1.346;3.933.585;-128.051;488.777;8.391;0;248.361;1998;6;Ativo;
22;BANESTADO;C;2;;06/1998;5.860.282;50.847;68.817;772.775;1.105.110;359;2.967.115;-947.917;914.864;121.497;518.438;288.377;1998;6;Ativo;
23;BANDEIRANTES;C;4;;06/1998;5.617.477;41.465;513.750;1.041.084;843.115;10.925;1.648.799;-281.479;897.506;58.267;493.253;350.790;1998;6;Ativo;
24;VOTORANTIM;C;3;;06/1998;4.762.384;1.865;690.982;2.724.628;316.967;0;253.378;-2.337;591.870;5.558;82.885;96.588;1998;6;Ativo;
25;BBM;C;3;;06/1998;4.468.445;2.154;157.823;2.857.877;323.141;124.618;196.907;-3.152;640.547;1.260;12.404;154.867;1998;6;Ativo;
26;LLOYDS;C;4;;06/1998;5.070.365;4.758;1.235.707;1.176.466;310.193;160.765;949.221;-8.717;1.025.139;9.493;91.155;116.185;1998;6;Ativo;
27;JP MORGAN;C;4;;06/1998;3.996.623;27.265;316.199;2.025.207;185.816;0;9.174;0;1.412.093;297;0;20.571;1998;6;Ativo;
28;EXCEL;C;4;;06/1998;7.370.928;38.734;3.474.575;453.441;523.947;34;2.038.751;-172.584;321.157;65.864;396.057;230.951;1998;6;Ativo;
29;AMERICA DO SUL;C;5;;06/1998;4.194.010;53.903;355.787;310.810;750.630;3.534;1.849.180;-229.980;462.891;88.415;353.113;195.728;1998;6;Ativo;
30;CHASE;C;4;;06/1998;3.691.590;3.404;793.467;2.092.544;218.578;0;267.081;-3.510;302.662;509;-2.961;19.817;1998;6;Ativo;
31;DEUTSCHE;C;4;;06/1998;4.204.489;4.264;1.043.506;2.130.805;173.968;0;294.591;-698;485.349;40;0;72.664;1998;6;Ativo;
32;CSFB GARANTIA;C;4;;06/1998;3.195.764;1.094;-5.701;1.291.674;56.240;0;25.330;0;1.695.786;0;0;131.341;1998;6;Ativo;
33;ING BANK;I;4;2;06/1998;3.242.999;1.120;1.314.742;1.417.448;83.114;0;91.593;0;324.347;245;0;10.390;1998;6;Ativo;
34;BEMGE;C;2;;06/1998;3.217.984;31.048;237.376;1.771.350;399.967;454;364.238;-437;308.449;2.794;0;102.745;1998;6;Ativo;
35;PACTUAL;C;3;;06/1998;4.409.614;12.831;1.983.641;1.216.215;273.875;0;35.948;-5.617;657.056;1.605;0;234.059;1998;6;Ativo;
36;BESC;I;2;2;06/1998;2.445.673;38.868;475.930;557.395;307.104;1.590;802.952;-22.711;152.275;4.006;0;128.264;1998;6;Ativo;
37;FIBRA;C;3;;06/1998;2.929.111;5.315;641.542;1.034.405;106.578;0;396.114;-52.063;252.056;16.993;456.028;72.143;1998;6;Ativo;
38;PONTUAL;C;3;;06/1998;2.400.398;7.441;7.093;560.891;73.646;0;720.799;-52.704;435.940;102.500;487.531;57.262;1998;6;Ativo;
39;BARCLAYS GALICIA;C;5;;06/1998;2.958.817;55.409;910.198;842.060;95.914;0;775.765;-11.396;240.307;29.358;0;21.203;1998;6;Ativo;
40;BMC;C;3;;06/1998;2.218.053;14.772;94.919;722.307;122.352;0;970.307;-44.286;244.585;21.852;37.258;33.986;1998;6;Ativo;
41;BANEB;I;2;2;06/1998;2.208.206;24.124;23.674;1.268.446;237.005;8.056;351.053;-36.694;241.306;20.970;0;70.266;1998;6;Ativo;
42;BIC;C;3;;06/1998;3.995.208;17.136;1.962.782;208.576;279.000;0;1.029.834;-36.890;365.450;27.862;69.267;72.191;1998;6;Ativo;
43;DRESDNER;C;4;;06/1998;2.187.653;29.709;87.363;829.458;174.798;128.589;492.332;-3.855;423.699;1.365;0;24.194;1998;6;Ativo;
44;RURAL;C;3;;06/1998;2.192.171;30.678;371.389;289.640;260.471;0;963.171;-44.669;148.943;6.936;89.305;76.306;1998;6;Ativo;
45;CREDIBANCO;C;5;;06/1998;1.949.271;12.522;220.152;435.231;145.819;0;804.550;-9.075;212.578;16.879;0;110.616;1998;6;Ativo;
46;BMB;I;3;2;06/1998;2.211.813;8.182;678.425;107.446;279.348;2.651;711.342;-31.672;245.395;11.502;0;199.194;1998;6;Ativo;
47;BMG;C;3;;06/1998;1.761.585;3.156;244.176;323.730;86.455;50;267.873;-35.125;118.691;5.736;678.897;67.946;1998;6;Ativo;
48;BEAL;I;4;2;06/1998;1.708.835;857;88.649;902.004;78.160;0;149.713;0;474.317;1.730;0;13.405;1998;6;Ativo;
49;TOKYOMITSUBISHI;I;4;2;06/1998;1.737.476;2.156;406.604;146.327;15.570;0;297.867;0;825.742;2.825;0;40.385;1998;6;Ativo;
50;BASA;I;1;;06/1998;1.585.714;6.740;649.254;237.843;117.048;235;118.503;-1.965;395.268;5.693;0;57.095;1998;6;Ativo;
51;BRB;I;2;2;06/1998;1.619.134;62.834;263.994;135.371;196.781;228;646.339;-3.424;117.085;20.701;25.445;153.781;1998;6;Ativo;
52;BEG;I;2;2;06/1998;1.410.552;25.223;14.702;711.857;166.229;704;348.675;-41.820;140.898;14.647;0;29.437;1998;6;Ativo;
