ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
1;BB;C;1;;06/1995;78.338.948;3.542.134;6.740.514;9.778.400;6.679.680;2.367;40.996.451;-1.291.905;8.875.338;135.965;674.049;2.205.955;1995;6;Ativo;
2;CEF;I;1;;06/1995;59.813.776;65.561;3.636.245;7.295.696;6.571.695;127.448;34.052.174;-140.936;2.595.996;1.597.989;0;4.011.909;1995;6;Ativo;
3;BANESPA;C;4;;06/1995;42.846.892;833.790;10.772.261;11.741.363;1.109.349;15.753;16.375.277;-186.783;1.313.773;57.882;118.175;696.052;1995;6;Ativo;
4;BRADESCO;I;3;2;06/1995;23.019.851;583.535;1.366.180;871.218;4.904.857;17.141;9.135.887;-159.915;2.532.967;25.038;33.556;3.709.388;1995;6;Ativo;
5;ITAU;I;3;2;06/1995;17.813.602;1.027.345;1.004.752;990.351;3.750.104;18.560;5.944.924;-50.139;2.357.429;38.157;0;2.732.118;1995;6;Ativo;
6;BAMERINDUS;C;3;;06/1995;16.589.561;288.798;844.627;1.939.495;2.892.539;32.146;6.274.385;-45.612;2.543.567;85.426;571.693;1.162.498;1995;6;Ativo;
7;UNIBANCO;C;5;;06/1995;12.834.613;866.935;498.656;1.310.710;1.596.854;1.940;5.155.943;-187.666;1.975.914;36.969;674.042;904.316;1995;6;Ativo;
8;ABN AMRO;C;4;;06/1995;10.858.033;151.910;450.058;1.742.348;1.671.070;12.212;3.618.858;-151.468;1.804.060;16.537;881.813;660.635;1995;6;Ativo;
9;NOSSA CAIXA;I;2;;06/1995;7.734.933;13.101;71.431;1.122.816;1.290.157;77;4.602.516;-12.636;256.005;20.175;64;371.228;1995;6;Ativo;
10;SAFRA;C;3;;06/1995;7.116.437;61.599;1.406.955;2.265.433;497.515;1.245;1.923.491;-60.041;309.678;9.505;484.428;216.628;1995;6;Ativo;
11;BANRISUL;I;2;2;06/1995;6.469.979;28.190;415.928;4.269.846;352.824;14.938;1.117.697;-5.418;87.483;5.488;0;183.004;1995;6;Ativo;
12;BCN;I;3;2;06/1995;6.059.577;14.044;1.185.399;1.069.425;598.449;427;1.650.588;-26.403;950.033;8.037;20.280;589.299;1995;6;Ativo;
13;CREDIREAL;I;2;2;06/1995;5.899.868;7.340;362.106;4.666.517;71.532;807;374.672;-1.928;301.775;17.066;0;99.982;1995;6;Ativo;
14;BANERJ;I;2;2;06/1995;5.450.812;44.256;7.586;3.350.209;383.588;23.689;733.748;-704;677.514;63.341;22;167.561;1995;6;Ativo;
15;BANESTADO;C;2;;06/1995;4.676.732;164.019;31.371;624.691;540.012;931;2.249.324;-33.093;420.634;13.354;512.739;152.751;1995;6;Ativo;
16;BNB;I;1;;06/1995;4.549.620;8.963;227.285;136.938;165.234;290;3.556.517;-36.907;306.297;2.693;0;182.309;1995;6;Ativo;
17;SUDAMERIS;C;4;;06/1995;4.188.846;31.877;117.565;484.968;336.188;155;1.631.305;-63.719;1.160.553;13.462;250.013;226.479;1995;6;Ativo;
18;BOZANO,SIMONSEN;C;3;;06/1995;3.899.473;23.532;726.803;609.923;90.155;0;397.260;-4.917;1.648.334;25.595;94.968;287.820;1995;6;Ativo;
19;CITIBANK;C;4;;06/1995;3.553.645;88.078;600.982;313.254;342.655;0;746.481;-9.535;1.276.915;5.867;49.857;139.092;1995;6;Ativo;
