ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio
1;CEF;I;1;;12/1997;6.008.075;2.157.642;-75.380;0;1.436.845;-4.963.120;-2.467.147;0;0;-123.119;1.973.796;;1997;12;Resultado
2;BB;C;1;;12/1997;5.836.440;3.204.670;-526.159;157.746;542.541;-4.216.676;-1.750.810;-108.421;0;-4.256.484;-1.117.153;;1997;12;Resultado
3;BANESPA;C;1;;12/1997;5.922.922;4.851.423;-13.247;46.879;31.998;-5.078.780;-2.293.931;-32.205;0;-81.754;3.353.305;;1997;12;Resultado
4;ITAU;C;3;;12/1997;2.107.475;666.920;-45.062;122.674;196.063;-1.320.684;-316.265;-236.404;0;-248.229;926.488;;1997;12;Resultado
5;BRADESCO;C;3;;12/1997;2.629.898;644.002;-99.815;217.428;188.408;-1.309.457;-554.318;-115.380;0;-424.052;1.176.714;;1997;12;Resultado
6;UNIBANCO;C;5;;12/1997;2.018.733;585.465;-78.250;152.347;114.239;-944.661;-472.809;-178.884;0;-268.858;927.322;;1997;12;Resultado
7;REAL;C;3;;12/1997;1.069.809;507.982;-30.839;169.746;89.809;-779.161;-183.185;-138.096;0;-81.516;624.549;;1997;12;Resultado
8;NOSSA CAIXA;I;2;;12/1997;1.077.689;365.100;-15.999;268;119.120;-950.779;-22.522;0;0;-8.681;564.196;;1997;12;Resultado
9;BEMGE;C;2;;12/1997;142.453;123.593;-6.815;6.568;23.133;-218.787;-6.344;0;0;-42.930;20.871;;1997;12;Resultado
10;BANRISUL;C;2;;12/1997;378.556;980.844;-12.966;15.327;51.870;-262.455;-894.411;-11.519;0;1.386;246.632;;1997;12;Resultado
11;SAFRA;C;3;;12/1997;707.395;730.063;-144.809;15.000;49.410;-807.636;-88.523;-157.230;0;-17.587;286.083;;1997;12;Resultado
12;HSBC BAMERINDUS;I;4;2;12/1997;377.321;574.880;-15.725;25.973;91.898;-727.104;-45.517;-2.561;0;-5.511;273.654;;1997;12;Resultado
13;BAMERINDUS;I;3;;12/1997;154.053;-90.632;832;1.491;159;0;-274.643;-33.466;0;-598.231;-840.437;;1997;12;Resultado
14;BCN;I;3;2;12/1997;640.938;195.904;-229.415;34.544;64.931;-504.374;-178.575;-15.029;0;-243.481;-234.557;;1997;12;Resultado
15;BANKBOSTON;C;4;;12/1997;321.667;403.129;-51.499;82.822;18.945;-279.228;-187.776;-62.975;0;-3.201;241.884;;1997;12;Resultado
16;CITIBANK;C;4;;12/1997;361.260;208.483;-106.352;22.635;41.783;-183.779;-59.010;-32.409;0;-38.668;213.943;;1997;12;Resultado
17;BANESTADO;C;2;;12/1997;640.468;-29.883;-16.946;17.482;79.768;-471.812;-41.666;-107.372;0;-190.570;-120.531;;1997;12;Resultado
18;BOAVISTA;C;5;;12/1997;274.726;197.908;-202.801;14.278;36.125;-237.864;-69.422;-23.050;0;-380.180;-390.280;;1997;12;Resultado
19;SUDAMERIS;C;4;;12/1997;615.282;204.954;-1.973;25.518;39.745;-421.722;-79.876;-107.041;0;98.331;373.218;;1997;12;Resultado
20;BBA-CREDITANSTALT;C;5;;12/1997;278.914;198.006;-2.601;0;43.277;-369.544;-110.669;0;-22.465;-34.521;-19.603;;1997;12;Resultado
21;MERCANTIL SP;C;3;;12/1997;442.170;85.741;-5.958;45.821;78.330;-307.068;-44.926;-101.663;0;-15.439;177.008;;1997;12;Resultado
22;EXCEL;C;4;;12/1997;528.335;213.567;-25.641;31.831;57.177;-490.336;-44.876;-45.368;0;-94.311;130.378;;1997;12;Resultado
23;BNB;I;1;;12/1997;329.769;49.950;-528;13.166;25.405;-128.817;-154.454;0;0;-83.954;50.537;;1997;12;Resultado
24;ABN AMRO;C;4;;12/1997;558.882;46.663;-28.378;34.390;14.432;-148.429;-33.175;-74.388;0;-39.143;330.854;;1997;12;Resultado
25;BANDEIRANTES;C;3;;12/1997;534.433;94.961;-72.243;30.961;44.899;-291.973;-30.196;-94.864;0;-233.225;-17.247;;1997;12;Resultado
26;BOZANO,SIMONSEN;C;5;;12/1997;99.467;160.674;-29.561;15.804;17.681;-266.352;-54.783;-5.710;0;-672;-63.452;;1997;12;Resultado
27;AMERICA DO SUL;C;5;;12/1997;434.267;86.860;-13.084;26.972;41.933;-265.526;-83.757;-66.640;0;-359.614;-198.589;;1997;12;Resultado
28;LLOYDS;C;4;;12/1997;448.464;287.922;40.869;0;27.175;-412.523;-79.916;-15.463;-2.336;-171.081;123.111;;1997;12;Resultado
29;GARANTIA;C;3;;12/1997;30.375;176.957;-15.806;0;0;-258.406;-464;0;-15.847;0;-83.191;;1997;12;Resultado
30;CHASE;C;4;;12/1997;20.881;277.803;-117.760;5.948;5.718;-125.801;-26.045;-493;0;220;40.471;;1997;12;Resultado
31;JP MORGAN;C;4;;12/1997;9.421;64.827;22.233;2.766;10.376;-81.773;-27.696;0;0;0;154;;1997;12;Resultado
32;VOTORANTIM;C;3;;12/1997;44.418;188.917;-5.378;2.687;18.774;-226.617;-2.876;-774;0;-2.009;17.142;;1997;12;Resultado
33;SANTANDER BRASIL;C;4;;12/1997;133.166;55.210;34.998;4.047;0;-124.365;-43.865;-16.156;0;-94.139;-51.104;;1997;12;Resultado
34;MERIDIONAL;I;4;2;12/1997;378.280;83.720;-10.843;10.636;25.843;-146.689;-12.669;0;0;-156.819;171.459;;1997;12;Resultado
35;BANEB;I;2;2;12/1997;177.970;70.212;-1.337;472;28.939;-142.988;-61.399;0;0;2.550;74.419;;1997;12;Resultado
36;BIC;C;3;;12/1997;224.545;55.490;-24.241;8.058;25.419;-151.566;-28.987;-16.734;0;-37.977;54.007;;1997;12;Resultado
37;BESC;I;2;2;12/1997;188.921;86.852;-9.687;2.291;13.448;-113.743;-32.500;0;0;-39.382;96.200;;1997;12;Resultado
