ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
1;BB;C;1;;12/1998;129.564.120;1.927.702;19.287.117;40.591.722;6.205.235;619.331;30.296.831;-1.752.919;27.778.084;857.940;607.715;3.145.361;1998;12;Ativo;
2;CEF;I;1;;12/1998;114.670.421;542.366;6.612.700;9.109.210;15.026.341;190.252;61.802.189;-1.511.773;18.708.545;1.021.067;0;3.169.525;1998;12;Ativo;
3;BRADESCO;C;3;;12/1998;61.093.935;689.170;5.537.309;13.362.996;6.162.078;38.661;20.782.734;-639.854;7.542.917;465.399;2.292.431;4.860.093;1998;12;Ativo;
4;ITAU;C;3;;12/1998;45.928.305;1.700.105;5.792.162;11.176.308;4.247.953;3.594;11.170.314;-1.027.692;7.432.897;302.234;990.385;4.140.046;1998;12;Ativo;
5;UNIBANCO;C;5;;12/1998;29.381.930;897.454;5.675.412;3.828.721;934.534;43.600;10.080.871;-356.458;3.920.238;187.335;1.871.183;2.299.040;1998;12;Ativo;
6;BANESPA;C;1;;12/1998;25.176.012;2.041.041;3.209.873;11.766.751;1.755.730;4.763;3.910.210;-118.939;1.582.343;65.167;222.628;736.445;1998;12;Ativo;
7;REAL;C;3;;12/1998;19.227.639;273.294;4.972.893;2.033.981;1.563.827;5.722;5.820.613;-320.351;4.309.217;29.738;0;538.704;1998;12;Ativo;
8;BANRISUL;C;2;;12/1998;14.960.370;47.219;19.928;12.096.510;462.731;14.537;2.249.412;-376.240;216.567;18.531;57.228;153.947;1998;12;Ativo;
9;HSBC;C;4;;12/1998;13.939.092;194.663;438.395;6.273.476;1.181.497;39;2.557.875;-101.107;2.339.958;56.343;270.507;727.446;1998;12;Ativo;
10;NOSSA CAIXA;I;2;;12/1998;13.570.155;33.289;1.099.220;8.119.764;1.432.670;15;1.139.605;-2.935;826.329;81.148;0;841.051;1998;12;Ativo;
11;SAFRA;C;3;;12/1998;15.889.906;721.570;6.073.627;3.227.151;537.294;2.036;2.531.440;-19.755;882.641;52.838;1.317.341;563.721;1998;12;Ativo;
12;SANTANDER BRASIL;C;4;;12/1998;11.377.527;48.894;878.197;3.486.713;241.644;3.897;3.472.098;-219.892;1.748.870;64.060;740.823;912.223;1998;12;Ativo;
13;SUDAMERIS;C;4;;12/1998;12.194.502;117.419;2.116.797;1.936.244;688.177;5.750;4.022.815;-128.419;1.806.200;100.532;965.386;563.601;1998;12;Ativo;
14;ABN AMRO;C;4;;12/1998;8.621.050;89.724;1.284.593;942.460;46.110;326;985.856;-81.292;733.523;16.446;2.246.643;2.356.661;1998;12;Ativo;
15;CITIBANK;C;4;;12/1998;8.286.224;104.932;710.157;1.275.085;528.590;0;3.236.756;-59.871;1.837.982;7.299;471.539;173.754;1998;12;Ativo;
16;BBA-CREDITANSTALT;C;5;;12/1998;8.298.542;221.743;729.717;3.204.333;63.073;0;2.636.764;-63.213;695.562;15.477;291.538;503.548;1998;12;Ativo;
17;BANKBOSTON;C;4;;12/1998;9.335.172;694.319;2.582.364;1.966.661;427.314;97;2.413.784;-9.817;663.398;15.602;476.799;104.653;1998;12;Ativo;
18;MERCANTIL FINASA;C;3;;12/1998;7.153.813;153.217;482.092;2.074.690;482.259;841;1.623.067;-28.021;639.861;11.647;917.699;796.460;1998;12;Ativo;
19;BNB;I;1;;12/1998;6.983.938;12.665;444.804;919.480;174.475;158;4.669.045;-48.133;564.919;7.748;0;238.778;1998;12;Ativo;
20;MERIDIONAL;C;4;;12/1998;10.090.329;34.193;4.368.276;2.039.594;288.603;0;1.599.393;-244.702;1.284.643;104.533;399.103;216.694;1998;12;Ativo;
21;BILBAO VIZCAYA;C;4;;12/1998;6.273.086;19.841;704.679;3.375.374;136.279;0;1.052.079;-98.653;380.049;50.012;401.738;251.687;1998;12;Ativo;
22;BANDEIRANTES;C;4;;12/1998;5.702.198;93.411;26.672;1.768.503;411.395;10.958;1.642.084;-187.879;991.945;78.219;521.729;345.162;1998;12;Ativo;
23;BANESTADO;C;2;;12/1998;5.537.028;54.092;56.817;1.257.218;622.398;332;2.313.779;-541.677;951.262;108.357;413.280;301.171;1998;12;Ativo;
24;BOAVISTA;C;5;;12/1998;4.805.871;315.709;219.768;2.001.541;39.206;955;1.038.300;-54.513;876.275;22.278;108.967;237.384;1998;12;Ativo;
25;VOTORANTIM;C;3;;12/1998;4.828.747;855;451.257;3.522.217;68.917;0;256.132;-2.172;256.452;8.771;154.821;111.496;1998;12;Ativo;
26;LLOYDS;C;4;;12/1998;3.550.430;13.869;196.074;1.323.610;14.373;180.030;856.770;-8.025;678.837;7.871;172.425;114.595;1998;12;Ativo;
27;CHASE;C;4;;12/1998;3.563.980;6.484;945.486;1.309.251;240.057;0;283.991;-1.037;762.983;234;-2.263;18.795;1998;12;Ativo;
28;BBM;C;3;;12/1998;2.744.284;3.195;164.585;2.070.827;22.540;121;138.346;-3.346;185.675;1.095;30.782;130.464;1998;12;Ativo;
29;RURAL;C;3;;12/1998;2.543.690;58.484;152.513;948.856;73.517;0;1.053.200;-40.251;112.910;11.290;90.832;82.338;1998;12;Ativo;
30;CSFB GARANTIA;C;4;;12/1998;2.717.914;82.372;861.875;945.374;1.378;0;22.686;0;751.559;0;0;52.670;1998;12;Ativo;
31;PONTUAL;C;3;3;09/1998;2.289.774;5.151;6.096;225.821;48.084;0;746.211;-38.958;480.195;114.662;642.409;60.103;1998;12;Ativo;
32;ING;C;4;;12/1998;2.309.044;1.718;707.224;1.263.069;50.385;0;137.213;0;117.438;438;0;31.560;1998;12;Ativo;
33;BANEB;I;2;2;12/1998;2.001.934;23.605;29.529;1.156.454;211.035;437;289.042;-40.434;243.388;19.726;0;69.154;1998;12;Ativo;
34;DRESDNER;C;4;;12/1998;1.893.507;17.258;69.378;810.043;90.921;121.260;503.595;-4.077;260.378;951;0;23.801;1998;12;Ativo;
35;DEUTSCHE;C;4;;12/1998;2.010.319;10.008;510.428;674.797;3.627;62.612;408.026;0;263.182;39;0;77.599;1998;12;Ativo;
36;BIC;C;3;;12/1998;3.628.603;28.089;1.994.310;323.382;39.428;0;916.811;-31.115;215.513;24.348;47.739;70.097;1998;12;Ativo;
37;BESC;I;2;2;12/1998;1.901.887;26.775;315.015;498.545;106.284;1.883;748.802;-26.939;105.390;8.698;0;117.433;1998;12;Ativo;
38;JP MORGAN;C;4;;12/1998;1.801.572;10.176;432.036;681.713;62.743;0;74.642;0;517.997;480;0;21.785;1998;12;Ativo;
39;BMB;I;3;2;12/1998;2.188.754;7.205;701.368;244.093;109.133;2.392;666.440;-28.094;261.329;20.223;0;204.664;1998;12;Ativo;
40;BARCLAYS GALICIA;C;5;;12/1998;2.868.981;47.351;1.325.630;405.527;57.014;0;820.003;-10.475;177.227;23.440;0;23.264;1998;12;Ativo;
41;BMC;C;3;;12/1998;1.668.088;3.535;14.861;449.874;18.163;0;933.663;-18.043;169.251;27.782;38.751;30.251;1998;12;Ativo;
42;CREDIBANCO;C;5;;12/1998;1.663.323;16.801;218.876;411.538;23.154;0;687.155;-18.429;189.063;14.713;0;120.453;1998;12;Ativo;
43;BASA;I;1;;12/1998;1.596.863;6.261;537.311;277.691;81.832;220;114.487;-1.032;518.704;5.100;0;56.288;1998;12;Ativo;
44;TOKYOMITSUBISHI;I;4;2;12/1998;1.699.334;4.398;340.037;285.135;9.421;0;325.976;0;697.811;6.039;0;30.519;1998;12;Ativo;
