ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;ano;mes;relatorio
1;BB;C;1;1;12/1999;BRASILIA;DF;125.744.876;126.453.782;7.270.731;268.818;72.214.343;81.680;2.840;1999;12;Resumo
2;CEF;I;1;1;12/1999;BRASILIA;DF;121.608.259;122.441.170;3.900.218;280.936;61.544.165;94.194;1.919;1999;12;Resumo
3;BRADESCO;C;3;;12/1999;OSASCO;SP;69.383.445;71.241.100;6.854.074;656.240;37.612.110;61.699;2.437;1999;12;Resumo
4;ITAU;C;3;;12/1999;SAO PAULO;SP;44.842.759;48.408.955;6.911.792;908.170;23.275.933;44.489;1.672;1999;12;Resumo
5;UNIBANCO;C;5;;12/1999;SAO PAULO;SP;30.518.643;33.535.604;4.095.430;290.695;9.229.156;18.979;689;1999;12;Resumo
6;BANESPA;C;1;;12/1999;SAO PAULO;SP;28.228.280;28.310.241;4.176.657;-560.021;11.204.401;29.184;571;1999;12;Resumo
7;ABN AMRO;C;4;;12/1999;SAO PAULO;SP;24.679.736;25.420.195;4.345.059;27.100;8.460.509;21.443;677;1999;12;Resumo
8;SAFRA;C;3;1;12/1999;SAO PAULO;SP;16.286.044;18.810.714;1.054.038;73.603;3.565.235;3.576;73;1999;12;Resumo
9;NOSSA CAIXA;I;2;;12/1999;SAO PAULO;SP;15.447.893;15.447.893;1.013.374;60.704;11.137.818;12.313;486;1999;12;Resumo
10;BANKBOSTON;C;4;;12/1999;SAO PAULO;SP;14.453.693;17.617.229;944.741;122.551;2.751.027;4.186;59;1999;12;Resumo
11;SANTANDER BRASIL;C;4;;12/1999;RIO DE JANEIRO;RJ;13.204.116;13.204.116;1.161.151;11.190;3.760.041;5.259;202;1999;12;Resumo
12;CITIBANK;C;4;;12/1999;SAO PAULO;SP;12.831.233;13.560.079;1.747.939;271.604;1.738.827;2.061;51;1999;12;Resumo
13;HSBC;C;4;;12/1999;CURITIBA;PR;12.634.164;13.261.843;933.160;63.917;6.316.623;19.254;982;1999;12;Resumo
14;BBA-CREDITANSTALT;C;5;;12/1999;SAO PAULO;SP;12.042.545;12.042.545;911.562;60.941;3.600.166;486;5;1999;12;Resumo
15;SUDAMERIS;C;4;;12/1999;SAO PAULO;SP;12.004.787;14.312.679;823.276;-141.411;4.069.696;8.266;292;1999;12;Resumo
16;BILBAO VIZCAYA;C;4;;12/1999;SALVADOR;BA;8.330.088;8.682.749;646.715;29.881;4.493.753;5.568;265;1999;12;Resumo
17;BANDEIRANTES;C;4;1;12/1999;SAO PAULO;SP;7.907.513;8.733.261;427.392;4.254;2.391.954;6.638;167;1999;12;Resumo
18;MERCANTIL FINASA;C;3;;12/1999;SAO PAULO;SP;7.856.759;7.974.313;1.115.142;99.656;4.617.854;5.037;205;1999;12;Resumo
19;BNB;I;1;1;12/1999;FORTALEZA;CE;7.740.820;7.758.393;955.734;47.034;1.039.454;6.668;175;1999;12;Resumo
20;MERIDIONAL;C;4;;12/1999;PORTO ALEGRE;RS;6.703.828;6.866.038;780.484;13.181;1.939.636;4.314;224;1999;12;Resumo
21;BANRISUL;C;2;;12/1999;PORTO ALEGRE;RS;6.244.117;6.244.117;513.287;15.882;4.055.658;7.699;369;1999;12;Resumo
