ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio
1;BB;C;1;;06/1995;8.117.503;1.620.067;-163.579;176.360;220.203;-5.928.200;-2.060.800;-112.838;0;-1.661.821;206.895;;1995;6;Resultado
2;CEF;I;1;;06/1995;7.229.414;2.042.851;0;0;1.227.168;-7.266.872;-1.748.499;0;0;-673.141;810.921;;1995;6;Resultado
3;BANESPA;C;4;;06/1995;3.908.914;4.093.969;-5.053;39.177;72.260;-4.318.084;-2.487.668;-21.482;0;-159.905;1.122.128;;1995;6;Resultado
4;BRADESCO;I;3;2;06/1995;2.896.396;415.887;-79.209;75.005;277.503;-1.956.973;-181.699;-4.305;0;-497.731;944.874;;1995;6;Resultado
5;ITAU;I;3;2;06/1995;2.047.341;416.693;-79.997;30.227;217.659;-1.445.973;-114.272;0;0;-365.542;706.136;;1995;6;Resultado
6;BAMERINDUS;C;3;;06/1995;1.883.975;552.605;-245.569;26.186;189.867;-1.586.941;-214.826;-99.680;0;-141.320;364.297;;1995;6;Resultado
7;UNIBANCO;C;5;;06/1995;1.796.470;402.064;-197.519;50.866;62.897;-1.084.582;-274.130;-147.824;0;-295.808;312.434;;1995;6;Resultado
8;ABN AMRO;C;4;;06/1995;1.376.225;319.672;-20.112;37.783;111.075;-904.806;-111.506;-141.861;0;-156.735;509.735;;1995;6;Resultado
9;NOSSA CAIXA;I;2;;06/1995;1.271.049;54.262;-8.695;444;112.985;-993.374;-119.603;0;0;-12.134;304.934;;1995;6;Resultado
10;SAFRA;C;3;;06/1995;758.640;480.126;-284.347;20.822;18.862;-800.297;-87.984;-141.930;0;-16.058;-52.166;;1995;6;Resultado
11;BANRISUL;I;2;2;06/1995;438.550;842.352;-1.150;2.760;62.890;-285.553;-736.611;0;0;-67.799;255.439;;1995;6;Resultado
12;BCN;I;3;2;06/1995;554.962;620.822;-197.760;14.571;23.056;-911.820;-86.225;-1.141;0;-59.654;-43.189;;1995;6;Resultado
13;CREDIREAL;I;2;2;06/1995;131.128;92.647;-3.734;2.486;6.565;-215.828;-15.487;0;0;-9.208;-11.431;;1995;6;Resultado
14;BANERJ;I;2;2;06/1995;225.574;2.838;-2.926;3.994;39.557;-432.903;-11.660;0;0;-76.206;-251.732;;1995;6;Resultado
15;BANESTADO;C;2;;06/1995;839.882;110.481;-2.976;8.103;45.978;-495.300;-85.802;-87.481;0;-87.130;245.755;;1995;6;Resultado
16;BNB;I;1;;06/1995;319.754;61.597;-3.329;6.037;7.761;-105.670;-203.432;0;0;-74.923;7.795;;1995;6;Resultado
17;SUDAMERIS;C;4;;06/1995;621.192;90.492;-58.033;21.679;19.053;-364.951;-76.511;-67.042;0;-90.319;95.560;;1995;6;Resultado
18;BOZANO,SIMONSEN;C;3;;06/1995;138.283;26.053;-79.010;45.932;0;-146.886;-43.406;-25.678;0;-10.281;-94.993;;1995;6;Resultado
19;CITIBANK;C;4;;06/1995;288.990;130.983;-219.037;11.535;14.939;-172.199;-89.180;-20.069;0;-24.655;-78.693;;1995;6;Resultado
20;MERCAPAULO;I;3;2;06/1995;348.621;102.930;-18.698;18.698;109.430;-378.201;-26.055;0;0;-27.228;129.497;;1995;6;Resultado
