ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
1;BB;C;1;;06/1998;123.517.512;10.614.568;17.210.498;1.807.225;32.704.762;281.019;62.618.072;16.185.074;1.025.732;3.879.882;405.872;20.236.552;1998;6;Passivo;0;19.166.327;6.302.102;415.029;
2;CEF;I;1;;06/1998;103.154.339;2.917.648;24.598.841;30.022;27.195.316;1.972.026;56.713.853;942.722;6.623.943;518.001;85.545;1.920.885;1998;6;Passivo;0;36.349.388;4.521.980;182.264;
3;BRADESCO;C;3;;06/1998;59.095.005;4.992.699;14.791.640;143.031;7.115.141;39;27.042.550;13.544.257;335.202;2.593.699;156.570;9.333.066;1998;6;Passivo;0;6.089.659;6.211.334;456.132;
4;ITAU;C;3;;06/1998;44.580.154;2.916.322;12.670.186;205.320;3.064.023;13.703;18.869.554;7.438.157;3.677.589;2.591.974;222.661;5.603.612;1998;6;Passivo;0;6.176.607;4.700.731;403.261;
5;UNIBANCO;C;5;;06/1998;26.591.565;983.772;2.750.734;83.509;3.646.292;3.449;7.467.756;2.767.226;4.311.215;310.992;203.652;5.601.414;1998;6;Passivo;0;5.929.310;2.879.164;249.631;
6;BANESPA;C;1;;06/1998;22.983.807;2.536.314;2.614.683;458.462;7.380.254;3.301;12.993.013;1.457.364;0;729.352;80.179;2.347.815;1998;6;Passivo;0;5.376.084;3.987.127;-49.296;
7;REAL;C;3;;06/1998;20.658.969;764.307;3.743.235;231.578;3.929.367;3.945;8.672.432;3.510.097;279.158;1.057.063;98.160;2.738.207;1998;6;Passivo;0;4.303.851;1.950.337;135.788;
8;SAFRA;C;3;;06/1998;16.767.407;105.606;746.267;99.796;2.909.835;2.159;3.863.663;4.123.737;1.847.650;497.714;37.629;3.796.024;1998;6;Passivo;0;2.600.990;871.884;75.215;
9;BANRISUL;C;2;;06/1998;14.761.664;346.435;1.418.008;36.823;2.270.689;1.472;4.073.427;351.660;4.292;271.837;51.226;9.093.172;1998;6;Passivo;0;916.049;-943.375;-786.199;
10;NOSSA CAIXA;I;2;;06/1998;14.667.599;666.958;4.666.409;0;4.749.314;3.477;10.086.159;2.709.379;193.290;760.330;14.292;150.707;1998;6;Passivo;0;753.441;919.292;39.022;
11;HSBC;C;4;;06/1998;13.060.746;570.528;3.839.707;109.984;2.476.206;1.811;6.998.236;1.708.086;0;637.035;17.896;1.430.714;1998;6;Passivo;0;2.268.779;1.107.008;54.430;
12;CITIBANK;C;4;;06/1998;9.021.609;219.110;272.662;265.814;1.028.172;1.045;1.786.803;83.068;565.020;799.130;21.347;2.239.445;1998;6;Passivo;0;3.526.796;1.069.473;53.962;
13;SANTANDER BRASIL;C;4;;06/1998;10.033.192;135.491;231.645;48.409;3.592.999;0;4.008.544;896.243;45.152;225.312;15.005;2.208.589;1998;6;Passivo;0;2.634.349;699.879;43.695;
14;BANKBOSTON;C;4;;06/1998;9.863.183;331.255;483.220;64.740;682.287;5.724;1.567.227;1.152.963;316.461;725.399;47.011;4.657.671;1998;6;Passivo;0;1.396.452;745.495;62.908;
15;MERIDIONAL;C;5;;06/1998;15.459.021;187.811;655.408;16.035;2.361.325;0;3.220.579;7.742.435;355.077;91.040;277;1.159.502;1998;6;Passivo;0;2.890.111;1.023.192;45.811;
16;BBA-CREDITANSTALT;C;5;;06/1998;8.106.835;147.934;0;31.053;1.911.779;0;2.090.765;1.518.526;857.232;117.984;78;2.357.801;1998;6;Passivo;0;1.164.449;608.543;66.239;
17;BOAVISTA;C;5;;06/1998;6.515.954;59.148;144.365;0;2.005.225;32;2.208.770;825.321;47.464;23.873;837;2.217.047;1998;6;Passivo;0;1.192.642;394.210;12.566;
18;MERCANTIL FINASA;C;3;;06/1998;5.887.798;139.713;609.236;153.731;3.263.112;843;4.166.635;229.006;23.465;162.852;16.410;672.382;1998;6;Passivo;0;617.048;1.132.605;50.474;
19;SUDAMERIS;C;4;;06/1998;7.935.143;218.877;619.352;161.735;1.130.708;6.130;2.136.801;2.428.628;0;495.922;47.902;1.710.882;1998;6;Passivo;0;1.115.009;600.824;40.063;
20;ABN AMRO;C;4;;06/1998;5.760.502;29.394;0;82.733;1.096.886;704;1.209.716;213.153;1.268.327;164.550;41.945;521.009;1998;6;Passivo;0;2.341.801;565.652;48.507;
21;BNB;I;1;;06/1998;5.228.233;191.900;196.467;0;836.874;0;1.225.242;11.490;411.931;52.802;350;1.724.727;1998;6;Passivo;0;1.801.692;757.063;28.983;
22;BANESTADO;C;2;;06/1998;7.686.794;433.570;1.389.936;1.156.283;1.687.509;354.970;5.022.268;231.423;199.099;153.101;13.566;928.766;1998;6;Passivo;0;1.138.571;-1.826.512;-2.056.744;
23;BANDEIRANTES;C;4;;06/1998;5.575.448;170.181;1.137.663;17.312;1.315.220;71;2.640.448;827.175;223.532;260.240;33.981;599.529;1998;6;Passivo;0;990.544;42.029;-21.530;
24;VOTORANTIM;C;3;;06/1998;4.472.267;656;0;9.278;1.409.266;0;1.419.201;1.972.519;438.568;30.616;69;99.490;1998;6;Passivo;0;511.803;290.117;18.806;
25;BBM;C;3;;06/1998;4.103.888;120.976;0;75.308;529.139;0;725.423;1.213.639;53.829;122.590;124.618;1.233.127;1998;6;Passivo;0;630.664;364.557;40.444;
26;LLOYDS;C;4;;06/1998;4.828.518;3.028;0;238.447;1.107.389;0;1.348.864;1.095.733;709.332;156.321;161.694;446.901;1998;6;Passivo;0;909.673;241.847;-18.348;
27;JP MORGAN;C;4;;06/1998;3.624.619;1.120;0;59.991;484.696;0;545.806;70.949;39.240;11.518;0;1.830.625;1998;6;Passivo;0;1.126.480;372.004;94.689;
