ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
1;CEF;I;1;;06/1997;101.122.841;2.267.865;19.676.127;0;22.110.149;11.837.666;55.891.807;1.298.376;7.682.987;610.145;92.075;1.760.798;1997;6;Passivo;0;33.786.653;4.651.239;308.197;
2;BB;C;1;;06/1997;98.562.088;7.425.247;13.962.283;2.063.109;25.638.122;182.268;49.271.029;5.912.806;1.303.688;4.183.294;418.381;17.461.032;1997;6;Passivo;0;20.011.858;5.796.890;287.726;
3;BANESPA;C;2;;06/1997;67.860.822;2.235.883;2.356.642;10.498.071;8.498.886;6.691;23.596.172;17.320.384;0;928.985;80.971;19.714.065;1997;6;Passivo;0;6.220.246;3.333.187;939.804;
4;BRADESCO;C;3;;06/1997;35.950.528;4.767.679;11.366.345;138.115;1.334.172;1;17.606.312;5.066.333;19.958;2.471.137;124.915;7.874.881;1997;6;Passivo;0;2.786.993;5.786.570;449.362;
5;ITAU;C;3;;06/1997;31.700.577;2.191.978;9.567.336;214.065;678.336;5.776;12.657.491;4.440.275;1.080.029;2.647.128;376.055;5.140.689;1997;6;Passivo;0;5.358.911;4.282.849;351.034;
6;UNIBANCO;C;5;;06/1997;22.019.860;1.244.138;2.531.465;25.964;2.654.040;4.073;6.459.681;3.731.896;2.671.531;224.170;158.008;4.997.175;1997;6;Passivo;0;3.777.400;2.466.759;178.218;
7;REAL;C;3;;06/1997;16.942.317;771.640;3.115.037;232.271;3.346.656;4.829;7.470.433;2.835.174;277.389;1.404.357;114.533;2.107.104;1997;6;Passivo;0;2.733.327;1.773.698;110.467;
8;NOSSA CAIXA;I;2;;06/1997;12.025.982;680.754;3.906.024;534.343;3.869.366;2.328;8.992.813;592.589;355.428;615.043;12.494;144.032;1997;6;Passivo;0;1.313.582;823.628;54.376;
9;BEMGE;C;2;;06/1997;12.240.584;387.706;484.998;117.330;910.078;3.014;1.903.126;504.336;0;138.621;1.756;9.304.638;1997;6;Passivo;0;388.107;159.870;-6.785;
10;BCN;C;3;;06/1997;15.023.934;350.573;611.989;99.752;2.997.329;40;4.059.683;4.679.019;336.024;1.316.079;12.114;3.071.700;1997;6;Passivo;0;1.549.315;1.207.511;87.488;
11;BANRISUL;C;2;;06/1997;10.913.238;428.352;699.629;55.366;1.587.786;532;2.771.665;412.279;64.330;309.394;61.159;7.086.512;1997;6;Passivo;0;207.900;388.848;-32.027;
12;HSBC BAMERINDUS;I;4;2;06/1997;12.383.330;668.188;2.939.952;1.388.447;1.127.827;234;6.124.649;2.819.207;209.970;889.616;18.753;660.120;1997;6;Passivo;0;1.661.017;1.050.914;33.291;
13;SAFRA;C;3;;06/1997;15.403.585;106.242;575.583;259.726;1.867.727;153;2.809.430;6.507.455;1.461.654;826.200;51.017;860.549;1997;6;Passivo;0;2.887.279;810.038;80.736;
14;CITIBANK;C;4;;06/1997;7.595.730;301.535;255.600;17.128;1.143.232;97;1.717.591;45.545;698.180;702.161;27.059;1.571.678;1997;6;Passivo;0;2.833.517;661.411;66.232;
15;BAMERINDUS;I;3;;06/1997;11.502.358;3.639;0;0;0;0;3.639;0;0;1.113.394;0;2.103.569;1997;6;Passivo;0;8.281.756;-3.684.332;233.844;
16;BANKBOSTON;C;4;;06/1997;8.721.289;140.421;356.793;17.218;484.149;5.398;1.003.979;1.954.664;253.535;611.736;45.077;2.776.495;1997;6;Passivo;0;2.075.803;466.625;36.657;
17;BANESTADO;C;2;;06/1997;6.097.445;398.409;1.315.631;548.550;1.626.516;406.911;4.296.017;31.208;376.105;203.766;20.835;482.820;1997;6;Passivo;0;686.695;463.109;8.551;
18;SUDAMERIS;C;4;;06/1997;8.202.559;202.807;658.543;234.777;1.459.783;3.674;2.559.584;2.650.078;14.354;401.605;65.351;1.511.064;1997;6;Passivo;0;1.000.523;550.603;34.782;
19;LLOYDS;C;4;;06/1997;6.181.731;4.027;0;884.930;432.900;0;1.321.858;251.719;588.101;744.244;120.191;810.394;1997;6;Passivo;0;2.345.225;229.655;-33.159;
