TipoInstituicao;CodInst;AnoMes;NomeRelatorio;NumeroRelatorio;Grupo;Conta;NomeColuna;DescricaoColuna;Saldo
1;00068389;201903;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];33131889.67
1;00068389;201903;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];14848074.77
1;00068389;201903;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];22842581.79
1;00068389;201903;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];21602174.47
1;00068389;201903;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];10289307.88
1;00068389;201903;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];186951.59
1;00068389;201903;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;10186200.74
1;00068389;201903;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0385006520105159
1;00068389;201903;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.527757218483257
1;00068987;201903;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];213953908.23
1;00068987;201903;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];144656254.93
1;00068987;201903;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];175336604.86
1;00068987;201903;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];86834392.05
1;00068987;201903;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];38617303.37
1;00068987;201903;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];499076.65
1;00068987;201903;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;32991704.07
1;00068987;201903;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0799366454186311
1;00068987;201903;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.219995829997384
1;00075847;201903;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];821732273.16
1;00075847;201903;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];391173936.61
1;00075847;201903;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];685908601.02
1;00075847;201903;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];674944022.99
1;00075847;201903;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];135823672.14
1;00075847;201903;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];5387483.59
1;00075847;201903;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;135769270.98
1;00075847;201903;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0269792002531971
1;00075847;201903;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.272117077555763
1;00106180;201903;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];288304429.69
1;00106180;201903;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];8048626.95
1;00106180;201903;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];257605962.55
1;00106180;201903;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];0.0
1;00106180;201903;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];30698467.14
1;00106180;201903;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];59297.280000001
1;00106180;201903;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;24067411.06
1;00106180;201903;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.177030081024427
1;00106180;201903;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.244710382143174
1;00129753;201903;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];1403921.87
1;00129753;201903;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];715729.31
1;00129753;201903;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];119541.14
1;00129753;201903;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];0.0
1;00129753;201903;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];1284380.73
1;00129753;201903;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];59814.44
