ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio
1;CEF;I;1;;12/1995;6.543.453;2.511.060;-583;0;1.266.420;-6.887.584;-1.768.452;0;0;-857.060;807.254;;1995;12;Resultado
2;BB;C;1;;12/1995;6.668.707;2.181.375;-173.285;1.151.973;328.813;-6.158.483;-2.232.427;-136.363;0;-2.184.402;-554.092;;1995;12;Resultado
3;BANESPA;C;2;;12/1995;4.283.221;4.289.678;185;80.312;49.258;-4.820.405;-2.118.975;-27.097;0;-318.462;1.417.715;;1995;12;Resultado
4;BRADESCO;I;3;2;12/1995;2.773.510;667.177;-22.553;186.713;235.650;-1.975.415;-312.557;-4.572;0;-700.104;847.849;;1995;12;Resultado
5;UNIBANCO;C;5;;12/1995;1.773.030;708.817;22.963;330.860;67.783;-1.208.315;-391.019;-184.690;0;-429.013;690.416;;1995;12;Resultado
6;ITAU;I;3;2;12/1995;1.800.893;390.753;-15.013;140.675;178.707;-1.204.175;-206.732;0;0;-475.065;610.043;;1995;12;Resultado
7;BAMERINDUS;C;3;;12/1995;1.850.742;469.153;-53.054;47.293;196.019;-1.485.284;-180.319;-118.980;0;-284.186;441.384;;1995;12;Resultado
8;REAL;C;3;;12/1995;1.299.330;433.976;1.170;122.807;87.019;-805.999;-187.758;-181.363;0;-245.013;524.169;;1995;12;Resultado
9;NOSSA CAIXA;I;2;;12/1995;1.369.112;-17.806;-13.802;722;120.448;-1.033.259;-20.132;0;0;-46.691;358.592;;1995;12;Resultado
10;BANRISUL;I;2;2;12/1995;392.390;1.074.757;1.410;6.832;58.660;-374.779;-870.314;0;0;-88.725;200.231;;1995;12;Resultado
11;SAFRA;C;3;;12/1995;503.242;555.113;1.712;5.887;22.265;-589.257;-120.217;-134.192;0;-13.742;230.811;;1995;12;Resultado
12;CREDIREAL;I;2;2;12/1995;110.875;87.933;-392;1.498;5.528;-207.935;-9.830;0;0;-17.732;-30.055;;1995;12;Resultado
13;BANERJ;I;2;2;12/1995;243.777;20.296;-104;1.819;32.312;-451.043;-6.523;0;0;-58.300;-217.766;;1995;12;Resultado
14;BCN;I;3;2;12/1995;561.291;589.624;27.765;34.130;27.607;-765.581;-116.353;-330;0;-184.593;173.560;;1995;12;Resultado
15;BNB;I;1;;12/1995;334.121;54.019;-406;15.483;6.389;-75.157;-222.195;0;0;257;112.511;;1995;12;Resultado
16;BANESTADO;C;2;;12/1995;876.970;109.851;-398;9.459;46.895;-481.776;-88.588;-127.121;0;-166.721;178.571;;1995;12;Resultado
17;SUDAMERIS;C;4;;12/1995;586.074;129.325;4.111;29.183;16.327;-348.983;-72.212;-76.820;0;-67.734;199.271;;1995;12;Resultado
18;CITIBANK;C;4;;12/1995;305.450;253.991;-20.234;9.014;10.961;-225.197;-85.007;-25.268;0;-44.668;179.042;;1995;12;Resultado
19;BANKBOSTON;C;4;;12/1995;137.752;308.396;21.229;74.673;1.456;-260.815;-82.102;-41.779;0;-6.747;152.063;;1995;12;Resultado
20;BBA-CREDITANSTALT;I;5;2;12/1995;83.553;172.889;-9.062;49.668;2.178;-112.769;-89.823;0;0;-17.303;79.331;;1995;12;Resultado
21;MERCAPAULO;I;3;2;12/1995;224.341;175.510;-10.281;41.688;84.807;-344.975;-38.212;0;0;-49.337;83.541;;1995;12;Resultado
22;BOAVISTA;C;3;;12/1995;336.843;553.233;-8.106;16.095;11.292;-698.265;-24.436;-26.820;0;-142.740;17.096;;1995;12;Resultado
23;LLOYDS;C;4;;12/1995;112.315;652.095;-8.470;0;1.963;-560.484;-63.838;-4.794;-48.929;-12.472;67.386;;1995;12;Resultado
