ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;ano;mes;relatorio
1;CEF;I;1;;12/1995;BRASILIA;DF;79.997.200;80.413.061;3.529.403;65.377;48.921.055;99.866;2.316;1995;12;Resumo
2;BB;C;1;;12/1995;BRASILIA;DF;79.097.244;79.854.753;3.466.471;-1.578.505;53.764.869;115.540;3.171;1995;12;Resumo
3;BANESPA;C;2;;12/1995;SAO PAULO;SP;36.961.838;49.143.477;1.461.974;-22.765;18.027.200;37.854;613;1995;12;Resumo
4;BRADESCO;I;3;2;12/1995;OSASCO;SP;25.107.875;28.847.096;4.842.092;249.045;14.590.210;56.291;1.856;1995;12;Resumo
5;UNIBANCO;C;5;;12/1995;SAO PAULO;SP;20.716.946;22.290.730;1.967.951;78.876;9.689.985;31.784;807;1995;12;Resumo
6;ITAU;I;3;2;12/1995;SAO PAULO;SP;18.710.995;19.616.485;3.340.808;155.985;9.663.743;42.003;1.022;1995;12;Resumo
7;BAMERINDUS;C;3;;12/1995;CURITIBA;PR;14.345.669;14.581.830;1.337.229;30.968;6.339.219;28.498;1.372;1995;12;Resumo
8;REAL;C;3;;12/1995;SAO PAULO;SP;10.900.445;11.115.665;1.385.025;63.300;6.120.031;14.807;538;1995;12;Resumo
9;NOSSA CAIXA;I;2;;12/1995;SAO PAULO;SP;8.730.344;8.730.695;718.771;1.635;6.608.104;14.307;482;1995;12;Resumo
10;BANRISUL;I;2;2;12/1995;PORTO ALEGRE;RS;7.586.925;12.182.474;440.261;4.530;1.882.816;9.183;314;1995;12;Resumo
11;SAFRA;C;3;;12/1995;SAO PAULO;SP;6.795.871;7.087.373;579.840;80.139;3.251.524;3.470;71;1995;12;Resumo
12;CREDIREAL;I;2;2;12/1995;JUIZ DE FORA;MG;6.429.986;6.623.317;73.094;-4.288;797.865;3.076;87;1995;12;Resumo
13;BANERJ;I;2;2;12/1995;RIO DE JANEIRO;RJ;6.200.546;6.200.546;-1.859.496;-336.060;3.050.645;11.529;218;1995;12;Resumo
14;BCN;I;3;2;12/1995;BARUERI;SP;5.895.917;9.001.161;813.552;64.832;3.212.254;7.085;108;1995;12;Resumo
15;BNB;I;1;;12/1995;FORTALEZA;CE;5.466.493;5.571.754;414.137;74.084;810.676;9.187;181;1995;12;Resumo
16;BANESTADO;C;2;;12/1995;CURITIBA;PR;5.142.483;5.142.762;441.949;24.100;2.844.776;13.880;394;1995;12;Resumo
17;SUDAMERIS;C;4;;12/1995;SAO PAULO;SP;4.177.797;4.964.032;407.691;33.332;1.791.509;4.972;97;1995;12;Resumo
18;CITIBANK;C;4;;12/1995;SAO PAULO;SP;3.822.217;4.249.911;572.967;30.074;1.344.005;2.074;43;1995;12;Resumo
19;BANKBOSTON;C;4;;12/1995;SAO PAULO;SP;3.745.755;4.389.876;342.723;8.445;1.253.461;2.722;59;1995;12;Resumo
20;BBA-CREDITANSTALT;I;5;2;12/1995;SAO PAULO;SP;3.699.741;4.345.039;315.619;44.865;496.366;352;5;1995;12;Resumo
21;MERCAPAULO;I;3;2;12/1995;SAO PAULO;SP;3.609.475;3.609.475;807.021;26.672;2.144.992;5.435;199;1995;12;Resumo
22;BOAVISTA;C;3;;12/1995;RIO DE JANEIRO;RJ;3.475.782;3.563.497;379.329;14.003;2.283.609;2.978;56;1995;12;Resumo
23;LLOYDS;C;4;;12/1995;SAO PAULO;SP;3.386.982;3.696.296;280.377;-8.394;1.592.464;580;22;1995;12;Resumo
24;AMERICA DO SUL;I;5;2;12/1995;SAO PAULO;SP;3.070.356;3.622.762;356.854;20.419;1.715.597;6.277;138;1995;12;Resumo
25;BCO BFB;I;4;2;12/1995;SAO PAULO;SP;2.761.905;2.833.727;236.471;-18.882;750.112;1.778;45;1995;12;Resumo
26;BOZANO,SIMONSEN;C;5;;12/1995;RIO DE JANEIRO;RJ;2.707.850;3.573.724;346.539;40.042;599.496;332;4;1995;12;Resumo
27;ABN AMRO;I;4;2;12/1995;SAO PAULO;SP;2.665.035;2.763.050;231.536;28.222;1.083.292;1.705;30;1995;12;Resumo
28;BEMGE;I;2;2;12/1995;BELO HORIZONTE;MG;2.538.009;2.691.241;246.577;-58.289;1.696.288;11.390;518;1995;12;Resumo
29;MERIDIONAL;I;1;2;12/1995;PORTO ALEGRE;RS;2.165.690;2.254.080;419.895;11.660;1.227.565;10.464;256;1995;12;Resumo
30;BCO BANDEIRANTES;I;3;2;12/1995;BARUERI;SP;2.103.900;3.700.553;250.270;17.833;1.229.811;5.974;120;1995;12;Resumo
31;PONTUAL;C;3;;12/1995;SAO PAULO;SP;1.801.068;2.081.518;143.017;14.860;663.503;533;13;1995;12;Resumo
32;BANEB;I;2;2;12/1995;SALVADOR;BA;1.572.393;1.623.942;176.186;2.040;807.739;4.520;174;1995;12;Resumo
