ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;ano;mes;relatorio
1;BB;C;1;;06/1998;BRASILIA;DF;127.108.165;129.819.614;6.302.102;415.029;62.618.072;87.647;2.780;1998;6;Resumo
2;CEF;I;1;;06/1998;BRASILIA;DF;107.676.319;107.676.319;4.521.980;182.264;56.713.853;90.323;1.789;1998;6;Resumo
3;BRADESCO;C;3;;06/1998;OSASCO;SP;55.756.368;65.306.339;6.211.334;456.132;27.042.550;57.247;2.187;1998;6;Resumo
4;ITAU;C;3;;06/1998;SAO PAULO;SP;42.477.595;49.280.885;4.700.731;403.261;18.869.554;39.065;1.187;1998;6;Resumo
5;UNIBANCO;C;5;;06/1998;SAO PAULO;SP;26.833.348;29.470.730;2.879.164;249.631;7.467.756;22.727;685;1998;6;Resumo
6;BANESPA;C;1;;06/1998;SAO PAULO;SP;25.974.820;26.970.934;3.987.127;-49.296;12.993.013;29.246;575;1998;6;Resumo
7;REAL;C;3;;06/1998;SAO PAULO;SP;20.283.529;22.609.306;1.950.337;135.788;8.672.432;15.286;571;1998;6;Resumo
8;SAFRA;C;3;;06/1998;SAO PAULO;SP;14.213.946;17.639.291;871.884;75.215;3.863.663;3.926;70;1998;6;Resumo
9;BANRISUL;C;2;;06/1998;PORTO ALEGRE;RS;13.467.841;13.818.288;-943.375;-786.199;4.073.427;8.361;372;1998;6;Resumo
10;NOSSA CAIXA;I;2;;06/1998;SAO PAULO;SP;12.877.512;15.586.892;919.292;39.022;10.086.159;12.305;484;1998;6;Resumo
11;HSBC;C;4;;06/1998;CURITIBA;PR;12.486.361;14.167.754;1.107.008;54.430;6.998.236;20.913;1.033;1998;6;Resumo
12;CITIBANK;C;4;;06/1998;SAO PAULO;SP;10.070.771;10.091.082;1.069.473;53.962;1.786.803;2.325;68;1998;6;Resumo
