TipoInstituicao;CodInst;AnoMes;NomeRelatorio;NumeroRelatorio;Grupo;Conta;NomeColuna;DescricaoColuna;Saldo
1;00068389;201509;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];23112331.29
1;00068389;201509;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];12792362.89
1;00068389;201509;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];15256581.12
1;00068389;201509;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];14510834.33
1;00068389;201509;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];7855750.17
1;00068389;201509;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81955002];432511.87
1;00068389;201509;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;7854290.17
1;00068389;201509;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0116866779827667
1;00068389;201509;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.579826211730518
1;00068987;201509;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];124000833.6
1;00068987;201509;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];84254177.44
1;00068987;201509;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];102895714.62
1;00068987;201509;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];53471045.05
1;00068987;201509;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];21105118.98
1;00068987;201509;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81955002];459831.820000001
1;00068987;201509;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;18337302.79
1;00068987;201509;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0379266480989378
1;00068987;201509;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.199779073922058
1;00075847;201509;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];401685013.66
1;00075847;201509;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];245840093.89
1;00075847;201509;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];331591194.4
1;00075847;201509;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];318966427.84
1;00075847;201509;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];70093819.26
1;00075847;201509;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81955002];2787834.85
1;00075847;201509;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;70002038.12
1;00075847;201509;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0333777656015482
1;00075847;201509;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.276526092180831
1;00106180;201509;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];133926437.81
1;00106180;201509;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];7515000.0
1;00106180;201509;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];111286919.73
1;00106180;201509;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];0.0
1;00106180;201509;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];22639518.08
1;00106180;201509;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81955002];189036.71
1;00106180;201509;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;18031728.63
1;00106180;201509;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.229562190899054
1;00106180;201509;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.422260904648783
1;00129753;201509;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];952168.06
1;00129753;201509;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];541149.76
1;00129753;201509;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];66348.53
1;00129753;201509;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];0.0
1;00129753;201509;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];885819.53
1;00129753;201509;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81955002];16130.38
