50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional
ATIVOS
Data-base: Dezembro/1997;;;;;;;;;;;;;;;Balancetes processados até: 22/12/2005

;;;;;;;;;;;;;;;;Em R$ Mil
ATIVOS
Ranking;Instituições;TD;TC;Obs.;Data;Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper. Créd. e Arrend. Mercantil;;Outros;Outros;Imobilizado de;Permanente
;;;;;Balancete;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;Créditos;Valores e Bens;Arrendamento;(*)
28;LLOYDS                                                ;C;4;         ;12/1997;5.748.783;102.419;2.075.782;1.056.530;251.767;77.481;1.278.053;-12.197;697.175;15.965;85.458;120.349;
29;GARANTIA;C;3;         ;12/1997;3.709.254;9.788;40.110;1.866.341;117.507;0;32.875;0;1.532.767;0;0;109.866;
30;CHASE;C;4;         ;12/1997;3.249.556;7.342;1.612.057;1.014.397;67.007;0;209.513;-2.385;323.765;431;-2.603;20.032;
31;JP MORGAN                                             ;C;4;         ;12/1997;2.877.820;129;273.547;1.578.799;176.646;0;30.829;0;797.882;308;0;19.679;
32;VOTORANTIM                                            ;C;3;         ;12/1997;3.335.639;385;1.059.284;1.452.667;155.102;0;234.282;-1.245;317.992;1.911;15.926;99.335;
33;SANTANDER BRASIL;C;4;         ;12/1997;2.677.274;20.960;277.827;940.366;211.018;51;626.397;-50.791;442.833;12.218;84.134;112.262;
34;MERIDIONAL                                            ;I;4;2;12/1997;7.459.911;14.366;5.215.292;516.558;240.525;0;765.505;-249.493;641.180;107.984;0;207.995;
35;BANEB                                                 ;I;2;2;12/1997;2.427.224;28.475;55.220;659.643;419.082;5.618;968.526;-15.825;192.318;20.787;0;93.378;
36;BIC                                                   ;C;3;         ;12/1997;3.708.730;9.648;1.803.181;123.921;224.411;0;1.147.016;-32.563;245.526;33.568;77.818;76.204;
37;BESC                                                  ;I;2;2;12/1997;2.064.476;28.249;260.835;546.423;227.894;438;754.348;-25.152;140.442;3.291;0;127.708;
38;FIBRA                                                 ;C;3;         ;12/1997;2.431.259;9.725;536.748;546.281;74.632;0;626.562;-45.576;180.617;9.654;431.216;61.400;
39;BMC                                                   ;C;3;         ;12/1997;1.909.278;12.400;27.805;423.213;109.754;0;1.010.244;-29.117;257.182;21.406;42.102;34.289;
40;ING BANK                                              ;I;4;2;12/1997;2.136.982;9.345;1.002.511;884.387;38.893;0;31.521;-1.647;160.945;244;0;10.783;
41;CREDIBANCO                                            ;C;5;         ;12/1997;1.931.290;10.049;208.357;438.585;76.541;0;916.131;-21.396;194.721;12.153;0;96.147;
42;PONTUAL                                               ;C;3;         ;12/1997;1.822.627;14.240;15.870;194.672;57.756;0;910.518;-38.592;250.285;86.431;270.201;61.246;
43;PACTUAL                                               ;C;3;         ;12/1997;2.128.649;6.317;400.031;991.220;98.677;0;44.966;-6.660;373.079;615;0;220.404;
44;DIBENS                                                ;C;3;         ;12/1997;1.781.766;7.987;83.497;160.483;83.572;0;321.682;-18.600;206.012;36.871;857.801;42.463;
45;RURAL                                                 ;C;3;         ;12/1997;1.808.319;31.706;168.487;253.584;108.081;0;922.680;-10.093;165.784;7.506;86.992;73.592;
46;BARCLAYS                                              ;C;5;         ;12/1997;2.687.238;11.044;1.214.594;436.800;6.396;0;755.171;-16.252;241.264;19.828;0;18.392;
47;DEUTSCHE                                              ;I;4;2;12/1997;1.657.092;8.160;58.885;908.638;16.209;0;277.940;-698;316.958;44;0;70.955;
48;BMG                                                   ;C;3;         ;12/1997;1.703.767;4.945;269.438;176.085;75.574;48;452.154;-20.895;110.130;5.841;559.476;70.972;
49;BMB                                                   ;I;3;2;12/1997;1.822.181;6.255;479.744;44.803;171.252;1.484;771.063;-33.201;171.307;11.661;0;197.813;
50;BRB                                                   ;I;2;2;12/1997;1.551.715;31.830;347.932;63.798;191.318;357;633.441;-2.109;90.881;24.957;25.751;143.559;
51;DRESDNER                                              ;C;4;         ;12/1997;1.413.788;28.173;94.984;268.501;152.673;0;558.381;-3.250;289.326;885;0;24.116;
52;BASA                                                  ;I;1;         ;12/1997;1.356.104;8.157;507.615;82.665;132.305;213;121.316;-6.101;445.749;5.991;0;58.194;
53;BEAL                                                  ;I;4;2;12/1997;1.396.759;938;315.838;538.806;50.882;0;144.145;0;330.044;2.072;0;14.035;
54;BEG                                                   ;I;2;2;12/1997;1.170.198;11.705;47.065;462.569;106.830;3.031;338.721;-9.240;146.240;16.483;0;46.794;
55;ABC-BRASIL                                            ;C;4;         ;12/1997;1.160.543;1.730;82.874;369.052;46.146;0;334.883;0;198.808;5.845;0;121.204;
56;TOKYOMITSUBISHI                                       ;I;4;2;12/1997;1.310.180;3.140;378.069;54.948;10.977;0;242.751;0;570.601;1.074;0;48.621;
57;BEC                                                   ;C;2;         ;12/1997;1.041.713;13.900;42.124;66.631;212.508;0;590.963;-14.088;91.729;2.574;0;35.371;
58;BNL                                                   ;I;4;2;12/1997;998.630;4.746;78.923;255.446;38.897;0;473.270;-4.677;114.411;12.856;0;24.758;
59;SOGERAL;C;5;         ;12/1997;1.026.121;745;185.930;299.084;28.725;0;256.081;-3.398;146.703;4.271;80.897;27.083;
60;FININVEST                                             ;I;5;2;12/1997;889.718;392;124.165;8.999;77.668;405;557.957;0;52.986;605;0;66.541;
61;BANESTES                                              ;I;2;2;12/1997;867.282;24.541;11.802;101.912;143.850;136;541.526;-155.710;125.339;7.984;0;65.903;
62;CREFISUL                                              ;C;3;         ;12/1997;847.900;1.115;3.447;120.228;56.137;40;357.651;-3.219;142.600;13.273;19.520;137.107;
63;CREDIREAL                                             ;I;4;2;12/1997;861.659;5.437;248.358;55.905;111.602;67;143.479;0;231.700;2.244;0;62.867;
64;SUMITBANK                                             ;I;4;         ;12/1997;892.160;4.033;196.197;85.579;5.017;0;382.734;-1.800;212.221;45;0;8.135;
65;BMD                                                   ;C;3;         ;12/1997;827.446;10.182;13.543;34.362;77.188;1.833;270.715;-8.804;305.480;18.157;19.921;84.868;
66;AGF BRASEG;C;5;         ;12/1997;804.274;9.755;340.041;142.428;72.671;0;213.591;-932;21.971;1.318;0;3.430;
67;RAIBOBANK                                             ;I;4;         ;12/1997;688.984;672;125.554;161.563;25.372;0;41.696;0;330.680;964;0;2.484;
68;SUL AMERICA                                           ;C;5;         ;12/1997;685.470;5.871;77.920;364.162;44.851;0;28.615;-630;89.961;3.852;0;70.869;
69;BANDEPE                                               ;I;2;2;12/1997;676.208;7.411;4.326;68.386;141.064;870;299.995;-954;118.877;3.365;0;32.868;
70;SANTOS                                                ;I;3;2;12/1997;1.541.904;2.729;952.889;129.159;38.099;4.888;308.802;-769;30.433;1.748;0;73.927;
71;BANESE                                                ;I;2;         ;12/1997;585.532;6.648;307.114;45.879;48.072;0;133.783;-244;23.409;1.811;0;19.059;
72;SRL;C;5;         ;12/1997;730.855;7.822;251.092;125.627;26.118;0;158.463;-3.074;135.912;6.062;0;22.832;
73;PANAMERICANO                                          ;I;3;2;12/1997;1.106.224;1.877;562.366;438;58.819;0;429.931;-7.297;41.251;7.476;0;11.363;
74;BEA                                                   ;I;2;         ;12/1997;510.476;15.507;43.929;52.918;42.262;199;323.427;-283;15.001;3.214;0;14.303;
75;CREDITO SP                                            ;I;3;2;12/1997;710.703;515;281.267;83.704;35.793;0;193.227;-1.552;93.050;2.518;0;22.181;
76;CACIQUE                                               ;C;3;         ;12/1997;454.918;8.672;63.367;140.603;17.127;0;177.949;-285;19.173;4.304;0;24.008;
77;SOFISA                                                ;C;3;         ;12/1997;414.964;929;117.727;57.767;25.734;15.729;107.769;-2.050;7.283;2.345;62.426;19.306;
78;OMEGA;C;3;         ;12/1997;392.669;2.514;8.087;296.781;6;0;11.913;-32;31.688;16.071;0;25.641;
79;INDUSTRIAL                                            ;I;3;2;12/1997;357.294;516;26.385;129.724;12.614;0;131.271;-23;21.880;4.617;0;30.311;
80;SCHAHIN                                               ;C;3;         ;12/1997;319.568;5.091;17.213;91.221;13.606;0;137.819;-794;33.143;5.748;782;15.738;
81;BANPARA                                               ;I;2;         ;12/1997;290.053;8.930;73.773;12.376;35.201;955;199.375;-86.901;8.149;1.316;0;36.879;
82;BNP                                                   ;I;4;         ;12/1997;259.855;511;67.992;55.339;0;0;60.346;0;65.674;2.192;0;7.801;
83;FINANCIAL                                             ;I;4;         ;12/1997;247.833;10.078;5.308;5.788;3.110;13;64.073;-475;152.872;4.816;0;2.251;
84;BBC                                                   ;C;3;         ;12/1997;254.967;3.072;13.837;10.825;29.538;321;113.446;-1.313;38.478;17.609;14.752;14.402;
85;PRIMUS;C;3;         ;12/1997;238.914;294;4.084;54.884;0;0;84;0;165.784;28;0;13.756;
86;BRASCAN                                               ;C;5;         ;12/1997;238.332;11.667;45.161;51.562;13.206;827;47.827;0;42.357;517;0;25.208;
87;PEBB                                                  ;C;3;         ;12/1997;211.072;548;5.329;132.513;10;0;5.612;0;17.962;0;0;49.098;
88;BEM                                                   ;I;2;2;12/1997;202.363;10.281;57.628;9.959;24.176;1.339;79.706;-15.813;12.790;1.354;0;20.943;
89;PROSPER                                               ;C;3;         ;12/1997;196.579;488;16.482;38.890;2.632;38.397;35.540;0;35.954;0;0;28.195;
90;LA PROVINCIA                                          ;I;4;         ;12/1997;174.715;252;19.213;24.766;634;0;33.432;0;95.442;5;0;971;
91;TRIANGULO                                             ;I;3;         ;12/1997;169.859;140;21.190;23;16.826;0;117.075;0;6.329;192;0;8.083;
92;PINE                                                  ;C;3;         ;12/1997;147.219;700;27.635;32.880;13.558;0;49.062;0;19.783;52;0;3.550;
93;DAYCOVAL                                              ;I;3;2;12/1997;145.876;1.679;44.201;4.226;5.375;39;69.112;-163;833;14;0;20.560;
94;PARAIBAN                                              ;I;2;         ;12/1997;136.629;1.793;40.659;52.311;4.093;0;19.466;-6;2.132;1.259;0;14.922;
95;GUANABARA                                             ;I;3;         ;12/1997;130.893;1.236;13.011;1.797;2.525;0;63.789;-483;6.193;69;42.327;430;
96;BVA                                                   ;I;3;         ;12/1997;132.311;420;11.033;1.122;2.221;0;105.300;0;1.662;0;0;10.553;
97;BEPI                                                  ;I;2;         ;12/1997;125.906;2.061;19.999;48;9.356;265;62.167;-213;22.376;3.059;0;6.788;
98;LAVRA                                                 ;I;3;2;12/1997;127.176;7.071;5.043;5.793;4.965;883;63.578;-185;14.832;6.715;0;18.480;
99;CREDIBEL                                              ;I;3;2;12/1997;104.836;1.343;31.138;5.751;6.008;159;36.474;0;6.568;15.591;0;1.805;
100;FICSA                                                 ;I;3;2;12/1997;104.816;293;18.565;6.099;1.518;60;59.364;-852;17.630;1.088;0;1.051;
101;BEMAT                                                 ;I;2;         ;12/1997;101.083;103;53.048;2.352;902;3.499;15.323;-375;7.484;286;0;18.460;
102;INTERCAP                                              ;I;3;2;12/1997;100.300;669;27.374;2.936;7.252;0;48.986;-2.773;6.750;154;0;8.951;
103;INVESTCRED                                            ;I;3;2;12/1997;98.095;1.574;76.108;3;0;0;2.256;0;7.782;0;0;10.371;
104;FATOR                                                 ;C;3;         ;12/1997;111.033;653;14.864;41.789;0;0;0;0;41.425;0;0;12.302;
105;VR                                                    ;C;3;         ;12/1997;90.847;2.423;23.037;12.323;2.470;0;37.779;-30;12.559;10;0;278;
106;WACHOVIA                                              ;I;4;         ;12/1997;88.452;1.173;17.402;25.423;1.132;0;17.194;-113;25.150;17;0;1.074;
107;CRUZEIRO                                              ;I;3;2;12/1997;83.312;208;10.197;1.999;892;0;54.351;0;2.478;1.215;0;11.972;
108;MODAL                                                 ;I;3;2;12/1997;79.659;61;0;69.924;2;0;6.537;0;2.577;0;0;558;
109;CLASSICO                                              ;I;3;         ;12/1997;78.857;3.903;801;72.914;175;588;0;0;61;0;0;415;
110;ARAUCARIA                                             ;I;3;2;12/1997;66.964;1.009;10.068;6.394;3.071;1.016;28.362;-1;8.727;1.658;0;6.659;
111;PECUNIA                                               ;I;3;2;12/1997;59.530;180;12.931;254;0;7;33.026;-262;4.715;3.424;0;5.257;
112;PARANA                                                ;I;3;2;12/1997;58.918;774;8.828;3.047;1.187;0;28.133;-978;5.057;2.880;0;9.991;
113;RENNER                                                ;I;3;         ;12/1997;57.149;447;5.744;29;23;0;49.146;-314;1.656;39;0;378;
114;MORADA                                                ;I;3;2;12/1997;55.169;56;8.213;4;3.774;0;21.330;-159;6.891;2.638;0;12.423;
115;UNION                                                 ;I;4;         ;12/1997;54.570;1.721;5.105;1.587;235;0;17.339;-71;14.093;4.753;0;9.810;
116;BANCNACION                                            ;I;4;         ;12/1997;53.291;894;2.528;230;664;0;28.863;-124;15.032;20;0;5.185;
117;BGN                                                   ;I;3;2;12/1997;55.047;0;21.661;0;369;134;26.250;-45;104;3;0;6.570;
118;INTERIOR                                              ;I;3;         ;12/1997;50.755;1.806;10.912;0;53;17;32.123;-926;787;1;0;5.983;
119;LUSO BRASILEIRO                                       ;I;3;         ;12/1997;46.511;360;9.761;4.087;391;0;22.591;-151;3.082;832;0;5.558;
120;SANTOS NEVES                                          ;I;3;2;12/1997;44.695;581;4.502;1.231;394;0;28.317;-521;422;625;0;9.143;
121;GERDAU                                                ;I;3;2;12/1997;43.253;854;3.404;0;655;0;34.935;-142;138;0;0;3.408;
122;CEDULA                                                ;I;3;         ;12/1997;40.959;256;5.680;95;110;745;25.218;0;292;171;0;8.392;
123;AGROINVEST                                            ;I;5;2;12/1997;39.057;8;10.408;6.068;15;0;20.907;-291;1.792;2;0;148;
124;RIBEIRAO PRETO                                        ;I;3;         ;12/1997;38.102;58;904;2.764;20;0;33.782;-240;396;246;0;173;
125;BANSICREDI                                            ;I;3;         ;12/1997;141.495;774;130.471;5;1.204;0;5.852;-94;493;0;0;2.790;
126;EXTERIBANK                                            ;I;4;         ;12/1997;33.501;24;3.626;27.724;0;0;1.316;-13;313;51;0;459;
127;MATONE                                                ;I;3;2;12/1997;31.352;69;5.879;2.112;63;0;19.103;-388;1.759;15;0;2.742;
128;OPPORTUNITY                                           ;I;3;2;12/1997;217.293;10;207.303;1.572;0;0;0;0;3.158;1;0;5.248;
129;BCOMURUGUAI                                           ;I;4;         ;12/1997;29.345;507;2.692;3.346;27;0;17.656;0;2.772;232;0;2.113;
130;PLANIBANC                                             ;C;5;         ;12/1997;28.114;171;6.436;4.171;0;0;0;0;8.963;2;0;8.373;
131;BANER                                                 ;I;2;         ;12/1997;27.673;401;0;8.358;100;22;8.865;-559;1.424;108;0;8.955;
132;DESTAK                                                ;I;3;2;12/1997;26.353;32;12.380;8.464;666;0;3.692;0;664;0;0;456;
133;LA REPUBLICA                                          ;I;4;         ;12/1997;24.450;795;151;4.420;44;0;11.007;-484;5.292;1.636;0;1.590;
134;BANCOOB                                               ;I;3;         ;12/1997;48.518;1.667;45.053;0;105;0;0;0;308;3;0;1.382;
135;THECA                                                 ;I;3;2;12/1997;14.120;8;1.287;0;0;0;0;0;994;2;0;11.829;
136;MINAS                                                 ;I;3;         ;12/1997;12.780;28;4.256;0;143;0;5.029;-50;1.820;182;0;1.372;
137;BANCAP                                                ;I;3;2;12/1997;11.950;74;5.837;35;702;0;4.869;-161;195;31;0;368;
138;APLICAP                                               ;C;3;         ;12/1997;212.175;145;200.582;3.063;3;0;0;0;1.167;9;0;7.207;
139;CAMBIAL                                               ;C;3;         ;12/1997;10.252;94;3.760;986;5;0;44;0;1.621;1;0;3.740;
140;HISPANO                                               ;I;4;         ;12/1997;8.959;44;7.287;0;0;0;0;0;621;960;0;48;
Total 50 Maiores Bancos (Consolidado Bancario I)            ;;;;;;654.023.225;11.207.708;109.035.264;164.013.217;52.087.053;824.531;191.441.270;-10.280.515;89.493.538;3.224.796;12.581.152;30.395.214;
% de Participacao 50 maiores Bancos (Consolidado Bancario I);;;;;;81,0%;92,0%;81,0%;88,0%;66,0%;79,0%;82,0%;89,0%;85,0%;68,0%;68,0%;67,0%;
Total demais Bancos (Consolidado Bancario I)                ;;;;;;32.154.386;282.934;7.031.972;5.521.708;2.055.413;76.697;9.987.833;-344.875;5.352.463;237.855;240.625;1.711.774;
Total Consolidado Bancario I ( 140  Instituicoes )          ;;;;;;686.177.611;11.490.642;116.067.236;169.534.925;54.142.466;901.228;201.429.103;-10.625.390;94.846.001;3.462.651;12.821.777;32.106.988;
% de Participacao Consolidado Bancario I                    ;;;;;;85,0%;94,0%;86,0%;91,0%;69,0%;86,0%;86,0%;92,0%;90,0%;73,0%;69,0%;71,0%;
1;BNDES                                                 ;I;1;         ;12/1997;58.438.495;4.453;1.339;5.758.430;22.084.913;0;16.214.972;-487.366;4.297.546;2.091;0;10.562.117;
2;CCF BRASIL                                            ;C;4;         ;12/1997;9.212.123;136.300;5.155.797;1.696.261;31.928;0;677.480;-1.594;1.225.667;3.364;116.010;170.909;
3;NOROESTE                                              ;C;3;         ;12/1997;5.793.853;34.305;1.037.371;376.907;455.464;6.124;2.224.191;-82.654;1.090.318;27.277;396.137;228.413;
4;FIAT;C;4;         ;12/1997;3.447.368;12.107;279.310;84.140;227.178;0;1.578.362;-123.519;88.543;8.553;1.170.646;122.047;
5;BBI;C;3;         ;12/1997;3.321.072;10.543;150.869;2.133.749;173.827;132.465;242.230;-4.136;289.447;644;0;191.435;
6;BANCOCIDADE                                           ;C;3;         ;12/1997;2.570.974;30.682;576.770;661.213;166.332;56;741.004;-5.883;179.654;32.657;116.069;72.421;
7;GM                                                    ;C;4;         ;12/1997;2.052.625;2.906;70.560;413;36.663;187;921.112;-29.228;116.454;4.674;919.876;9.009;
8;ICATU                                                 ;C;3;         ;12/1997;1.802.140;33.505;9.241;1.506.186;26.343;0;30.627;0;140.845;610;0;54.781;
9;BRDE                                                  ;I;2;         ;12/1997;1.769.526;140;211.750;20.786;0;0;1.508.039;-6.820;25.180;6.989;948;2.513;
10;VOLKSWAGEN                                            ;C;4;         ;12/1997;1.676.332;8.633;33.172;0;0;0;908.429;-56.335;47.807;34.264;691.639;8.724;
11;BDMG                                                  ;I;2;         ;12/1997;1.490.468;4.028;44.198;23.614;0;0;387.865;-1.292;441.660;559.889;0;30.506;
12;FORD                                                  ;C;4;         ;12/1997;1.428.168;31.598;9.972;1;3.215;0;671.755;-22.749;47.453;12.696;671.915;2.313;
13;MATRIX                                                ;C;3;         ;12/1997;792.880;2.870;18.449;473.703;11.434;0;6.639;0;271.719;20;0;8.046;
14;MULTI                                                 ;I;4;         ;12/1997;670.524;7.454;201.631;348.299;21.132;0;5.567;0;82.002;2.012;0;2.427;
15;FENICIA                                               ;C;3;         ;12/1997;678.365;2.717;77.015;54.618;64.077;126;244.118;-2.377;170.817;24.994;-11;42.272;
16;MULTIPLIC                                             ;C;5;         ;12/1997;619.239;127;216.206;291.598;261;0;0;0;80.680;1.576;0;28.791;
17;DESENBANCO                                            ;I;2;         ;12/1997;490.346;1.377;5.638;6;10.441;0;451.369;-864;12.318;3.252;0;6.808;
18;FONTE                                                 ;C;3;         ;12/1997;556.710;12.711;221.010;169.192;1.151;0;49.547;18;68.920;233;0;33.928;
19;BADESC                                                ;I;2;         ;12/1997;323.784;83;8.315;4.821;0;0;304.310;-1.233;2.712;4.149;0;627;
20;RENDIMENTO                                            ;C;3;         ;12/1997;348.889;1.073;66.103;144.131;14.474;0;69.156;-121;39.566;559;0;13.949;
21;MARKA                                                 ;I;3;         ;12/1997;295.398;988;21.861;187.554;8.346;1.958;16.747;0;16.544;26;0;41.373;
22;BANDES                                                ;I;2;2;12/1997;256.458;76;15.404;106.913;0;0;131.753;-1.856;1.730;183;0;2.255;
23;PATRIMONIO                                            ;I;3;         ;12/1997;276.247;3.117;25.763;138.761;3.108;0;0;0;65.434;3;0;40.062;
24;REPUBLIC NATION                                       ;I;4;         ;12/1997;339.742;54;198.288;121.118;15.162;0;0;0;4.566;0;0;554;
25;INTER-ATLANTICO                                       ;I;5;2;12/1997;188.236;0;0;0;0;0;0;0;124;0;0;188.112;
26;INDUSVAL                                              ;C;3;         ;12/1997;180.126;5.588;9.273;44.781;7.764;0;71.309;-404;20.950;9.376;0;11.490;
27;BRJ                                                   ;I;3;         ;12/1997;166.362;606;1.091;168;20.669;0;133.711;-93;1.195;2.352;0;6.665;
28;EUROINVEST                                            ;I;5;2;12/1997;164.395;129;40.867;1.702;7;0;3;0;92.705;137;0;28.845;
29;BANCO AXIAL                                           ;I;3;2;12/1997;162.743;55;0;151.835;0;0;54;0;10.110;12;0;677;
30;PATENTE                                               ;C;3;         ;12/1997;945.733;280;785.390;117.943;11;0;1.420;-13;18.268;1.279;0;21.155;
31;TRANSBANCO                                            ;I;3;2;12/1997;143.913;265;981;29.483;11.879;0;87.926;-1.877;1.752;8.215;0;5.288;
32;SOCOPA                                                ;C;3;         ;12/1997;141.453;2.859;1.798;56.719;4.103;32;37.568;-376;24.755;532;0;13.462;
33;LIBERAL;C;4;         ;12/1997;148.767;394;35.854;20.340;1.628;305;23;-7;74.329;92;0;15.810;
34;EQUATORIAL                                            ;I;3;2;12/1997;118.598;122;45.687;18.840;9.968;0;39.484;0;3.213;9;0;1.275;
35;STOCK;C;3;         ;12/1997;1.337.116;88;1.238.858;49.717;16;0;4.909;-1.042;30.542;1.229;0;12.799;
36;TENDENCIA                                             ;I;3;2;12/1997;100.727;356;26.014;10.542;2;0;1.205;0;3.282;1;0;59.325;
37;BERON                                                 ;I;2;         ;12/1997;88.681;1.135;34.900;1.600;1.485;1;23.960;-583;15.714;1.630;0;8.840;
38;HEXABANCO                                             ;I;3;         ;12/1997;83.901;870;17.516;3.564;5.111;0;37.095;-1.434;12.662;2.689;0;5.827;
39;BCR                                                   ;I;3;2;12/1997;85.453;199;7.020;8.378;7.301;14;43.989;-1.050;9.676;2.738;0;7.187;
40;FITAL                                                 ;I;3;         ;12/1997;79.375;852;69.423;0;9.019;0;0;0;47;0;0;33;
41;GRAPHUS                                               ;C;3;         ;12/1997;94.853;4.279;46.536;8.967;0;0;150;0;19.781;0;0;15.139;
42;ARBI                                                  ;C;3;         ;12/1997;76.196;59;0;19.960;52;0;24.075;0;3.565;6.442;0;22.043;
43;BANACRE                                               ;I;2;         ;12/1997;73.638;1.502;0;2.117;10.221;3.205;40.657;-130;4.924;2.021;0;9.121;
44;PORTO REAL                                            ;I;3;         ;12/1997;71.790;384;9.176;3.525;6.158;0;35.847;-56;2.676;4.761;0;9.321;
45;MIL                                                   ;C;3;         ;12/1997;70.483;756;0;1.390;3.765;0;46.869;-1.779;9.619;2.403;337;7.123;
46;BOREAL                                                ;I;3;2;12/1997;69.768;104;665;38.586;0;0;5.173;0;1.444;1;0;23.795;
47;OURINVEST                                             ;C;3;         ;12/1997;63.213;2.754;21.729;30.004;2;0;5.804;0;1.456;326;0;1.138;
