50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional
ATIVOS
Data-base: Dezembro/1994;;;;;;;;;;;;;;;Balancetes processados até: 31/08/2005

;;;;;;;;;;;;;;;;Em R$ Mil
ATIVOS
Ranking;Instituições;TD;TC;Obs.;Data;Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper. Créd. e Arrend. Mercantil;;Outros;Outros;Imobilizado de;Permanente
;;;;;Balancete;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;Créditos;Valores e Bens;Arrendamento;(*)
36  ;CHASE MANHATTAN                                       ;I;4  ;2        ;12/1994;1.017.019;146;468.822;97.487;3.299;30;80.464;-410;281.302;4.882;0;71.514;
37  ;PONTUAL                                               ;I;3  ;2        ;12/1994;1.024.078;3.664;173.887;152.972;9.613;0;526.727;-5.263;62.619;21.175;19.426;59.257;
38  ;VOTORANTIM                                            ;I;3  ;         ;12/1994;991.986;280;389.017;279.853;3.516;0;96.801;-468;148.352;44;0;74.592;
39  ;DIBENS                                                ;I;3  ;2        ;12/1994;993.734;392;391.705;163.851;11.560;0;271.646;0;104.337;101;0;49.998;
40  ;RURALMINAS                                            ;I;3  ;2        ;12/1994;987.757;20.262;75.571;166.552;17.648;106;542.099;-1.615;97.033;2.057;0;66.065;
41  ;CREDIBANCO                                            ;I;5  ;2        ;12/1994;958.127;3.090;227.617;76.861;25.787;0;447.222;-2.280;99.715;7.332;32.567;40.283;
42  ;BRB                                                   ;I;2  ;2        ;12/1994;972.425;12.816;195.994;71.045;81.548;210;474.656;-172;49.083;1.894;0;85.351;
43  ;BIC                                                   ;I;3  ;2        ;12/1994;945.316;20.557;93.586;143.881;73.174;1.370;433.357;-389;87.431;5.389;12.695;60.276;
44  ;VEGA                                                  ;I;3  ;2        ;12/1994;909.655;161;7.920;6.211;1.489;865.994;18.185;-91;1.700;665;0;7.421;
45  ;BANGERAL                                              ;I;3  ;2        ;12/1994;866.002;36.089;59.732;143.550;71.660;53;456.453;-292;37.288;1.397;0;54.226;
46  ;BESC                                                  ;I;2  ;2        ;12/1994;933.075;10.038;176.799;264.597;93.404;1.201;305.921;-298;21.242;1.943;0;58.228;
47  ;BMG                                                   ;I;3  ;2        ;12/1994;836.786;14.594;256.501;142.165;11.537;0;235.267;-328;94.003;4.048;0;49.718;
48  ;GARANTIA                                              ;I;3  ;2        ;12/1994;815.007;464;124.610;493.075;5.184;0;56.265;0;130.200;267;0;4.942;
49  ;SOGERAL                                               ;I;5  ;2        ;12/1994;818.058;8.651;270.080;98.414;27.062;0;178.181;-646;186.099;869;0;49.348;
50  ;BASA                                                  ;I;1  ;         ;12/1994;780.293;4.574;122.278;70.199;44.199;6.406;242.432;-1.694;228.357;12.817;0;50.725;
51  ;DEUTSCHE                                              ;I;4  ;         ;12/1994;692.742;47.760;213.309;47.186;5.524;0;147.386;-698;204.329;216;0;27.731;
52  ;BANESTES                                              ;I;2  ;2        ;12/1994;677.056;11.148;57.320;77.663;99.668;170;342.142;-1.352;45.597;1.125;0;43.577;
53  ;BEC                                                   ;I;2  ;2        ;12/1994;559.216;4.648;53.275;38.497;55.338;6.735;359.963;-612;15.023;5.782;0;20.565;
