50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional
ATIVOS
Data-base: Dezembro/1995;;;;;;;;;;;;;;;Balancetes processados até: 22/12/2005

;;;;;;;;;;;;;;;;Em R$ Mil
ATIVOS
Ranking;Instituições;TD;TC;Obs.;Data;Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper. Créd. e Arrend. Mercantil;;Outros;Outros;Imobilizado de;Permanente
;;;;;Balancete;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;Créditos;Valores e Bens;Arrendamento;(*)
1;CEF                                                   ;I;1;         ;12/1995;80.413.061;75.141;7.724.293;6.775.392;8.204.271;77.884;39.459.716;-203.067;12.841.498;1.740.257;0;3.717.678;
2;BB                                                    ;C;1;         ;12/1995;79.854.753;1.905.321;10.992.826;13.878.063;4.940.064;3.479;35.142.399;-1.176.319;10.393.584;226.155;697.321;2.851.859;
3;BANESPA                                               ;C;2;         ;12/1995;49.143.477;1.041.603;13.270.201;13.546.466;287.843;6.962;19.164.343;-183.973;1.070.778;62.940;127.834;748.480;
4;BRADESCO                                              ;I;3;2;12/1995;28.847.096;656.728;6.699.204;1.100.585;2.954.946;25.684;10.783.658;-123.117;2.460.074;34.724;36.603;4.218.007;
5;UNIBANCO                                              ;C;5;         ;12/1995;22.290.730;1.929.806;4.480.726;2.938.459;767.101;14.985;6.836.584;-293.853;2.340.959;92.443;872.518;2.311.002;
6;ITAU                                                  ;I;3;2;12/1995;19.616.485;1.147.859;2.924.749;945.122;2.158.467;4.197;6.298.264;-29.491;2.580.368;344.058;0;3.242.893;
7;BAMERINDUS                                            ;C;3;         ;12/1995;14.581.830;186.153;425.205;1.891.200;1.587.899;20.912;6.691.833;-122.149;2.015.181;147.084;575.551;1.162.960;
8;REAL;C;3;         ;12/1995;11.115.665;97.413;929.915;2.046.850;930.386;12.229;4.183.067;-263.229;1.530.180;24.882;871.758;752.213;
9;NOSSA CAIXA                                           ;I;2;         ;12/1995;8.730.695;16.528;24.763;1.158.203;854.760;3.129;5.882.751;-14.279;368.588;20.308;70;415.874;
10;BANRISUL                                              ;I;2;2;12/1995;12.182.474;43.163;4.886.126;5.262.659;214.851;5.765;1.376.860;-6.968;148.921;9.209;0;241.888;
11;SAFRA                                                 ;C;3;         ;12/1995;7.087.373;33.999;2.282.885;2.278.744;119.780;1.610;1.366.945;-19.448;320.601;15.593;463.617;223.046;
12;CREDIREAL                                             ;I;2;2;12/1995;6.623.317;7.039;211.837;5.649.167;34.494;1.768;384.269;-2.807;218.933;17.560;0;101.056;
13;BANERJ                                                ;I;2;2;12/1995;6.200.546;12.682;43.599;4.157.360;209.370;21.922;822.435;-3.102;692.578;65.274;24;178.405;
14;BCN                                                   ;I;3;2;12/1995;9.001.161;15.463;4.721.277;408.504;266.441;0;1.886.748;-79.279;975.987;17.685;25.347;762.988;
15;BNB                                                   ;I;1;         ;12/1995;5.571.754;11.001;212.532;145.960;218.996;958;4.436.575;-30.564;354.875;3.144;0;218.277;
16;BANESTADO                                             ;C;2;         ;12/1995;5.142.762;204.841;59.839;500.747;398.354;756;2.692.087;-80.406;489.382;28.093;679.661;169.409;
17;SUDAMERIS                                             ;C;4;         ;12/1995;4.964.032;43.178;1.079.754;378.844;156.727;0;1.878.915;-46.866;913.371;21.403;265.576;273.130;
18;CITIBANK                                              ;C;4;         ;12/1995;4.249.911;211.876;1.341.448;310.820;247.603;0;1.083.322;-7.113;777.757;13.641;95.441;175.116;
19;BANKBOSTON                                            ;C;4;         ;12/1995;4.389.876;169.107;1.808.197;578.970;82.302;8.188;538.857;-2.298;858.532;4.882;212.585;130.553;
20;BBA-CREDITANSTALT;I;5;2;12/1995;4.345.039;460.031;1.156.878;464.390;195.593;0;434.680;-20.000;1.366.882;3.100;0;283.484;
21;MERCAPAULO                                            ;I;3;2;12/1995;3.609.475;64.324;767.901;656.516;212.775;413;628.649;-8.434;482.808;4.801;0;799.723;
22;BOAVISTA                                              ;C;3;         ;12/1995;3.563.497;51.714;857.411;822.008;89.731;0;1.047.727;-54.426;520.486;9.864;103.654;115.327;
23;LLOYDS                                                ;C;4;         ;12/1995;3.696.296;7.746;1.670.866;469.660;138.997;0;749.951;7.823;550.820;29.675;29.046;41.711;
24;AMERICA DO SUL                                        ;I;5;2;12/1995;3.622.762;34.557;776.625;302.372;303.093;12.380;1.590.475;-6.064;315.977;16.472;0;276.876;
25;BCO BFB                                                   ;I;4;2;12/1995;2.833.727;107.947;369.532;143.143;64.469;710;1.160.876;-1.514;673.562;17.787;0;297.214;
26;BOZANO,SIMONSEN                                       ;C;5;         ;12/1995;3.573.724;38.536;1.686.746;503.864;38.102;0;284.713;-3.591;762.168;7.988;61.365;193.833;
27;ABN AMRO                                              ;I;4;2;12/1995;2.763.050;31.449;702.270;220.546;187.666;185.893;653.001;-7.931;676.263;4.307;0;109.587;
28;BEMGE                                                 ;I;2;2;12/1995;2.691.241;55.409;493.046;418.660;239.679;7.910;968.867;-25.373;369.247;4.609;0;159.187;
29;MERIDIONAL                                            ;I;1;2;12/1995;2.254.080;8.002;292.135;123.560;130.839;0;1.156.704;-25.389;242.851;96.943;0;228.435;
30;BCO BANDEIRANTES                                          ;I;3;2;12/1995;3.700.553;49.342;1.824.568;395.538;129.051;2.979;876.379;-6.896;193.289;10.629;0;225.674;
31;PONTUAL                                               ;C;3;         ;12/1995;2.081.518;4.581;598.583;480.809;26.180;0;587.605;-13.358;105.243;38.492;216.047;37.337;
32;BANEB                                                 ;I;2;2;12/1995;1.623.942;10.225;64.502;441.624;159.345;248;725.124;-2.455;107.777;5.152;0;112.400;
33;BANCO BMC                                                   ;I;3;2;12/1995;1.533.649;14.909;93.437;286.885;25.365;0;855.070;-20.705;174.285;23.192;0;81.211;
34;BESC                                                  ;I;2;2;12/1995;1.591.900;27.419;137.454;695.867;85.883;5.049;527.594;-2.280;34.633;2.756;0;77.523;
35;DIBENS                                                ;C;3;         ;12/1995;1.436.663;4.582;189.783;140.694;22.598;0;350.762;-16.094;157.738;17.705;547.907;20.987;
36;JP MORGAN                                             ;C;4;         ;12/1995;1.369.156;786;440.135;418.873;14.610;0;125.824;-50;352.760;0;0;16.218;
37;BMB                                                   ;I;3;2;12/1995;1.458.356;6.891;441.264;40.291;74.567;855;644.850;-14.622;70.446;5.207;0;188.606;
38;EXCEL                                                 ;I;4;2;12/1995;1.263.299;4.725;85.797;238.340;24.971;0;595.399;-8.262;112.460;18.217;0;191.652;
39;PACTUAL                                               ;I;3;2;12/1995;2.117.810;15.983;1.309.353;257.891;63.107;0;21.037;0;295.294;483;0;154.661;
40;CREDIBANCO                                            ;I;5;2;12/1995;1.211.019;6.157;218.557;85.636;54.145;0;587.020;-715;139.660;7.249;38.174;75.135;
41;VOTORANTIM                                            ;I;3;         ;12/1995;1.863.104;325;1.184.466;245.063;27.276;0;142.137;-6.732;202.480;33;0;68.055;
42;BRB                                                   ;I;2;2;12/1995;1.194.404;37.988;92.676;156.137;148.503;88;596.861;-4.376;36.664;8.293;0;121.571;
43;BIC                                                   ;I;3;2;12/1995;1.163.752;9.148;131.014;94.658;35.080;4.111;670.930;-1.461;106.023;12.196;9.338;92.714;
44;CHASE MANHATTAN                                       ;I;4;2;12/1995;1.427.646;189;831.809;130.859;22.492;0;42.635;0;284.156;4.059;0;111.447;
45;DEUTSCHE                                              ;I;4;         ;12/1995;1.060.775;67.882;69.020;138.607;6.760;0;240.636;-698;509.555;128;0;28.886;
46;FIBRA                                                 ;I;3;2;12/1995;1.055.817;1.474;128.956;310.484;10.701;0;424.353;-4.489;113.977;2.580;0;67.781;
47;RURAL                                                 ;C;3;         ;12/1995;1.054.461;8.626;126.521;219.813;12.091;0;534.741;-16.889;56.015;4.378;46.429;62.736;
48;BASA                                                  ;I;1;         ;12/1995;1.014.199;6.585;330.616;47.164;32.836;4.913;261.491;-4.135;265.525;8.694;0;60.510;
49;BMG                                                   ;C;3;         ;12/1995;972.624;7.325;62.318;89.948;18.806;17;364.675;-13.421;93.094;6.318;289.378;54.167;
50;GERAL DO COMERCIO;C;3;         ;12/1995;961.909;10.757;25.016;211.364;52.276;8;472.066;-7.200;103.438;2.715;52.593;38.876;
51;BCN BARCLAYS                                          ;I;5;2;12/1995;921.324;7.068;279.822;137.433;33.429;0;273.267;-9.630;160.370;5.862;0;33.703;
52;DEUTSCH                                               ;I;4;         ;12/1995;909.057;12.354;177.225;56.187;2.121;0;360.973;-2.249;276.075;2.716;0;23.654;
53;SOGERAL;C;5;         ;12/1995;1.340.160;3.912;769.527;48.691;29.005;0;138.730;-1.136;194.051;3.468;129.720;24.191;
54;BANESTES                                              ;I;2;2;12/1995;849.535;11.117;18.693;68.781;117.123;684;516.242;-2.734;59.365;3.048;0;57.215;
55;BEC                                                   ;I;2;2;12/1995;759.062;3.273;74.076;45.891;76.766;1.966;500.625;-7.020;28.631;7.420;0;27.433;
56;NEDERLANDEN                                           ;I;4;         ;12/1995;948.974;606;525.867;109.147;92.494;0;85.303;0;122.521;139;0;12.896;
57;SUMITBANK                                             ;I;4;         ;12/1995;703.293;549;217.521;10.054;9.573;0;207.355;-1.086;249.097;1.089;0;9.140;
58;BNL                                                   ;I;4;2;12/1995;660.042;4.494;250.921;53.250;7.031;0;231.257;-18.260;104.197;2.247;2.348;22.556;
59;BANDEPE                                               ;I;2;2;12/1995;619.634;5.363;20.647;55.874;94.770;417;315.181;-984;47.667;6.163;0;74.538;
60;ABC-ROMA                                              ;I;5;2;12/1995;584.684;4.949;162.050;82.920;12.334;0;159.212;-1.011;68.282;427;0;95.521;
61;BEAL                                                  ;I;4;2;12/1995;692.826;825;289.316;40.838;23.729;0;119.086;0;198.351;2.012;0;18.670;
62;OMEGA;C;3;         ;12/1995;563.834;2.903;5.519;439.010;1.720;0;35.221;-1.364;53.897;6.066;0;20.860;
63;MITSUBISHI                                            ;I;4;2;12/1995;557.635;723;201.619;21.799;1.923;0;64.579;0;248.321;1.668;0;17.003;
64;SANTOS                                                ;I;3;2;12/1995;519.948;46;12.137;362.204;3.375;797;100.785;-661;9.408;804;0;31.053;
65;SRL                                                   ;I;5;         ;12/1995;481.476;3.071;163.990;60.554;3.932;0;28.679;0;181.145;129;0;39.975;
66;BMD                                                   ;C;3;         ;12/1995;483.513;6.157;18.473;40.371;13.664;955;263.921;-8.011;73.525;8.749;16.019;49.690;
67;SUL AMERICA                                           ;I;5;2;12/1995;429.965;6.706;33.998;204.476;11.805;0;45.982;0;59.665;291;0;67.043;
