50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional
ATIVOS
Data-base: Dezembro/1998;;;;;;;;;;;;;;;Balancetes processados até: 21/12/2005

;;;;;;;;;;;;;;;;Em R$ Mil
ATIVOS
Ranking;Instituições;TD;TC;Obs.;Data;Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper. Créd. e Arrend. Mercantil;;Outros;Outros;Imobilizado de;Permanente
;;;;;Balancete;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;Créditos;Valores e Bens;Arrendamento;(*)
1;BB                                                    ;C;1;         ;12/1998;129.564.120;1.927.702;19.287.117;40.591.722;6.205.235;619.331;30.296.831;-1.752.919;27.778.084;857.940;607.715;3.145.361;
2;CEF                                                   ;I;1;         ;12/1998;114.670.421;542.366;6.612.700;9.109.210;15.026.341;190.252;61.802.189;-1.511.773;18.708.545;1.021.067;0;3.169.525;
3;BRADESCO                                              ;C;3;         ;12/1998;61.093.935;689.170;5.537.309;13.362.996;6.162.078;38.661;20.782.734;-639.854;7.542.917;465.399;2.292.431;4.860.093;
4;ITAU                                                  ;C;3;         ;12/1998;45.928.305;1.700.105;5.792.162;11.176.308;4.247.953;3.594;11.170.314;-1.027.692;7.432.897;302.234;990.385;4.140.046;
5;UNIBANCO                                              ;C;5;         ;12/1998;29.381.930;897.454;5.675.412;3.828.721;934.534;43.600;10.080.871;-356.458;3.920.238;187.335;1.871.183;2.299.040;
6;BANESPA                                               ;C;1;         ;12/1998;25.176.012;2.041.041;3.209.873;11.766.751;1.755.730;4.763;3.910.210;-118.939;1.582.343;65.167;222.628;736.445;
7;REAL;C;3;         ;12/1998;19.227.639;273.294;4.972.893;2.033.981;1.563.827;5.722;5.820.613;-320.351;4.309.217;29.738;0;538.704;
8;BANRISUL                                              ;C;2;         ;12/1998;14.960.370;47.219;19.928;12.096.510;462.731;14.537;2.249.412;-376.240;216.567;18.531;57.228;153.947;
9;HSBC                                                  ;C;4;         ;12/1998;13.939.092;194.663;438.395;6.273.476;1.181.497;39;2.557.875;-101.107;2.339.958;56.343;270.507;727.446;
10;NOSSA CAIXA                                           ;I;2;         ;12/1998;13.570.155;33.289;1.099.220;8.119.764;1.432.670;15;1.139.605;-2.935;826.329;81.148;0;841.051;
11;SAFRA                                                 ;C;3;         ;12/1998;15.889.906;721.570;6.073.627;3.227.151;537.294;2.036;2.531.440;-19.755;882.641;52.838;1.317.341;563.721;
12;SANTANDER BRASIL;C;4;         ;12/1998;11.377.527;48.894;878.197;3.486.713;241.644;3.897;3.472.098;-219.892;1.748.870;64.060;740.823;912.223;
13;SUDAMERIS                                             ;C;4;         ;12/1998;12.194.502;117.419;2.116.797;1.936.244;688.177;5.750;4.022.815;-128.419;1.806.200;100.532;965.386;563.601;
14;ABN AMRO                                              ;C;4;         ;12/1998;8.621.050;89.724;1.284.593;942.460;46.110;326;985.856;-81.292;733.523;16.446;2.246.643;2.356.661;
15;CITIBANK                                              ;C;4;         ;12/1998;8.286.224;104.932;710.157;1.275.085;528.590;0;3.236.756;-59.871;1.837.982;7.299;471.539;173.754;
16;BBA-CREDITANSTALT                                     ;C;5;         ;12/1998;8.298.542;221.743;729.717;3.204.333;63.073;0;2.636.764;-63.213;695.562;15.477;291.538;503.548;
17;BANKBOSTON                                            ;C;4;         ;12/1998;9.335.172;694.319;2.582.364;1.966.661;427.314;97;2.413.784;-9.817;663.398;15.602;476.799;104.653;
18;MERCANTIL FINASA                                          ;C;3;         ;12/1998;7.153.813;153.217;482.092;2.074.690;482.259;841;1.623.067;-28.021;639.861;11.647;917.699;796.460;
19;BNB                                                   ;I;1;         ;12/1998;6.983.938;12.665;444.804;919.480;174.475;158;4.669.045;-48.133;564.919;7.748;0;238.778;
20;MERIDIONAL                                            ;C;4;         ;12/1998;10.090.329;34.193;4.368.276;2.039.594;288.603;0;1.599.393;-244.702;1.284.643;104.533;399.103;216.694;
21;BILBAO VIZCAYA                                        ;C;4;         ;12/1998;6.273.086;19.841;704.679;3.375.374;136.279;0;1.052.079;-98.653;380.049;50.012;401.738;251.687;
22;BANDEIRANTES                                          ;C;4;         ;12/1998;5.702.198;93.411;26.672;1.768.503;411.395;10.958;1.642.084;-187.879;991.945;78.219;521.729;345.162;
23;BANESTADO                                             ;C;2;         ;12/1998;5.537.028;54.092;56.817;1.257.218;622.398;332;2.313.779;-541.677;951.262;108.357;413.280;301.171;
24;BOAVISTA                                              ;C;5;         ;12/1998;4.805.871;315.709;219.768;2.001.541;39.206;955;1.038.300;-54.513;876.275;22.278;108.967;237.384;
