Id;NomeIf;Segmento;Cnpj;DataInicioRegime;DataFimRegime;TipoRegime;Situacao;Uf
352;PIRATININGA - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;00077263000107;1975-03-25;1976-03-15;Intervenção;Encerrado (Aprovação de contas e baixa no registro público.);DF
353;PIRATININGA - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;00077263000107;1978-06-13;1978-06-13;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);DF
1.162;PLANAUTO ADMINISTRADORA DE CONSORCIOS LTDA;Administradora de Consórcio;87853636000164;1992-01-16;2017-08-17;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);RS
527;PLANCA COMERCIO, ADMINISTRACAO E PARTICIPACAO LTDA;Administr. e Participacao;18793323000145;1986-08-07;1988-08-02;Liquidação extrajudicial;Encerrado (Falência.);MG
1.038;PLENA S.A. CORRETORA DE VALORES MOBILIARIOS;Sociedade Corretora de TVM;62170675000136;1987-06-02;1988-06-01;Intervenção;Encerrado (Falência.);SP
1.039;PLENA S.A. CORRETORA DE VALORES MOBILIARIOS;Sociedade Corretora de TVM;62170675000136;1988-06-01;1993-03-24;Liquidação extrajudicial;Encerrado (Falência.);SP
100.581;PLENO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;Sociedade Distribuidora de TVM;02927433000112;2026-02-18;null;Liquidação extrajudicial;Ativo;SP
1.100;PONTUAL LEASING S.A. ARRENDAMENTO MERCANTIL;Sociedade de Arrendamento Mercantil;68271295000174;1998-10-30;1999-10-29;Intervenção;Encerrado (Falência.);SP
1.101;PONTUAL LEASING S.A. ARRENDAMENTO MERCANTIL;Sociedade de Arrendamento Mercantil;68271295000174;1999-10-29;2007-12-13;Liquidação extrajudicial;Encerrado (Falência.);SP
100.446;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;Sociedade de Crédito, Financiamento e Investimento;01800019000185;2023-02-15;null;Liquidação extrajudicial;Ativo;RS
100.123;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;Sociedade Distribuidora de TVM;06917793000194;2015-10-07;2016-09-21;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);CE
623;PREVIDENCIA - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;31155377000143;1980-02-07;1980-09-30;Intervenção;Encerrado (Apresentação de garantias e prosseguimento das atividades.);RJ
690;PRICE ADMINISTRACAO E PARTICIPACOES LTDA;Administr. e Participacao;33623034000191;1969-02-28;1980-08-29;Liquidação extrajudicial;Encerrado (Artigo 31 da Lei 6.024/74.);RJ
516;PRICE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;17360314000106;1989-01-30;1993-08-27;Liquidação extrajudicial;Encerrado (Falência.);SP
894;PRIME EMPREENDIMENTOS COMERCIAIS LTDA;Outras Empresas;54649033000196;2000-07-13;2002-08-20;Liquidação extrajudicial;Encerrado (Falência.);SP
354;PRISMA - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;00079140000105;1973-12-13;1977-09-15;Liquidação extrajudicial;Encerrado (Falência.);RJ
823;PROCRED LTDA - EMPREENDIMENTOS E SERVICOS S/C;Outras Empresas;43408244000110;1977-04-19;1980-05-21;Liquidação extrajudicial;Encerrado (Artigo 31 da Lei 6.024/74.);SP
464;PRODUBAN - CREDITO IMOBILIARIO S.A;Sociedade de Crédito Imobiliário;12496782000180;1988-11-16;1989-09-05;Liquidação extrajudicial;Encerrado (Apresentação de garantias e prosseguimento das atividades.);AL
465;PRODUBAN - CREDITO IMOBILIARIO S.A;Sociedade de Crédito Imobiliário;12496782000180;1989-09-05;1991-09-04;Administração Especial Temporária (RAET);Encerrado (Situação normalizada.);AL
431;PRODUBAN - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Sociedade Distribuidora de TVM;08624413000159;1988-11-16;1989-09-05;Liquidação extrajudicial;Encerrado (Apresentação de garantias e prosseguimento das atividades.);AL
432;PRODUBAN - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Sociedade Distribuidora de TVM;08624413000159;1989-09-05;1991-09-04;Administração Especial Temporária (RAET);Encerrado (Situação normalizada.);AL
430;PRODUBAN - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Sociedade Distribuidora de TVM;08624413000159;1995-01-25;1996-01-22;Administração Especial Temporária (RAET);Encerrado (Convolação em liquidação ordinária.);AL
1.003;PROGRESSO S.A. CORRETORA DE CAMBIO E TITULOS;Sociedade Corretora de TVM;61817805000117;1989-06-21;1990-06-12;Liquidação extrajudicial;Encerrado (Apresentação de garantias e prosseguimento das atividades.);SP
2.080;QUANTIA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;68726611000155;2012-08-09;2013-12-13;Liquidação extrajudicial;Encerrado (Falência.);SP
727;QUEIROZ VIEIRA S.A. - CORRETORA DE VALORES MOBILIARIOS E CAMBIO;Sociedade Corretora de TVM;33837568000110;1983-09-06;1985-03-14;Liquidação extrajudicial;Encerrado (Apresentação de garantias e prosseguimento das atividades.);RJ
693;QUINAN ADMINISTRADORA DE CONSORCIOS LTDA;Administradora de Consórcio;33637547000151;1997-03-18;2000-03-24;Liquidação extrajudicial;Encerrado (Falência.);GO
1.180;R DUARTE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;92201011000158;1983-03-23;1984-01-19;Liquidação extrajudicial;Encerrado (Falência.);RS
686;REAL RIO - CREDITO,FINANCIAMENTO E INVESTIMENTOS S.A.;Sociedade de Crédito, Financiamento e Investimento;33598699000192;1969-01-23;1981-02-26;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);RJ
745;REAL RIO S.A. DISTRIBUIDORA DE TITULOS EVALORES MOBILIARIOS;Sociedade Distribuidora de TVM;33863119000147;1969-04-08;1980-08-29;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);RJ
576;REAL SOCIEDADDE CORRETORA DE TITULOS MOBILIARIOS E CAMBIO LTDA;Sociedade Corretora de TVM;27334341000150;1984-10-05;1985-09-27;Intervenção;Encerrado (Apresentação de garantias e prosseguimento das atividades.);ES
534;REALBRAS ADMINISTRADORA BRASILEIRA DE SERVICOS S.C. LTDA;Administradora de Consórcio;20452256000147;1994-01-17;1994-11-11;Liquidação extrajudicial;Encerrado (Falência.);SP
533;REALBRAS ADMINISTRADORA BRASILEIRA DE SERVICOS S.C. LTDA;Administradora de Consórcio;20452256000147;1995-04-07;1995-11-03;Liquidação extrajudicial;Encerrado (Falência.);SP
865;REALCAR ADMINISTRADORA DE CONSORCIO LTDA;Administradora de Consórcio;49889850000181;1994-11-17;1996-09-27;Liquidação extrajudicial;Encerrado (Falência.);SP
562;REDE COMERCIO E PARTICIPACOES LTDA;Outras Empresas;25497793000127;1995-05-24;1997-04-03;Liquidação extrajudicial;Encerrado (Falência.);MG
1.841;REGATA ADMINISTRADORA DE CONSORCIOS S/C LTDA;Administradora de Consórcio;81161531000168;2010-08-12;2012-10-31;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);SC
867;REGIONAL CORRETORA, ADMINISTRAÇÃO E CONSÓRCIOS S/C LTDA;Administradora de Consórcio;50422625000110;2003-08-15;2008-07-04;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);SP
655;REMAPRI - REPRESENTACOES E MATERIAS PRIMAS S.A.;Outras Empresas;33172271000183;1975-03-25;1976-03-15;Intervenção;Encerrado (Aprovação de contas e baixa no registro público.);RJ
656;REMAPRI - REPRESENTACOES E MATERIAS PRIMAS S.A.;Outras Empresas;33172271000183;1976-03-15;1980-03-10;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);RJ
1.009;RENDA S.A. - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS;Sociedade Distribuidora de TVM;61931002000199;1969-08-20;1980-03-11;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);RJ
829;RENTASUL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;43815158000122;1969-03-25;1970-09-01;Liquidação extrajudicial;Encerrado (Encerrado anterior à Lei 6.024/74.);SP
926;REUNIDAS ADMINISTRADORA DE CONSORCIOS S/C LTDA;Administradora de Consórcio;58628934000152;1992-10-15;2009-03-18;Liquidação extrajudicial;Encerrado (Falência.);SP
795;RICCA ADMINISTRADORA DE INVESTIMENTOS S.C. LTDA;Administradora de Consórcio;39006978000104;1993-12-06;1994-10-19;Liquidação extrajudicial;Encerrado (Falência.);SP
733;RIO DE JANEIRO - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Sociedade Distribuidora de TVM;33855370000160;1980-11-25;1981-09-30;Intervenção;Encerrado (Apresentação de garantias e prosseguimento das atividades.);SP
1.358;RIO FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTOS;Sociedade de Crédito, Financiamento e Investimento;60451838000123;1976-08-18;1982-01-29;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);RJ
802;RIO LEASE LOCADORA DE BENS E SERVICOS LTDA;Sociedade de Arrendamento Mercantil;42166058000150;1976-08-18;1979-10-02;Liquidação extrajudicial;Encerrado (Artigo 31 da Lei 6.024/74.);RJ
1.359;RIO S.A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS;Sociedade Distribuidora de TVM;33870783000113;1976-08-18;1979-10-02;Liquidação extrajudicial;Encerrado (Artigo 31 da Lei 6.024/74.);RJ
1.360;RIO S.A. PLANEJAMENTO, EMPREENDIMENTO E ADMINISTRACAO;Outras Empresas;42312660000158;1976-08-18;1979-10-02;Liquidação extrajudicial;Encerrado (Artigo 31 da Lei 6.024/74.);RJ
729;RODAC DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;33840059000147;1976-11-18;1980-05-28;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);RJ
1.167;RODOLAR ADMINISTRADORA DE CONSORCIO LTDA;Administradora de Consórcio;88231444000189;2002-08-01;2003-01-28;Liquidação extrajudicial;Encerrado (Falência.);RS
391;RONDONIA CREDITO IMOBILIARIO S.A.;Sociedade de Crédito Imobiliário;04924130000171;1995-04-28;1998-08-14;Administração Especial Temporária (RAET);Encerrado (Decurso do prazo art. 21 MP 1702-27.);RO
2.001;RÓTULA S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;Sociedade de Crédito, Financiamento e Investimento;03456984000108;2011-12-02;2015-09-03;Liquidação extrajudicial;Encerrado (Falência.);MG
971;RSM ADMINISTRADORA DE CONSORCIOS S.C. LTDA;Administradora de Consórcio;61061032000191;2001-03-28;2003-10-22;Liquidação extrajudicial;Encerrado (Falência.);SP
606;RUBENS TEIXEIRA - DISTIBUIDORA DE TITULOS E VALORES MOBILIARIOS;Sociedade Distribuidora de TVM;30117634000190;1969-11-06;1980-01-23;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);RJ
747;RUMO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Sociedade Distribuidora de TVM;33873175000162;1991-06-26;1995-10-18;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);RJ
593;RUMO PARTICIPACOES LTDA;Administr. e Participacao;28998094000159;1991-07-18;1993-11-24;Liquidação extrajudicial;Encerrado (Apresentação de garantias e prosseguimento das atividades.);RJ
2.204;RURAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S/A;Sociedade Distribuidora de TVM;17360777000160;2013-08-02;2017-06-07;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);MG
100.220;S. HAYATA CORRETORA DE CÂMBIO S.A.;Sociedade Corretora de Câmbio;67391821000177;2017-11-10;2019-03-12;Liquidação extrajudicial;Encerrado (Falência.);SP
675;S.A. BRASIL EUROPA DE ESTUDOS E PARTICIPACOES;Outras Empresas;33321860000186;1975-03-25;1976-03-15;Intervenção;Encerrado (Aprovação de contas e baixa no registro público.);RJ
676;S.A. BRASIL EUROPA DE ESTUDOS E PARTICIPACOES;Outras Empresas;33321860000186;1976-03-15;1980-03-10;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);RJ
828;S.C. ADMINISTRADORA PAULISTA DE CONSORCIO LTDA;Administradora de Consórcio;43725373000132;1994-06-16;1995-06-09;Liquidação extrajudicial;Encerrado (Falência.);SP
1.068;SACHA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;62330154000107;1976-12-06;1977-12-05;Intervenção;Encerrado (Artigo 31 da Lei 6.024/74.);SP
1.069;SACHA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;62330154000107;1977-12-05;1980-10-07;Liquidação extrajudicial;Encerrado (Artigo 31 da Lei 6.024/74.);SP
100.480;SAGITUR CORRETORA DE CÂMBIO S.A.;Sociedade Corretora de Câmbio;61444949000175;2023-11-24;2024-07-17;Liquidação extrajudicial;Encerrado (Falência.);SP
571;SAKAKURA ADMINISTRADORA DE CONSORCIOS S.C. LTDA;Administradora de Consórcio;26446351000114;1994-07-21;1996-04-23;Liquidação extrajudicial;Encerrado (Falência.);DF
1.096;SAMAVEL ADMINISTRADORA DE CONSORCIOS S/C LTDA;Administradora de Consórcio;65506016000116;2003-02-26;2005-11-17;Liquidação extrajudicial;Encerrado (Falência.);SP
878;SAN REMO ADMINISTRACAO DE NEGOCIOS S.C. LTDA;Administradora de Consórcio;51259117000125;1983-01-05;1985-02-06;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);SP
1.130;SANT ANA ADMINISTRADORA DE CONSORCIOS S/C LTDA;Administradora de Consórcio;77282077000126;1991-10-17;2016-12-05;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);SP
882;SANTO ALBERTO PARTICIPACOES S.A.;Administr. e Participacao;52135514000158;1985-11-19;1987-04-03;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);SP
1.391;SANTOS CORRETORA DE CAMBIO E VALORES S/A;Sociedade Corretora de TVM;61658811000179;2004-11-12;2005-05-04;Intervenção;Encerrado (Convolação em liquidação ordinária.);SP
1.470;SANTOS CORRETORA DE CAMBIO E VALORES S/A;Sociedade Corretora de TVM;61658811000179;2005-05-04;2009-11-30;Liquidação extrajudicial;Encerrado (Convolação em liquidação ordinária.);SP
380;SAO BRAZ ADMINISTRADORA DE CONSORCIOS LTDA;Administradora de Consórcio;03652252000193;2003-01-16;2005-09-28;Liquidação extrajudicial;Encerrado (Falência.);DF
542;SAO JOSE VEICULOS S.A.;Outras Empresas;21609664000122;1975-03-25;1976-03-15;Intervenção;Encerrado (Cessação da intervenção.);MG
1.065;SAO LUIZ DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;62309208000144;1981-01-14;1982-01-13;Intervenção;Encerrado (Falência.);SP
1.066;SAO LUIZ DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;62309208000144;1982-01-13;1985-05-07;Liquidação extrajudicial;Encerrado (Falência.);SP
2.000;SAO PAULO CORRETORA DE VALORES LTDA;Sociedade Corretora de TVM;61822052000138;2011-12-02;2013-07-23;Liquidação extrajudicial;Encerrado (Falência.);SP
613;SATECAR ADMINISTRACAO DE CONSORCIOS LTDA;Administradora de Consórcio;30259279000193;1994-09-23;1996-03-13;Liquidação extrajudicial;Encerrado (Falência.);RJ
925;SAVIVE ADMINISTRADORA DE CONSORCIOS S.C. LTDA;Administradora de Consórcio;58241340000194;1991-08-30;1992-06-10;Liquidação extrajudicial;Encerrado (Falência.);SP
382;SBC - SOCIEDADE BRASILEIRA DE CONSORCIOS ADMINISTRADORA DE BENS LTDA;Administradora de Consórcio;03657491000136;1993-02-09;1996-05-16;Liquidação extrajudicial;Encerrado (Falência.);DF
1.087;SBC SISTEMA BRASILEIRO DE CONSORCIOS S/C LTDA;Administradora de Consórcio;62572623000196;2002-08-01;2005-11-17;Liquidação extrajudicial;Encerrado (Falência.);SP
980;SCULTADA S.A. - CORRETORA DE CAMBIO E VALORES;Sociedade Corretora de TVM;61355988000104;1977-04-19;1981-11-17;Liquidação extrajudicial;Encerrado (Aprovação de contas e baixa no registro público.);SP
444;SEGURADORA INDUSTRIAL E MERCANTIL S.A.;Seguradora;10774941000136;1975-03-25;1976-03-15;Intervenção;Encerrado (Cessação da intervenção.);RJ
521;SEGURANCA - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;Sociedade Distribuidora de TVM;17393802000101;1983-12-07;1984-11-28;Intervenção;Encerrado (Apresentação de garantias e prosseguimento das atividades.);MG
924;SELLER CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S.A.;Sociedade Corretora de TVM;58228446000158;1994-11-18;1997-03-14;Liquidação extrajudicial;Encerrado (Falência.);SP
918;SELLER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Sociedade Distribuidora de TVM;58097452000113;1994-11-18;1997-04-25;Liquidação extrajudicial;Encerrado (Falência.);SP
